RefID,Accession,NS3,NS5A,NS5B,StructuredComment,source_PCR_primers,source_bio_material,source_cell_line,source_cell_type,source_clone,source_clone_lib,source_collected_by,source_collection_date,source_db_xref,source_geo_loc_name,source_haplotype,source_host,source_identified_by,source_isolate,source_isolation_source,source_lab_host,source_lat_lon,source_map,source_mol_type,source_note,source_organism,source_pop_variant,source_proviral,source_rearranged,source_segment,source_serotype,source_strain,source_sub_species,source_sub_strain,source_tissue_lib,source_tissue_type,source_variety
1,OM513934,yes,yes,yes,,,,,,,,,01-Jun-2017,taxon:3052230,India,,Homo sapiens,,48965,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513935,yes,yes,yes,,,,,,,,,15-Jul-2017,taxon:3052230,India,,Homo sapiens,,49470,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513936,yes,yes,yes,,,,,,,,,08-May-2017,taxon:3052230,India,,Homo sapiens,,48674,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513937,yes,yes,yes,,,,,,,,,25-Mar-2017,taxon:3052230,India,,Homo sapiens,,48084,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513938,yes,yes,yes,,,,,,,,,15-Jul-2017,taxon:3052230,India,,Homo sapiens,,49479,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513939,yes,yes,yes,,,,,,,,,06-Nov-2017,taxon:3052230,India,,Homo sapiens,,50758,serum,,,,genomic RNA,genotype: 1,Hepacivirus hominis,,,,,,,,,,,
1,OM513940,yes,yes,yes,,,,,,,,,16-Sep-2017,taxon:3052230,India,,Homo sapiens,,50421,serum,,,,genomic RNA,genotype: 1,Hepacivirus hominis,,,,,,,,,,,
1,OM513941,yes,yes,yes,,,,,,,,,06-Feb-2018,taxon:3052230,India,,Homo sapiens,,51824,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513942,yes,yes,yes,,,,,,,,,18-Dec-2017,taxon:3052230,India,,Homo sapiens,,51302,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513943,yes,yes,yes,,,,,,,,,06-Feb-2018,taxon:3052230,India,,Homo sapiens,,51825,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513944,yes,yes,yes,,,,,,,,,17-Feb-2018,taxon:3052230,India,,Homo sapiens,,51945,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513945,yes,yes,yes,,,,,,,,,06-Feb-2018,taxon:3052230,India,,Homo sapiens,,51827,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513946,yes,yes,yes,,,,,,,,,24-Feb-2018,taxon:3052230,India,,Homo sapiens,,52015,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513947,yes,yes,yes,,,,,,,,,24-Feb-2018,taxon:3052230,India,,Homo sapiens,,52019,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513948,yes,yes,yes,,,,,,,,,01-Mar-2018,taxon:3052230,India,,Homo sapiens,,52072,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513949,yes,yes,yes,,,,,,,,,02-Apr-2018,taxon:3052230,India,,Homo sapiens,,52443,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513950,yes,yes,yes,,,,,,,,,05-Mar-2018,taxon:3052230,India,,Homo sapiens,,52133,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513951,yes,yes,yes,,,,,,,,,21-Jul-2018,taxon:3052230,India,,Homo sapiens,,53807,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513952,yes,yes,yes,,,,,,,,,19-May-2018,taxon:3052230,India,,Homo sapiens,,53036,serum,,,,genomic RNA,genotype: 1,Hepacivirus hominis,,,,,,,,,,,
1,OM513953,yes,yes,yes,,,,,,,,,20-Aug-2018,taxon:3052230,India,,Homo sapiens,,54186,serum,,,,genomic RNA,genotype: 1,Hepacivirus hominis,,,,,,,,,,,
1,OM513954,yes,yes,yes,,,,,,,,,07-Sep-2018,taxon:3052230,India,,Homo sapiens,,54317,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
1,OM513955,yes,yes,yes,,,,,,,,,15-Dec-2018,taxon:3052230,India,,Homo sapiens,,55466,serum,,,,genomic RNA,genotype: 3,Hepacivirus hominis,,,,,,,,,,,
10,DQ889263,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,01_17,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889264,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,01_25,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889268,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,02_02,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889271,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,02_22,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889276,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,02_41,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889290,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,03_52,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889291,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,04_01,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889295,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,99_25,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889296,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,99_26,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889308,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,L8117,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889312,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,L815,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,DQ889314,yes,yes,yes,,,,,,,,,,taxon:3052230,"USA: Massachusetts, Boston area",,,,L8185,plasma from patient with chronic HCV infection,,,,genomic RNA,,Hepacivirus hominis,,,,,,,,,,,
10,EU781746,yes,yes,yes,,,,,,,,,,taxon:2847144,"USA: Massachusetts, Boston area",,Homo sapiens,,00U,plasma from patient with chronic HCV infection,,,,genomic RNA,,hepatitis C virus genotype 1a,,,,,,,,,,,
