Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredRASPositions
MW205467,2,82.887,2c,83.905,150-321,Yes,150;159;206;282;316;320;321
MW205468,2,82.292,2v,83.756,150-321,Yes,150;159;206;282;316;320;321
MW205469,2,82.414,2v,84.328,150-321,Yes,150;159;206;282;316;320;321
MW205470,2,83.360,2v,83.520,150-321,Yes,150;159;206;282;316;320;321
MW205471,2,84.673,2u,86.140,150-321,Yes,150;159;206;282;316;320;321
MW205473,2,84.418,2k,85.930,150-321,Yes,150;159;206;282;316;320;321
MW205477,2,83.159,2u,84.352,150-321,Yes,150;159;206;282;316;320;321
MW205479,2,84.054,2a,85.991,150-321,Yes,150;159;206;282;316;320;321
MW205480,2,80.838,2f,89.820,150-321,Yes,150;159;206;282;316;320;321
MW205482,2,82.861,2f,87.034,150-321,Yes,150;159;206;282;316;320;321
MW205483,2,82.256,2d,86.917,150-321,Yes,150;159;206;282;316;320;321
MW205484,2,81.763,2d,85.866,150-321,Yes,150;159;206;282;316;320;321
MW205485,2,82.116,2r,91.654,150-321,Yes,150;159;206;282;316;320;321
MW205488,2,83.159,2k,86.289,150-321,Yes,150;159;206;282;316;320;321
MW205489,2,83.131,2v,85.562,150-321,Yes,150;159;206;282;316;320;321
MW205490,2,80.861,2v,83.308,150-321,Yes,150;159;206;282;316;320;321
MW205492,2,82.635,2c,93.114,150-321,Yes,150;159;206;282;316;320;321
MW205493,2,81.371,2c,91.654,150-321,Yes,150;159;206;282;316;320;321
MW205494,2,81.571,2r,83.384,150-321,Yes,150;159;206;282;316;320;321
MW205495,2,83.435,2i,91.489,150-321,Yes,150;159;206;282;316;320;321
MW205496,2,82.712,2i,91.952,150-321,Yes,150;159;206;282;316;320;321
MW205497,2,82.219,2i,90.578,150-321,Yes,150;159;206;282;316;320;321
MW205498,2,83.458,2i,90.760,150-321,Yes,150;159;206;282;316;320;321
MW205499,3,81.833,3b,90.671,150-321,Yes,150;159;206;282;316;320;321
MW205500,3,82.787,3b,90.164,150-321,Yes,150;159;206;282;316;320;321
MW205501,3,82.430,3b,93.103,150-321,Yes,150;159;206;282;316;320;321
MW205504,3,81.506,3b,92.308,150-321,Yes,150;159;206;282;316;320;321
MW205505,3,82.947,3b,92.219,150-321,Yes,150;159;206;282;316;320;321
MW205506,3,82.701,3b,92.109,150-321,Yes,150;159;206;282;316;320;321
MW357756,1,79.822,1b,92.464,150-321,Yes,150;159;206;282;316;320;321
MW357771,1,80.488,1b,92.683,150-321,Yes,150;159;206;282;316;320;321
MZ327730,3,95.361,3a,93.721,150-321,Yes,150;159;206;282;316;320;321
MZ327731,1,94.245,1a,93.541,150-321,Yes,150;159;206;282;316;320;321
MZ327732,1,95.655,1a,95.068,150-321,Yes,150;159;206;282;316;320;321
MZ327733,1,93.673,1a,93.087,150-321,Yes,150;159;206;282;316;320;321
MZ327737,1,94.025,1a,94.083,150-321,Yes,150;159;206;282;316;320;321
MZ327738,3,96.418,3a,94.131,150-321,Yes,150;159;206;282;316;320;321
MZ327739,1,95.009,1a,94.128,150-321,Yes,150;159;206;282;316;320;321
MZ327741,1,93.776,1a,93.188,150-321,Yes,150;159;206;282;316;320;321
MZ327742,1,94.363,1a,94.069,150-321,Yes,150;159;206;282;316;320;321
MZ327745,3,94.891,3a,93.721,150-321,Yes,150;159;206;282;316;320;321
MZ327748,3,94.715,3a,93.545,150-321,Yes,150;159;206;282;316;320;321
MZ327750,3,95.068,3a,93.721,150-321,Yes,150;159;206;282;316;320;321
MZ327754,3,95.655,3a,93.192,150-321,Yes,150;159;206;282;316;320;321
MZ327756,3,95.068,3a,94.308,150-321,Yes,150;159;206;282;316;320;321
MZ327757,3,94.480,3a,93.603,150-321,Yes,150;159;206;282;316;320;321
MZ327759,3,95.302,3a,93.838,150-321,Yes,150;159;206;282;316;320;321
MZ327763,1,94.259,1a,93.556,150-321,Yes,150;159;206;282;316;320;321
MZ327764,3,94.950,3a,93.545,150-321,Yes,150;159;206;282;316;320;321
MZ327770,1,94.845,1a,93.907,150-321,Yes,150;159;206;282;316;320;321
MZ327772,3,95.361,3a,93.779,150-321,Yes,150;159;206;282;316;320;321
MZ327773,3,94.950,3a,93.075,150-321,Yes,150;159;206;282;316;320;321
MZ327778,1,95.479,1a,95.009,150-321,Yes,150;159;206;282;316;320;321
MZ327779,3,94.363,3a,93.075,150-321,Yes,150;159;206;282;316;320;321
MZ327780,3,94.245,3a,93.310,150-321,Yes,150;159;206;282;316;320;321
MZ327781,3,95.361,3a,93.545,150-321,Yes,150;159;206;282;316;320;321
MZ327782,1,94.715,1a,94.245,150-321,Yes,150;159;206;282;316;320;321
MZ327783,3,94.422,3a,93.779,150-321,Yes,150;159;206;282;316;320;321
MZ327785,1,96.124,1a,95.537,150-321,Yes,150;159;206;282;316;320;321
MZ327786,3,95.244,3a,93.897,150-321,Yes,150;159;206;282;316;320;321
MZ327789,3,95.068,3a,93.545,150-321,Yes,150;159;206;282;316;320;321
MZ327790,1,94.245,1a,93.776,150-321,Yes,150;159;206;282;316;320;321
MZ327793,1,96.359,1a,95.596,150-321,Yes,150;159;206;282;316;320;321
MZ327794,3,95.713,3a,93.838,150-321,Yes,150;159;206;282;316;320;321
MZ327795,1,93.790,1a,92.853,150-321,Yes,150;159;206;282;316;320;321
MZ327796,3,96.888,3a,94.660,150-321,Yes,150;159;206;282;316;320;321
MZ327799,3,95.302,3a,93.310,150-321,Yes,150;159;206;282;316;320;321
PQ335035,1,95.637,1a,95.106,150-321,Yes,150;159;206;282;316;320;321
PQ335036,1,95.912,1a,95.079,150-321,Yes,150;159;206;282;316;320;321
PQ335037,1,96.226,1a,95.637,150-321,Yes,150;159;206;282;316;320;321
PQ335038,1,96.342,1a,95.575,150-321,Yes,150;159;206;282;316;320;321
PQ335039,1,95.819,1a,95.230,150-321,Yes,150;159;206;282;316;320;321
PQ335040,1,95.534,1a,95.079,150-321,Yes,150;159;206;282;316;320;321
PQ335041,1,95.696,1a,94.988,150-321,Yes,150;159;206;282;316;320;321
PQ335042,1,93.698,1a,93.404,150-321,Yes,150;159;206;282;316;320;321
PQ335045,1,93.278,1a,92.925,150-321,Yes,150;159;206;282;316;320;321
PQ335046,1,95.991,1a,95.106,150-321,Yes,150;159;206;282;316;320;321
PQ335049,1,95.524,1a,94.817,150-321,Yes,150;159;206;282;316;320;321
PQ335050,1,93.915,1a,93.122,246-321,,282;316;320;321
PQ335051,1,96.167,1a,95.460,150-321,Yes,150;159;206;282;316;320;321
PQ335052,1,95.224,1a,94.517,150-321,Yes,150;159;206;282;316;320;321
PQ335053,1,93.414,1a,93.617,150-321,Yes,150;159;206;282;316;320;321
PQ335054,1,89.537,1a,89.296,150-321,Yes,150;159;206;282;316;320;321
PQ335055,1,96.466,1a,95.819,150-321,Yes,150;159;206;282;316;320;321
PQ335056,1,95.814,1a,95.224,150-321,Yes,150;159;206;282;316;320;321
PQ335057,1,93.822,1a,93.247,150-321,Yes,150;159;206;282;316;320;321
PQ335058,1,93.684,1a,93.388,150-321,Yes,150;159;206;282;316;320;321
PQ335059,1,95.819,1a,95.347,150-321,Yes,150;159;206;282;316;320;321
PQ335061,1,96.403,1a,95.932,150-321,Yes,150;159;206;282;316;320;321
PQ335062,1,96.108,1a,95.401,150-321,Yes,150;159;206;282;316;320;321
PQ335064,1,95.460,1a,95.519,150-321,Yes,150;159;206;282;316;320;321
PQ335065,1,95.044,1a,94.572,150-321,Yes,150;159;206;282;316;320;321
PQ335066,1,95.932,1a,95.165,150-321,Yes,150;159;206;282;316;320;321
PQ335067,1,96.231,1a,95.642,150-321,Yes,150;159;206;282;316;320;321
PQ335068,1,96.291,1a,95.761,150-321,Yes,150;159;206;282;316;320;321
PQ335070,1,95.811,1a,95.212,150-321,Yes,150;159;206;282;316;320;321
PQ335071,1,96.521,1a,95.696,150-321,Yes,150;159;206;282;316;320;321
PQ335072,1,93.565,1a,93.565,150-321,Yes,150;159;206;282;316;320;321
PQ335073,1,95.932,1a,95.224,150-321,Yes,150;159;206;282;316;320;321
PQ335074,1,95.637,1a,95.106,150-321,Yes,150;159;206;282;316;320;321
PQ335075,1,93.278,1a,92.925,150-321,Yes,150;159;206;282;316;320;321
PQ335077,1,95.932,1a,95.283,150-321,Yes,150;159;206;282;316;320;321
PQ335078,1,95.578,1a,95.106,150-321,Yes,150;159;206;282;316;320;321
PQ335079,1,95.932,1a,95.342,150-321,Yes,150;159;206;282;316;320;321
PQ335082,1,96.482,1a,95.700,150-321,Yes,150;159;206;282;316;320;321
PQ335084,1,93.096,1a,92.954,150-321,Yes,150;159;206;282;316;320;321
PQ335085,1,95.814,1a,94.988,150-321,Yes,150;159;206;282;316;320;321
PQ335086,1,95.632,1a,94.923,150-321,Yes,150;159;206;282;316;320;321
PQ335087,1,94.935,1a,94.582,150-321,Yes,150;159;206;282;316;320;321
PQ335088,1,94.696,1a,94.201,150-321,Yes,150;159;206;282;316;320;321
PQ335091,4,92.284,4a,92.284,150-321,Yes,150;159;206;282;316;320;321
PQ335092,4,92.436,4a,92.436,150-321,Yes,150;159;206;282;316;320;321
PQ335093,4,92.803,4a,92.803,150-321,Yes,150;159;206;282;316;320;321
PQ335094,4,91.824,4a,91.824,150-321,Yes,150;159;206;282;316;320;321
PQ335097,4,92.034,4a,92.034,150-321,Yes,150;159;206;282;316;320;321
PQ335100,4,93.116,4a,93.116,150-321,Yes,150;159;206;282;316;320;321
PQ335104,4,92.511,4a,92.511,150-321,Yes,150;159;206;282;316;320;321
PQ335107,4,92.436,4a,92.436,150-321,Yes,150;159;206;282;316;320;321
PQ335108,4,91.997,4a,91.997,150-321,Yes,150;159;206;282;316;320;321
PQ335111,4,92.511,4a,92.511,150-321,Yes,150;159;206;282;316;320;321
PQ335112,4,90.769,4a,90.769,150-321,Yes,150;159;206;282;316;320;321
PQ335118,4,92.133,4a,92.133,150-321,Yes,150;159;206;282;316;320;321
PQ335119,4,92.814,4a,92.814,150-321,Yes,150;159;206;282;316;320;321
PQ335120,4,92.650,4a,92.650,150-321,Yes,150;159;206;282;316;320;321
PQ335121,4,92.808,4a,92.808,150-321,Yes,150;159;206;282;316;320;321
PQ335126,4,92.360,4a,92.360,150-321,Yes,150;159;206;282;316;320;321
PQ335127,4,93.183,4a,93.183,150-321,Yes,150;159;206;282;316;320;321
PQ335128,4,92.511,4a,92.511,150-321,Yes,150;159;206;282;316;320;321
PQ335129,4,92.209,4a,92.209,150-321,Yes,150;159;206;282;316;320;321
PQ335132,4,92.650,4a,92.650,150-321,Yes,150;159;206;282;316;320;321
PQ335133,4,93.192,4a,93.192,150-321,Yes,150;159;206;282;316;320;321
PQ335136,4,92.133,4a,92.133,150-321,Yes,150;159;206;282;316;320;321
