name,virus,subtype,bootstrap support
PP484811|geneNS5B|query1-276|h77_aa241-332|extracted_nt276|aligned_aa92|pident75.000,HCV,4f,100.0
PP484809|geneNS5B|query1-285|h77_aa241-335|extracted_nt285|aligned_aa95|pident91.579,HCV,1l,100.0
PP583879|geneNS5B|query1-294|h77_aa242-339|extracted_nt294|aligned_aa98|pident74.490,HCV,4k,33.0
PQ335098|geneNS5B|query2-562|h77_aa16-202|extracted_nt561|aligned_aa187|pident77.540,HCV,4a,100.0
PP484871|geneNS5B|query1-276|h77_aa241-332|extracted_nt276|aligned_aa92|pident71.739,HCV,2j,98.0
PP484838|geneNS5B|query1-285|h77_aa241-335|extracted_nt285|aligned_aa95|pident89.474,HCV,1e,94.0
PP484837|geneNS5B|query1-285|h77_aa241-335|extracted_nt285|aligned_aa95|pident92.632,HCV,1e,100.0
PP583929|geneNS5B|query1-297|h77_aa242-340|extracted_nt297|aligned_aa99|pident93.939,HCV,1e,100.0
PP583983|geneNS5B|query1-297|h77_aa242-340|extracted_nt297|aligned_aa99|pident91.919,HCV,1l,100.0
PQ320122|geneNS5B|query611-1930|h77_aa68-507|extracted_nt1320|aligned_aa440|pident73.864,HCV,3a,100.0
PQ335099|geneNS5B|query3-746|h77_aa2-249|extracted_nt744|aligned_aa248|pident79.839,HCV,4a,100.0
PQ335093|geneNS5B|query1-1317|h77_aa123-561|extracted_nt1317|aligned_aa439|pident77.904,HCV,4a,100.0
PQ335101|geneNS5B|query3-746|h77_aa2-249|extracted_nt744|aligned_aa248|pident79.839,HCV,4a,100.0
PQ335100|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.864,HCV,4a,100.0
PQ335106|geneNS5B|query3-812|h77_aa2-271|extracted_nt810|aligned_aa270|pident59.630,HCV,4a,100.0
PQ335110|geneNS5B|query1-297|h77_aa465-563|extracted_nt297|aligned_aa99|pident77.778,HCV,4a,100.0
PQ335102|geneNS5B|query3-791|h77_aa2-264|extracted_nt789|aligned_aa263|pident77.947,HCV,4a,100.0
PQ335119|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.409,HCV,4a,100.0
PQ335117|geneNS5B|query3-746|h77_aa2-249|extracted_nt744|aligned_aa248|pident79.032,HCV,4a,100.0
PQ335094|geneNS5B|query3-1640|h77_aa2-547|extracted_nt1638|aligned_aa546|pident78.938,HCV,4a,100.0
PQ320128|geneNS5B|query860-1915|h77_aa129-480|extracted_nt1056|aligned_aa352|pident98.011,HCV,1a,100.0
PQ335040|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident98.409,HCV,1a,100.0
PQ335035|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.584,HCV,1a,100.0
PQ335037|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.876,HCV,1a,100.0
PQ320130|geneNS5B|query845-1930|h77_aa134-495|extracted_nt1086|aligned_aa362|pident90.884,HCV,1b,100.0
PQ320125|geneNS5B|query845-1825|h77_aa163-489|extracted_nt981|aligned_aa327|pident77.982,HCV,3b,100.0
PQ320124|geneNS5B|query821-1897|h77_aa137-495|extracted_nt1077|aligned_aa359|pident98.050,HCV,1a,100.0
PQ335041|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.699,HCV,1a,100.0
PQ335050|geneNS5B|query355-1113|h77_aa119-371|extracted_nt759|aligned_aa253|pident86.561,HCV,1a,100.0
PQ335045|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident96.814,HCV,1a,100.0
PQ335039|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident98.057,HCV,1a,100.0
PQ335038|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
PQ335047|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident88.869,HCV,1a,100.0
PQ335048|geneNS5B|query1-1692|h77_aa1-564|extracted_nt1692|aligned_aa564|pident97.518,HCV,1a,100.0
PQ335042|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident96.820,HCV,1a,100.0
PQ335036|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident98.636,HCV,1a,100.0
PQ335053|geneNS5B|query418-1404|h77_aa140-468|extracted_nt987|aligned_aa329|pident96.960,HCV,1a,100.0
PQ335051|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.761,HCV,1a,100.0
PQ335092|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335104|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335107|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335115|geneNS5B|query3-824|h77_aa2-275|extracted_nt822|aligned_aa274|pident78.467,HCV,4a,100.0
PQ335124|geneNS5B|query1035-1688|h77_aa346-563|extracted_nt654|aligned_aa218|pident77.064,HCV,4a,100.0
PQ335121|geneNS5B|query3-1319|h77_aa124-562|extracted_nt1317|aligned_aa439|pident78.588,HCV,4a,100.0
PQ335126|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.864,HCV,4a,100.0
PQ335113|geneNS5B|query3-905|h77_aa2-302|extracted_nt903|aligned_aa301|pident79.070,HCV,4a,100.0
PQ335120|geneNS5B|query3-1688|h77_aa2-563|extracted_nt1686|aligned_aa562|pident79.004,HCV,4a,100.0
PQ335130|geneNS5B|query3-791|h77_aa2-264|extracted_nt789|aligned_aa263|pident79.468,HCV,4a,100.0
PQ335056|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
