name,virus,subtype,bootstrap support
ON630787|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.623,HCV,1a,100.0
PQ365517|geneNS3|query3428-5320|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365519|geneNS3|query3424-5316|h77_aa1-631|extracted_nt1893|aligned_aa631|pident80.983,HCV,3a,100.0
PQ365520|geneNS3|query3381-5273|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.458,HCV,3a,100.0
PQ365522|geneNS3|query3426-5318|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.300,HCV,3a,100.0
PQ365523|geneNS3|query3395-5287|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365525|geneNS3|query3388-5280|h77_aa1-631|extracted_nt1893|aligned_aa631|pident80.824,HCV,3a,100.0
PQ365527|geneNS3|query3363-5255|h77_aa1-631|extracted_nt1893|aligned_aa631|pident96.513,HCV,1a,100.0
PQ365530|geneNS3|query3405-5297|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.458,HCV,3a,100.0
PQ365531|geneNS3|query3422-5314|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365533|geneNS3|query3408-5300|h77_aa1-631|extracted_nt1893|aligned_aa631|pident96.355,HCV,1a,100.0
PQ365535|geneNS3|query3381-5273|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365537|geneNS3|query3399-5291|h77_aa1-631|extracted_nt1893|aligned_aa631|pident80.666,HCV,3a,100.0
PQ419894|geneNS3|query1-543|h77_aa1-181|extracted_nt543|aligned_aa181|pident84.530,HCV,1g,100.0
PQ419893|geneNS3|query1-543|h77_aa1-181|extracted_nt543|aligned_aa181|pident82.320,HCV,1e,100.0
MT863870|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident76.642,HCV,3a,100.0
MT863871|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident76.642,HCV,3a,100.0
MT863873|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident75.912,HCV,3a,100.0
MT863874|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident97.810,HCV,1a,100.0
MT863872|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident75.912,HCV,3a,100.0
MT863890|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident92.701,HCV,1a,100.0
MT863893|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident75.182,HCV,3a,100.0
MT863894|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident76.642,HCV,3a,100.0
MT863895|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident75.912,HCV,3a,100.0
MT863896|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident81.752,HCV,4d,100.0
MT863891|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident94.161,HCV,1a,100.0
MT863898|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident93.431,HCV,1a,100.0
MT863900|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident82.482,HCV,4d,100.0
MT863901|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident82.482,HCV,4d,100.0
MT863902|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident75.912,HCV,3a,100.0
MT863904|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident95.620,HCV,1a,100.0
MT863905|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident97.810,HCV,1a,100.0
MT863907|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident78.832,HCV,4d,100.0
MT863908|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident92.701,HCV,1a,100.0
MT863906|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident79.562,HCV,4d,100.0
MT863923|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident94.891,HCV,1a,100.0
MT863924|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident97.080,HCV,1a,100.0
MT863925|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident97.080,HCV,1a,100.0
MT863928|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident74.453,HCV,3a,100.0
MT863929|geneNS3|query3-413|h77_aa39-175|extracted_nt411|aligned_aa137|pident75.182,HCV,3a,100.0
