name,virus,subtype,bootstrap support
MW205383|geneNS5A|query10-648|h77_aa9-221|extracted_nt639|aligned_aa213|pident79.812,HCV,4o,100.0
MW205382|geneNS5A|query4-648|h77_aa7-221|extracted_nt645|aligned_aa215|pident80.465,HCV,4o,100.0
MW205407|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident76.471,HCV,4n,100.0
MW205406|geneNS5A|query7-468|h77_aa3-156|extracted_nt462|aligned_aa154|pident75.974,HCV,4n,100.0
MW205410|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident75.163,HCV,4n,100.0
MW205411|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident75.163,HCV,4n,100.0
MW205409|geneNS5A|query7-471|h77_aa3-157|extracted_nt465|aligned_aa155|pident74.839,HCV,4n,100.0
MW205415|geneNS5A|query1-294|h77_aa8-105|extracted_nt294|aligned_aa98|pident71.429,HCV,4d,69.0
MW205414|geneNS5A|query7-468|h77_aa3-156|extracted_nt462|aligned_aa154|pident75.974,HCV,4n,100.0
MW205413|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident75.817,HCV,4n,100.0
MW205416|geneNS5A|query1-417|h77_aa7-145|extracted_nt417|aligned_aa139|pident68.345,HCV,1l,65.0
MW205412|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident77.124,HCV,4n,100.0
MW205438|geneNS5A|query1-330|h77_aa8-117|extracted_nt330|aligned_aa110|pident64.545,HCV,2j,80.0
MW205437|geneNS5A|query1-447|h77_aa1-149|extracted_nt447|aligned_aa149|pident65.772,HCV,2j,70.0
MW205440|geneNS5A|query1-330|h77_aa8-117|extracted_nt330|aligned_aa110|pident65.455,HCV,2a,100.0
MW205434|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident69.524,HCV,3b,100.0
MW205444|geneNS5A|query1-342|h77_aa8-121|extracted_nt342|aligned_aa114|pident67.544,HCV,2e,100.0
MW205441|geneNS5A|query1-453|h77_aa1-151|extracted_nt453|aligned_aa151|pident66.225,HCV,2a,55.0
MW205442|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident62.044,HCV,2j,69.0
MW205462|geneNS5A|query1-336|h77_aa6-117|extracted_nt336|aligned_aa112|pident66.964,HCV,2j,100.0
MW205460|geneNS5A|query1-456|h77_aa4-155|extracted_nt456|aligned_aa152|pident65.132,HCV,2a,94.0
MW205465|geneNS5A|query4-438|h77_aa7-151|extracted_nt435|aligned_aa145|pident64.138,HCV,2a,83.0
MW357794|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident82.482,HCV,1b,100.0
MW357795|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident81.022,HCV,1b,100.0
MW357796|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident83.942,HCV,1b,100.0
MW357813|geneNS5A|query1-405|h77_aa1-135|extracted_nt405|aligned_aa135|pident79.259,HCV,1b,100.0
MW357812|geneNS5A|query1-408|h77_aa1-136|extracted_nt408|aligned_aa136|pident81.618,HCV,1b,100.0
MW205385|geneNS5A|query1-630|h77_aa12-221|extracted_nt630|aligned_aa210|pident76.667,HCV,4v,83.0
MW205384|geneNS5A|query1-630|h77_aa12-221|extracted_nt630|aligned_aa210|pident77.619,HCV,4v,45.0
MZ327738|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.549,HCV,3a,100.0
MZ327730|geneNS5A|query6201-7556|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.395,HCV,3a,100.0
MZ325444|geneNS5A|query6274-7629|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
MZ325443|geneNS5A|query6274-7629|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
MZ327742|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.089,HCV,1a,100.0
MZ327746|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.089,HCV,1a,100.0
MZ327744|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.420,HCV,1a,100.0
MZ327745|geneNS5A|query6197-7552|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.670,HCV,3a,100.0
MZ327755|geneNS5A|query6198-7595|h77_aa1-448|extracted_nt1398|aligned_aa472|pident59.746,HCV,2b,100.0
MZ327754|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.079,HCV,3a,100.0
MZ327752|geneNS5A|query6185-7510|h77_aa3-448|extracted_nt1326|aligned_aa449|pident73.719,HCV,4d,100.0
MZ327756|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
MZ327763|geneNS5A|query6327-7670|h77_aa1-448|extracted_nt1344|aligned_aa448|pident89.509,HCV,1a,100.0
MZ327765|geneNS5A|query6183-7526|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327766|geneNS5A|query6166-7506|h77_aa2-448|extracted_nt1341|aligned_aa447|pident94.183,HCV,1a,100.0
MZ327764|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.956,HCV,3a,100.0
MZ327739|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.420,HCV,1a,100.0
MZ327741|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.196,HCV,1a,100.0
