Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover,CoveredRASPositions
MW205376,4,78.898,635,4v,87.629,582,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205377,4,79.817,654,4v,93.532,603,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205378,4,78.914,626,4q,84.694,588,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205379,4,80.581,654,4v,85.855,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205380,4,78.378,666,4p,83.059,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205381,4,81.561,602,4o,91.581,582,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205382,4,80.265,679,4o,92.097,620,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205383,4,81.536,677,4o,90.338,621,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205384,4,78.746,654,4v,83.887,602,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205385,4,77.863,655,4v,83.223,602,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205386,4,83.832,668,4c,91.376,603,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205387,4,85.094,691,4c,92.974,612,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205388,4,84.938,644,4c,91.749,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205389,4,82.126,621,4c,88.831,573,31-93,,31;32;38;58;62;92;93
MW205390,4,84.370,691,4c,88.399,612,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205391,4,77.844,668,4t,89.706,612,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205392,4,75.804,653,4r,89.667,600,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205393,4,77.458,661,4r,90.594,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205394,4,75.771,681,4r,88.562,612,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205395,4,75.477,681,4r,90.671,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205396,4,77.083,672,4g,80.937,619,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205397,4,77.266,673,4d,81.803,610,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
