Gene,Accession,CometSubtype,BlastPerGeneSubtype,CompareCondition
NS3,MZ325443,"unassigned_1, 3a-3g",3a,Comet_vs_PerGene
NS3,MZ325444,"unassigned_1, 3a-6k-3g",3a,Comet_vs_PerGene
NS3,MZ327743,"unassigned_1, 1a-1b",1a,Comet_vs_PerGene
NS3,ON314813,2k,2q,Comet_vs_PerGene
NS3,ON314815,2j,2q,Comet_vs_PerGene
NS3,ON314816,2j,2d,Comet_vs_PerGene
NS3,ON314817,2k,2q,Comet_vs_PerGene
NS3,ON314818,2k,2q,Comet_vs_PerGene
NS3,ON314820,2j,2k,Comet_vs_PerGene
NS3,ON314821,2j,2v,Comet_vs_PerGene
NS3,ON314823,2j,2m,Comet_vs_PerGene
NS3,ON314825,2j,2q,Comet_vs_PerGene
NS3,ON314826,2j,2c,Comet_vs_PerGene
NS3,ON314828,2q,2k,Comet_vs_PerGene
NS3,PQ365513,3a,3d,Comet_vs_PerGene
NS3,PQ365524,3a,3e,Comet_vs_PerGene
NS3,MT633132,1b,7b,Comet_vs_PerGene
NS3,MW041294,2j,2r,Comet_vs_PerGene
NS3,MW041295,2j,2v,Comet_vs_PerGene
NS3,MW041296,2j,2r,Comet_vs_PerGene
NS3,MW041297,2j,2v,Comet_vs_PerGene
NS3,MW041298,2j,2v,Comet_vs_PerGene
NS3,MW041299,2j,2v,Comet_vs_PerGene
NS3,MW531222,"unassigned_1, 4a-3h-6h-6d-6h-6d",4a,Comet_vs_PerGene
NS3,MW689944,"unassigned_1, 1a-2k",1a,Comet_vs_PerGene
NS3,MW689945,"unassigned_1, 1a-4a",1a,Comet_vs_PerGene
NS3,MW689963,"unassigned_1, 1a-4a",1a,Comet_vs_PerGene
NS3,MW689965,1b,1i,Comet_vs_PerGene
NS3,MW689966,1b,1i,Comet_vs_PerGene
NS3,MW689969,"unassigned_1, 1a-1b",1b,Comet_vs_PerGene
NS3,MW689971,1b,1i,Comet_vs_PerGene
NS3,MW689975,1b,1n,Comet_vs_PerGene
NS3,MW689980,1a,1o,Comet_vs_PerGene
NS3,MW689987,"unassigned_1, 1a-4r",1a,Comet_vs_PerGene
NS3,MW689988,1a,1m,Comet_vs_PerGene
NS3,MW689993,"unassigned_1, 1a-1b",1a,Comet_vs_PerGene
NS3,MW689995,"unassigned_1, 1a-4k-1b-4k-1b-4k",1b,Comet_vs_PerGene
NS3,MW690004,"unassigned_1, 1a-4o-4v-4o",1a,Comet_vs_PerGene
NS3,MW690008,"unassigned_1, 1b-4r-1a-4r",1g,Comet_vs_PerGene
NS3,MW690009,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,MN650807,"unassigned_1, 1a-4d",1a,Comet_vs_PerGene
NS3,MT113067,1b,3i,Comet_vs_PerGene
NS3,MT512570,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,MT632127,"unassigned_1, 1a-1b",1a,Comet_vs_PerGene
NS3,PQ660835,"unassigned_1, 1a-4a-4v",1a,Comet_vs_PerGene
NS3,PQ660852,"unassigned_1, 4a-1a",4a,Comet_vs_PerGene
NS3,PQ660853,"unassigned_1, 1a-4a",1a,Comet_vs_PerGene
NS3,PQ660855,"unassigned_1, 1a-4a-4v",1a,Comet_vs_PerGene
NS3,PQ660857,"unassigned_1, 4a-1a",4a,Comet_vs_PerGene
NS3,MK327981,6w,6g,Comet_vs_PerGene
NS3,MK327985,6w,6g,Comet_vs_PerGene
NS3,MK327987,6w,6g,Comet_vs_PerGene
NS3,MK327989,6w,6xh,Comet_vs_PerGene
NS3,MK327990,6w,6s,Comet_vs_PerGene
NS3,MK327991,6w,6xd,Comet_vs_PerGene
NS3,MK327993,1b,6xd,Comet_vs_PerGene
NS3,MK327994,6w,6xh,Comet_vs_PerGene
NS3,MK327995,6w,6g,Comet_vs_PerGene
NS3,MK327996,6w,6xh,Comet_vs_PerGene
NS3,MK327998,6w,6g,Comet_vs_PerGene
NS3,MK327999,6w,6g,Comet_vs_PerGene
NS3,MK328001,6w,6d,Comet_vs_PerGene
NS3,MK328002,6w,6xh,Comet_vs_PerGene
NS3,MK328003,6w,6xh,Comet_vs_PerGene
NS3,MK328004,6a,6xd,Comet_vs_PerGene
NS3,MK328006,6w,6xh,Comet_vs_PerGene
NS3,MK328007,6w,6g,Comet_vs_PerGene
NS3,MK328008,6w,6g,Comet_vs_PerGene
NS3,MK328009,6w,6g,Comet_vs_PerGene
NS3,MK328010,6w,6xh,Comet_vs_PerGene
NS3,MK328011,6a,6xd,Comet_vs_PerGene
NS3,MK328012,1b,6d,Comet_vs_PerGene
NS3,MK328014,6w,6g,Comet_vs_PerGene
NS3,MK328016,"unassigned_1, 6g-3b",6g,Comet_vs_PerGene
NS3,MK328018,6w,6g,Comet_vs_PerGene
NS3,MK328020,6w,6g,Comet_vs_PerGene
NS3,MK328021,6w,6s,Comet_vs_PerGene
NS3,MK328023,6w,6xd,Comet_vs_PerGene
NS3,MK328025,6w,6g,Comet_vs_PerGene
NS3,MK328026,6w,6g,Comet_vs_PerGene
NS3,MK468928,6w,6g,Comet_vs_PerGene
NS3,MK527319,"unassigned_1, 1b-2k",1b,Comet_vs_PerGene
NS3,MK527508,"unassigned_1, 1b-2j-2k",1b,Comet_vs_PerGene
NS3,MK527509,"unassigned_1, 1b-2j-2k",1b,Comet_vs_PerGene
NS3,MK548362,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK548363,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK548364,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK548365,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK548366,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
