Gene,CometSubtype,BlastPerGeneSubtype,BlastFullGenomeSubtype,DifferentCount,CompareCondition
NS3,1b,1d,1d,81,Comet_vs_FullGenome
NS3,"unassigned_1, 3a-3h",3a,3a,42,Comet_vs_FullGenome
NS3,"unassigned_1, 1a-2b",1a,1a,23,Comet_vs_FullGenome
NS3,6w,6g,6g,15,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-2b",1b,1b,13,Comet_vs_FullGenome
NS3,6l,6xj,6xj,12,Comet_vs_FullGenome
NS3,6n,6xg,6xg,11,Comet_vs_FullGenome
NS3,2j,1a,1a,9,Comet_vs_FullGenome
NS3,2j,2q,2q,8,Comet_vs_FullGenome
NS3,4a,4c,4c,8,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-6d-6b",1b,1b,8,Comet_vs_FullGenome
NS3,6e,6xc,6xc,7,Comet_vs_FullGenome
NS3,6w,6xh,6xh,7,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-2j-2k",1b,1b,7,Comet_vs_FullGenome
NS3,"unassigned_1, 3a-2b",3a,3a,6,Comet_vs_FullGenome
NS3,1b,1i,1i,5,Comet_vs_FullGenome
NS3,2k,2q,2q,5,Comet_vs_FullGenome
NS3,6l,6xb,6xb,5,Comet_vs_FullGenome
NS3,6w,6xf,6xf,5,Comet_vs_FullGenome
NS3,"unassigned_1, 1a-1b",1a,1a,5,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-1a",1b,1b,5,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-2k",1b,1b,5,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-3h",1b,1b,5,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-6b",1b,1b,5,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-6k-6d-6b-6d",1b,1b,5,Comet_vs_FullGenome
NS3,"unassigned_1, 2k-1b",1b,2k,5,Comet_vs_FullGenome
NS3,1a,1n,1k,4,Comet_vs_FullGenome
NS3,1b,1o,1o,4,Comet_vs_FullGenome
NS3,2a,2u,2u,4,Comet_vs_FullGenome
NS3,2j,2f,2f,4,Comet_vs_FullGenome
NS3,2j,2u,2u,4,Comet_vs_FullGenome
NS3,2j,2v,2v,4,Comet_vs_FullGenome
NS3,6e,6q,6q,4,Comet_vs_FullGenome
NS3,6w,6xa,6xa,4,Comet_vs_FullGenome
NS3,"unassigned_1, 1a-3a",1a,1a,4,Comet_vs_FullGenome
NS3,"unassigned_1, 1a-4a",1a,1a,4,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-6k-6b",1b,1b,4,Comet_vs_FullGenome
NS3,"unassigned_1, 3a-1a",3a,3a,4,Comet_vs_FullGenome
NS3,2j,2c,2c,3,Comet_vs_FullGenome
NS3,4k,4b,4b,3,Comet_vs_FullGenome
NS3,4v,4q,4q,3,Comet_vs_FullGenome
NS3,4v,4s,4s,3,Comet_vs_FullGenome
NS3,6a,6xd,6xd,3,Comet_vs_FullGenome
NS3,6w,1a,1a,3,Comet_vs_FullGenome
NS3,6w,8a,8a,3,Comet_vs_FullGenome
NS3,"unassigned_1, 1a-1b",1b,1a,3,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-1a",1b,1a,3,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-1a-6k-1a-6b-1a",1b,1b,3,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-6b-6h-6b",1b,1b,3,Comet_vs_FullGenome
NS3,"unassigned_1, 1b-6h-6b",1b,1b,3,Comet_vs_FullGenome
NS3,"unassigned_1, 2a-2b",2a,2a,3,Comet_vs_FullGenome
NS3,"unassigned_1, 2j-5a",8a,8a,3,Comet_vs_FullGenome
NS3,"unassigned_1, 4d-2j-2a-2m-2a",4d,4d,3,Comet_vs_FullGenome
NS3,"unassigned_1, 6a-3h-6h",6a,6a,3,Comet_vs_FullGenome
NS3,1a,1k,1k,2,Comet_vs_FullGenome
NS3,1a,1m,1m,2,Comet_vs_FullGenome
NS3,1a,1n,1n,2,Comet_vs_FullGenome
