Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA
MW205243,,,
MW205244,,,
MW205245,,,
MW205246,,,
MW205247,,,
MW205248,,,
MW205249,,,
MW205250,,,
MW205251,,,
MW205252,,,
MW205253,,,
MW205254,,,
MW205255,,,
MW205256,,,
MW205257,,,
MW205258,,,
MW205259,,,
MW205260,,,
MW205261,,,
MW205262,,,
MW205263,,,
MW205264,,,
MW205265,,,
MW205266,,,
MW205267,,,
MW205268,,,
MW205269,,,
MW205270,,,
MW205271,,,
MW205272,,,
MW205273,,,
MW205274,,,
MW205275,,,
MW205276,,,
MW205277,,,
MW205278,,,
MW205279,,,
MW205280,,,
MW205281,,,
MW205282,,,
MW205283,,,
MW205284,,,
MW205285,,,
MW205286,,,
MW205287,,,
MW205288,,,
MW205289,,,
MW205290,,,
MW205291,,,
MW205292,,,
MW205293,,,
MW205294,,,
MW205295,,,
MW205296,,,
MW205297,,,
MW205298,,,
MW205299,,,
MW205300,,,
MW205301,,,
MW205302,,,
MW205303,,,
MW205304,,,
MW205305,,,
MW205306,,,
MW205307,,,
MW205308,,,
MW205309,,,
MW205310,,,
MW205311,,,
MW205312,,,
MW205313,,,
MW205314,,,
MW205315,,,
MW205316,,,
MW205317,,,
MW205318,,,
MW205319,,,
MW205320,,,
MW205321,,,
MW205322,,,
MW205323,,,
MW205324,,,
MW205325,,,
MW205326,,,
MW205327,,,
MW205328,,,
MW205329,,,
MW205330,,,
MW205331,,,
MW205332,,,
MW205333,,,
MW205334,,,
MW205335,,,
MW205336,,,
MW205337,,,
MW205338,,,
MW205339,,,
MW205340,,,
MW205341,,,
MW205342,,,
MW205343,,,
MW205344,,,
MW205345,,,
MW205346,,,
MW205347,,,
MW205348,,,
MW205349,,,
MW205350,,,
MW205351,,,
MW205352,,,
MW205353,,,
MW205354,,,
MW205355,,,
MW205356,,,
MW205357,,,
MW205358,,,
MW205359,,,
MW205360,,,
MW205361,,,
MW205362,,,
MW205363,,,
MW205364,,,
MW205365,,,
MW205366,,,
MW205367,,,
MW205368,,,
MW205369,,,
MW205370,,,
MW205371,,,
MW205372,,,
MW205373,,,
MW205374,,,
MW205375,,,
MW205376,4,4v,26-93
MW205377,4,4v,26-93
MW205378,4,4q,26-93
MW205379,4,4l,26-93
MW205380,4,4p,26-93
MW205381,4,4o,26-93
MW205382,4,4o,26-93
MW205383,4,4o,26-93
MW205384,4,4v,26-93
MW205385,4,4v,26-93
MW205386,4,4c,26-93
MW205387,4,4c,26-93
MW205388,4,4c,26-93
MW205389,4,4c,31-93
MW205390,4,4c,26-93
MW205391,4,4t,26-93
MW205392,4,4r,26-93
MW205393,4,4r,26-93
MW205394,4,4r,26-93
MW205395,4,4r,26-93
MW205396,4,4g,26-93
MW205397,4,4l,26-93
MW205398,4,4v,26-93
MW205399,4,4k,26-93
MW205400,4,4k,26-93
MW205401,4,4k,26-93
MW205402,4,4k,26-93
MW205403,4,4k,26-93
MW205404,4,4k,26-93
MW205405,4,4f,26-93
MW205406,4,4n,26-93
MW205407,4,4n,26-93
MW205408,4,4n,26-93
MW205409,4,4n,26-93
MW205410,4,4n,26-93
MW205411,4,4n,26-93
MW205412,4,4n,26-93
MW205413,4,4n,26-93
MW205414,4,4n,26-93
MW205415,6,6f,26-93
MW205416,4,4d,26-93
MW205417,6,6b,26-93
MW205418,6,6e,26-93
MW205419,6,6e,26-93
MW205420,6,6e,26-93
MW205421,6,6e,26-93
MW205422,6,6a,26-93
MW205423,6,6a,26-93
MW205424,6,6a,26-93
MW205425,6,6a,32-93
MW205426,1,1g,26-93
MW205427,1,1g,26-93
MW205428,1,1g,26-93
MW205429,1,1g,26-93
MW205430,3,3b,26-93
MW205431,3,3b,26-93
MW205432,3,3b,26-93
MW205433,3,3b,26-93
MW205434,3,3b,26-93
MW205435,3,3k,26-93
MW205436,2,2i,26-93
MW205437,2,2i,26-93
MW205438,2,2i,26-93
MW205439,2,2v,26-93
MW205440,2,2u,26-93
MW205441,2,2i,26-93
MW205442,2,2d,26-93
MW205443,2,2v,26-93
MW205444,2,2e,26-93
MW205445,2,2u,26-93
MW205446,2,2i,26-93
MW205447,2,2i,26-93
MW205448,2,2i,26-93
MW205449,2,2i,26-93
MW205450,2,2i,26-93
MW205451,2,2c,26-93
MW205452,2,2c,26-93
MW205453,2,2c,26-93
MW205454,2,2r,26-93
MW205455,2,2r,26-93
MW205456,2,2f,26-93
MW205457,2,2q,26-93
MW205458,2,2f,26-93
MW205459,2,2f,26-93
MW205460,2,2f,26-93
MW205461,2,2i,26-93
MW205462,2,2q,26-93
MW205463,2,2u,26-93
MW205464,2,2q,26-93
MW205465,2,2i,26-93
MW205466,2,2k,26-93
MW205467,,,
MW205468,,,
MW205469,,,
MW205470,,,
MW205471,,,
MW205472,,,
MW205473,,,
MW205474,,,
MW205475,,,
MW205476,,,
MW205477,,,
MW205478,,,
MW205479,,,
MW205480,,,
MW205481,,,
MW205482,,,
MW205483,,,
MW205484,,,
MW205485,,,
MW205486,,,
MW205487,,,
MW205488,,,
MW205489,,,
MW205490,,,
MW205491,,,
MW205492,,,
MW205493,,,
MW205494,,,
MW205495,,,
MW205496,,,
MW205497,,,
MW205498,,,
MW205499,,,
MW205500,,,
MW205501,,,
MW205502,,,
MW205503,,,
MW205504,,,
MW205505,,,
MW205506,,,
MW205507,,,
MW221786,,,
MW221787,,,
MW221788,,,
MW221789,,,
MW221790,,,
MW221791,,,
MW221792,,,
MW221793,,,
MW221794,,,
MW221795,,,
MW221796,,,
MW221797,,,
MW221798,,,
MW221799,,,
MW221800,,,
MW221801,,,
MW221802,,,
MW221803,,,
MW221804,,,
MW221805,,,
MW221806,,,
MW221807,,,
MW221808,,,
MW221809,,,
MW221810,,,
MW221811,,,
MW221812,,,
MW221813,,,
MW221814,,,
MW221815,,,
MW221816,,,
MW221817,,,
