accession,genotype,subtype
MW205376,4,
MW205377,4,4v
MW205378,4,4l
MW205379,4,4p
MW205380,4,
MW205381,4,4o
MW205382,4,4o
MW205383,4,4o
MW205384,4,4o
MW205385,4,4o
MW205386,4,4c
MW205387,4,4c
MW205388,4,4r
MW205389,4,4c
MW205390,4,4c
MW205391,4,4t
MW205392,4,4r
MW205393,4,4r
MW205394,4,4r
MW205395,4,4r
MW205396,4,4h
MW205397,4,4h
MW205398,4,4h
MW205399,4,4k
MW205400,4,4k
MW205401,4,4k
MW205402,4,4k
MW205403,4,4k
MW205404,4,4k
MW205405,4,4f
MW205406,4,4n
MW205407,4,4n
MW205408,4,4n
MW205409,4,4n
MW205410,4,4n
MW205411,4,4n
MW205412,4,4n
MW205413,4,4n
MW205414,4,4n
MW205415,6,6f
MW205416,6,
MW205417,6,6e
MW205418,6,6e
MW205419,6,6e
MW205420,6,6e
MW205421,6,6e
MW205422,6,6a
MW205423,6,6a
MW205424,6,6a
MW205425,6,6a
MW205426,1,1g
MW205427,1,1g
MW205428,1,1g
MW205429,1,1g
MW205430,3,3b
MW205431,3,3b
MW205432,3,3b
MW205433,3,3b
MW205434,3,3b
MW205435,3,3k
MW205436,2,
MW205437,2,
MW205438,2,
MW205439,2,
MW205440,2,
MW205441,2,
MW205442,2,
MW205443,2,
MW205444,2,2e
MW205445,2,
MW205446,2,2i
MW205447,2,2i
MW205448,2,2i
MW205449,2,2i
MW205450,2,
MW205451,2,2c
MW205452,2,2o
MW205453,2,2o
MW205454,2,2r
MW205455,2,2r
MW205456,2,
MW205457,2,2d
MW205458,2,2f
MW205459,2,2f
MW205460,2,2p
MW205461,2,2p
MW205462,2,
MW205463,2,
MW205464,2,
MW205465,2,
MW205466,2,2k
MW357793,,
MW357794,,
MW357795,,
MW357796,,
MW357797,,
MW357798,,
MW357799,,
MW357800,,
MW357801,,
MW357802,,
MW357803,,
MW357804,,
MW357805,,
MW357806,,
MW357807,,
MW357808,,
MW357809,,
MW357810,,
MW357811,,
MW357812,,
MW357813,,
MW357814,,
MZ327730,3,3a
MZ327731,1,1a
MZ327732,1,1a
MZ327733,1,1a
MZ327734,1,1a
MZ327735,3,3a
MZ327736,1,1a
MZ327737,1,1a
MZ327738,3,3a
MZ327739,1,1a
MZ327740,1,1a
MZ327741,1,1a
MZ327742,1,1a
MZ327743,1,1a
MZ327744,1,1a
MZ327745,3,3a
MZ327746,1,1a
MZ327747,1,1a
MZ327748,3,3a
MZ327749,1,1a
MZ327750,3,3a
MZ327751,1,1a
MZ327752,4,4d
MZ327753,1,1b
MZ327754,3,3a
MZ327755,2,2b
MZ327756,3,3a
MZ327757,3,3a
MZ327758,1,1a
MZ327759,3,3a
MZ327760,1,1a
MZ327761,1,1a
MZ327762,1,1a
MZ327763,1,1a
MZ327764,3,3a
MZ327765,1,1a
MZ327766,1,1a
MZ327767,1,1a
MZ327768,1,1a
MZ327769,1,1b
MZ327770,1,1a
MZ327771,1,1a
MZ327772,3,3a
MZ327773,3,3a
MZ327774,1,1b
MZ327775,1,1b
MZ327776,1,1a
MZ327777,1,1a
MZ327778,1,1a
MZ327779,3,3a
MZ327780,3,3a
MZ327781,3,3a
MZ327782,1,1a
MZ327783,3,3a
MZ327784,2,2b
MZ327785,1,1a
MZ327786,3,3a
MZ327787,1,1a
MZ327788,1,1a
MZ327789,3,3a
MZ327790,1,1a
MZ327791,1,1b
MZ327792,1,1a
MZ327793,1,1a
MZ327794,3,3a
MZ327795,1,1a
MZ327796,3,3a
MZ327797,1,1a
MZ327798,1,1a
MZ327799,3,3a
MZ327800,2,2b
ON506742,1,1a
ON506743,1,1a
ON506744,1,1a
ON506745,1,1a
ON506746,1,1b
ON506747,1,1a
ON506748,1,1a
ON506749,1,1a
ON506750,1,1a
ON506751,3,3a
ON506752,1,1b
ON506753,1,1a
ON506754,4,4d
ON506755,1,1b
ON506756,1,1a
ON506757,4,4a
ON506758,3,3a
ON506759,4,4a
ON506760,1,1a
ON506761,1,1a
ON506762,3,3a
ON506763,1,1a
ON506764,1,1b
ON506765,1,1a
ON506766,1,1a
ON506767,1,1a
ON506768,1,1a
ON506769,1,1a
ON506770,1,1a
ON506771,1,1a
ON506772,1,1a
ON506773,3,3a
ON506774,1,1b
ON506775,1,1a
ON506776,1,1a
ON506777,1,1a
ON506778,4,4a
ON506779,3,3a
ON506780,1,1b
ON506781,4,4a
ON506782,3,3a
ON506783,1,1a
ON506784,3,3a
ON506785,1,1b
ON506786,1,1a
ON506787,1,1a
ON506788,1,1a
ON506789,1,1a
ON506790,3,3a
ON506791,1,1b
ON506792,1,1a
ON506793,4,4d
ON506794,3,3a
ON506795,1,1a
ON506796,4,4a
ON506797,1,1a
ON506798,3,3a
ON506799,4,4d
ON506800,3,3a
ON506801,4,4a
ON506802,2,2k
ON506803,1,1a
ON506804,1,1a
ON506805,3,3a
ON506806,1,1b
ON506807,1,1a
ON506808,4,4d
ON506809,1,1a
ON506810,3,3a
ON506811,1,1a
ON506812,1,1a
ON506813,3,3a
ON506814,1,1a
ON506815,3,3a
ON506816,1,1a
ON506817,4,4d
ON506818,4,4a
ON506819,4,4d
ON506820,1,1a
ON506821,1,1a
ON506822,3,3a
ON506823,1,1a
ON506824,1,1a
ON506825,3,3a
ON314812,2,
ON314813,2,
ON314814,2,
ON314815,2,
ON314816,2,
ON314817,2,
ON314818,2,
ON314819,2,
ON314820,2,
ON314821,2,
ON314822,2,
ON314823,2,
ON314824,2,
ON314825,2,
ON314826,2,
ON314827,2,
ON314828,2,
ON123730,1,
ON123731,1,
ON123732,1,
ON123733,1,
ON123734,1,
ON123735,1,
ON123736,1,
PQ365497,1,1a
PQ365498,3,3a
PQ365499,1,1a
PQ365500,1,1a
PQ365501,3,3a
PQ365502,3,3a
PQ365503,1,1a
PQ365504,3,3i
PQ365505,3,3b
PQ365506,3,3a
PQ365507,1,1a
PQ365508,3,3a
PQ365509,3,3a
PQ365510,1,1b
PQ365511,3,3a
PQ365512,3,3a
PQ365513,3,3d
PQ365514,3,3a
PQ365515,3,3a
PQ365516,1,1a
PQ365517,3,3a
PQ365518,3,3a
PQ365519,3,3a
PQ365520,3,3a
PQ365521,3,3a
PQ365522,3,3a
PQ365523,3,3a
PQ365524,3,3e
PQ365525,3,3a
PQ365526,3,3a
PQ365527,1,1a
PQ365528,3,3a
PQ365529,3,3a
PQ365530,3,3a
PQ365531,3,3a
PQ365532,3,3a
PQ365533,1,1a
PQ365534,3,3a
PQ365535,3,3a
PQ365536,3,3a
PQ365537,3,3a
PQ365538,3,3a
PQ365539,3,3g
PQ365540,3,3a
MT633133,7,7b
MT863938,,
MT863939,,
MT863940,,
MT863941,,
MT863942,,
MT863943,,
MT863944,,
MT863945,,
MT863946,,
MT863947,,
MT863948,,
MT863949,,
MT863950,,
MT863951,,
MT863952,,
MT863953,,
MT863954,,
MT863955,,
MT863956,,
MT863957,,
MT863958,,
MT863959,,
MT863960,,
MT863961,,
MT863962,,
MT863963,,
MT863964,,
MT863965,,
MT863966,,
MT863967,,
MT863968,,
MT863969,,
MT863970,,
MT863971,,
MT863972,,
MT863973,,
MT863974,,
MT863975,,
MT863976,,
MT863977,,
MT863978,,
MT863979,,
MT863980,,
MT863981,,
MT863982,,
MT863983,,
MT863984,,
MT863985,,
MT863986,,
MT863987,,
MT863988,,
MT863989,,
MT863990,,
MT863991,,
MT863992,,
MT863993,,
MT863994,,
MT863995,,
MT863996,,
MT863997,,
MT863998,,
MT863999,,
MT864000,,
MT864001,,
MT864002,,
MT864003,,
MT864004,,
MT864005,,
MT893907,4,4r
MT893908,4,4c
MT893909,4,4c
MT893910,4,4k
MT893911,4,4r
MT893912,4,4c
MT893913,4,4r
MT893914,4,4r
MW041294,2,
MW041295,2,
MW041296,2,
MW041297,2,
MW041298,2,
MW041299,2,
ON630763,1,
ON630764,1,
ON630765,1,
ON630766,1,
ON630767,1,
ON630768,1,
ON630769,1,
ON630770,1,
ON630771,1,
ON630772,1,
ON630773,1,
ON630774,1,
ON630775,1,
ON630776,1,
ON630777,1,
ON630778,1,
ON630779,1,
ON630780,1,
ON630781,1,
ON630782,1,
ON630783,1,
ON630784,1,
ON630785,1,
ON630786,1,
ON630787,1,
ON630788,1,
ON630789,1,
ON630790,1,
ON630791,1,
ON630792,1,
ON630793,1,
ON630794,1,
ON630795,1,
ON630796,1,
ON630797,1,
ON630798,1,
ON630799,1,
ON630800,1,
ON630801,1,
ON630802,1,
ON630803,1,
ON630804,1,
ON630805,1,
ON630806,1,
ON630807,1,
ON630808,1,
ON630809,1,
ON630810,1,
ON630811,1,
ON630812,1,
