accession,genotype,subtype
MW205243,4,4n
MW205244,1,1c
MW205245,4,4r
MW205246,4,4n
MW205247,1,1c
MW205248,1,1c
MW205249,4,4r
MW205250,4,4r
MW205251,4,4n
MW205252,6,6a
MW205253,4,4r
MW205254,1,1c
MW205255,6,6a
MW205256,4,4h
MW205257,4,4c
MW205258,4,4r
MW205259,4,4r
MW205260,4,4n
MW205261,4,4o
MW205262,2,2c
MW205263,2,2c
MW205264,6,6a
MW205265,4,4o
MW205266,4,4n
MW205267,4,4k
MW205268,4,4k
MW205269,6,6a
MW205270,5,5a
MW205271,2,2c
MW205272,4,4o
MW205273,4,4c
MW205274,4,4c
MW205275,4,4l
MW205276,4,4k
MW205277,1,1c
MW205278,1,1c
MW205279,3,3b
MW205280,4,4k
MW205281,6,6a
MW205282,2,2o
MW205283,4,4h
MW205284,3,3b
MW205285,3,3b
MW205286,3,3b
MW205287,3,3b
MW205288,3,3k
MW205289,4,4h
MW205290,4,4q
MW205291,4,4f
MW205292,3,3b
MW205293,3,3b
MW205294,4,4o
MW205295,4,4k
MW205296,4,4k
MW205297,3,3k
MW205298,1,1c
MW205299,4,4f
MW205300,2,2k
MW205301,4,4t
MW205302,4,4o
MW205303,4,4o
MW205304,4,4k
MW205305,4,
MW205306,4,4v
MW205307,4,
MW205308,2,2k
MW205309,2,
MW205310,4,4v
MW205311,2,
MW205312,2,
MW205313,2,
MW205314,2,
MW205315,4,
MW205316,2,
MW205317,1,1g
MW205318,1,1g
MW205319,1,1g
MW205320,1,1g
MW205321,1,1g
MW205322,1,1g
MW205323,1,1g
MW205324,1,1g
MW205325,2,2i
MW205326,2,2i
MW205327,2,2i
MW205328,2,2i
MW205329,2,2f
MW205330,2,2f
MW205331,2,2f
MW205332,2,2f
MW205333,2,2f
MW205334,2,2f
MW205335,2,2d
MW205336,2,2f
MW205337,2,
MW205338,2,
MW205339,2,
MW205340,2,
MW205341,2,
MW205342,2,2k
MW205343,2,
MW205344,2,
MW205345,2,
MW205346,2,
MW205347,2,
MW205348,2,2e
MW205349,2,2e
MW205350,2,2p
MW205351,2,2p
MW205352,2,
MW205353,2,
MW205354,2,
MW205355,2,
MW205356,2,
MW205357,2,
MW205358,2,
MW205359,2,
MW205360,4,4h
MW205361,2,
MW205362,2,
MW205363,2,
MW205364,2,
MW205365,2,
MW205366,2,
MW205367,2,
MW205368,2,2k
MW205369,2,
MW205370,2,
MW205371,6,6e
MW205372,6,6e
MW205373,6,6e
MW205374,6,6f
