Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,PerGeneSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MW205256,4K,4K,4K,4K,4H,5,,2,4H;4K,AllFiveDisagree
MW205258,4C,4C,4C,4C,4R,5,,2,4C;4R,AllFiveDisagree
MW205274,4A,4A,4C,4C,4C,5,,2,4A;4C,AllFiveDisagree
MW205282,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205283,4K,4K,4K,4K,4H,5,,2,4H;4K,AllFiveDisagree
MW205289,4K,4K,4K,4K,4H,5,,2,4H;4K,AllFiveDisagree
MW205290,4V,4V,4Q,4Q,4Q,5,,2,4Q;4V,AllFiveDisagree
MW205307,4V,4V,4L,4L,,4,GenBank,2,4L;4V,AvailableCallsDisagree
MW205308,2Q,2Q,2K,2K,2K,5,,2,2K;2Q,AllFiveDisagree
MW205312,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205313,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205314,2J,2J,2A,2A,,4,GenBank,2,2A;2J,AvailableCallsDisagree
MW205329,2C,2C,2F,2F,2F,5,,2,2C;2F,AllFiveDisagree
MW205330,2A,2A,2F,2F,2F,5,,2,2A;2F,AllFiveDisagree
MW205331,2C,2C,2F,2F,2F,5,,2,2C;2F,AllFiveDisagree
MW205332,2B,2B,2F,2F,2F,5,,2,2B;2F,AllFiveDisagree
MW205333,2B,2B,2F,2F,2F,5,,2,2B;2F,AllFiveDisagree
MW205334,2B,2B,2F,2F,2F,5,,2,2B;2F,AllFiveDisagree
MW205335,2J,2J,2D,2D,2D,5,,2,2D;2J,AllFiveDisagree
MW205336,2J,2J,2D,2D,2F,5,,3,2D;2F;2J,AllFiveDisagree
MW205337,2J,2J,2M,2M,,4,GenBank,2,2J;2M,AvailableCallsDisagree
MW205338,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205340,2M,2M,2K,2K,,4,GenBank,2,2K;2M,AvailableCallsDisagree
MW205341,2J,2J,2F,2F,,4,GenBank,2,2F;2J,AvailableCallsDisagree
MW205342,2J,2J,2M,2M,2K,5,,3,2J;2K;2M,AllFiveDisagree
MW205343,2J,2J,2M,2M,,4,GenBank,2,2J;2M,AvailableCallsDisagree
MW205345,2J,2J,2M,2M,,4,GenBank,2,2J;2M,AvailableCallsDisagree
MW205347,2J,2J,2M,2M,,4,GenBank,2,2J;2M,AvailableCallsDisagree
MW205350,2J,2J,2F,2F,2P,5,,3,2F;2J;2P,AllFiveDisagree
MW205351,2A,2A,2F,2F,2P,5,,3,2A;2F;2P,AllFiveDisagree
MW205352,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205353,2J,2J,2D,2D,,4,GenBank,2,2D;2J,AvailableCallsDisagree
MW205354,2J,2J,2F,2F,,4,GenBank,2,2F;2J,AvailableCallsDisagree
MW205355,2J,2J,2K,2K,,4,GenBank,2,2J;2K,AvailableCallsDisagree
MW205359,2J,2J,2D,2D,,4,GenBank,2,2D;2J,AvailableCallsDisagree
MW205360,4K,4K,4K,4K,4H,5,,2,4H;4K,AllFiveDisagree
MW205361,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205362,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205363,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205364,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205365,2J,2J,2F,2F,,4,GenBank,2,2F;2J,AvailableCallsDisagree
MW205366,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205369,2J,2J,2K,2K,,4,GenBank,2,2J;2K,AvailableCallsDisagree
MW205370,2Q,2Q,2R,2R,,4,GenBank,2,2Q;2R,AvailableCallsDisagree
MW205374,6T,6T,1A,1A,6F,5,,3,1A;6F;6T,AllFiveDisagree
MW205375,6W,6W,8A,8A,,4,GenBank,2,6W;8A,AvailableCallsDisagree
MW205467,2J,2J,2C,2C,,4,GenBank,2,2C;2J,AvailableCallsDisagree
MW205468,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205469,2B,2B,2V,2V,,4,GenBank,2,2B;2V,AvailableCallsDisagree
MW205470,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205471,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205472,2J,2J,2C,2C,,4,GenBank,2,2C;2J,AvailableCallsDisagree
MW205475,2A,2A,2K,2K,,4,GenBank,2,2A;2K,AvailableCallsDisagree
MW205477,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205479,2J,2J,2A,2A,2K,5,,3,2A;2J;2K,AllFiveDisagree
MW205480,2B,2B,2F,2F,2F,5,,2,2B;2F,AllFiveDisagree
MW205481,2B,2B,2F,2F,2F,5,,2,2B;2F,AllFiveDisagree
MW205482,2J,2J,2F,2F,2P,5,,3,2F;2J;2P,AllFiveDisagree
MW205483,2J,2J,2D,2D,2P,5,,3,2D;2J;2P,AllFiveDisagree
MW205484,2J,2J,2D,2D,2D,5,,2,2D;2J,AllFiveDisagree
MW205487,2J,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
MW205488,2J,2J,2K,2K,,4,GenBank,2,2J;2K,AvailableCallsDisagree
MW205489,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205490,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205492,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205493,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205494,2J,2J,2R,2R,,4,GenBank,2,2J;2R,AvailableCallsDisagree
MW205506,3B,3B,3B,3B,2F,5,,2,2F;3B,AllFiveDisagree
MZ327743,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1B-1A",1A,1B,1A,5,,4,"1A;1B;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1B-1A",AllFiveDisagree
PP484707,2B,2Q,2U,2U,,4,GenBank,3,2B;2Q;2U,AvailableCallsDisagree
PP484708,1C,1C,1D,1D,,4,GenBank,2,1C;1D,AvailableCallsDisagree
PP484709,1C,1C,1L,1L,,4,GenBank,2,1C;1L,AvailableCallsDisagree
PP484710,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PP484712,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484715,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
PP484716,4D,4D,4P,4P,,4,GenBank,2,4D;4P,AvailableCallsDisagree
PP484719,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
PP484722,4F,4F,4M,4M,,4,GenBank,2,4F;4M,AvailableCallsDisagree
PP484723,4V,4V,4L,4L,,4,GenBank,2,4L;4V,AvailableCallsDisagree
PP484724,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484729,2J,2J,2A,2A,,4,GenBank,2,2A;2J,AvailableCallsDisagree
PP484731,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PP484732,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484737,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484740,4K,4K,4M,4M,,4,GenBank,2,4K;4M,AvailableCallsDisagree
PP484741,4F,4F,4M,4M,,4,GenBank,2,4F;4M,AvailableCallsDisagree
PP484744,4R,4R,4P,4P,,4,GenBank,2,4P;4R,AvailableCallsDisagree
PP484745,1B,1B,1O,1O,,4,GenBank,2,1B;1O,AvailableCallsDisagree
PP484746,1B,1B,1O,1O,,4,GenBank,2,1B;1O,AvailableCallsDisagree
PP484750,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PP484752,4D,4P,4P,4P,,4,GenBank,2,4D;4P,AvailableCallsDisagree
PP484753,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484756,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PP484757,2M,2J,2U,2U,,4,GenBank,3,2J;2M;2U,AvailableCallsDisagree
PP484762,4F,4F,4L,4L,4T,5,,3,4F;4L;4T,AllFiveDisagree
PP484769,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484771,2A,2Q,2R,2R,,4,GenBank,3,2A;2Q;2R,AvailableCallsDisagree
PP484775,4F,4F,4L,4L,,4,GenBank,2,4F;4L,AvailableCallsDisagree
PP484776,1B,1B,1C,1C,,4,GenBank,2,1B;1C,AvailableCallsDisagree
PP484777,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484779,2J,2J,2U,2U,2R,5,,3,2J;2R;2U,AllFiveDisagree
PP484785,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484786,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484790,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484794,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484795,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484798,4V,4V,4T,4T,4T,5,,2,4T;4V,AllFiveDisagree
PP484799,4V,4V,4P,4P,,4,GenBank,2,4P;4V,AvailableCallsDisagree
PP484802,4V,4V,4C,4C,,4,GenBank,2,4C;4V,AvailableCallsDisagree
