Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,FullSeqClosestSubtypeAlignedNT,PerGeneSubtype,PerGeneClosestSubtypeAlignedNT,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MW205378,4V,4V,4Q,627,4Q,588,4L,5,,3,4L;4Q;4V,AllFiveDisagree
MW205379,4V,4V,4L,644,4V,608,4P,5,,3,4L;4P;4V,AllFiveDisagree
MW205380,4V,4V,4Q,665,4P,608,,4,GenBank,3,4P;4Q;4V,AvailableCallsDisagree
MW205384,4V,4V,4Q,662,4V,602,4O,5,,3,4O;4Q;4V,AllFiveDisagree
MW205385,4V,4V,4V,662,4V,602,4O,5,,2,4O;4V,AllFiveDisagree
MW205386,4A,4A,4C,673,4C,603,4C,5,,2,4A;4C,AllFiveDisagree
MW205388,4A,4A,4C,643,4C,606,4R,5,,3,4A;4C;4R,AllFiveDisagree
MW205390,4A,4A,4C,702,4C,612,4C,5,,2,4A;4C,AllFiveDisagree
MW205396,4K,4G,4G,670,4G,619,4H,5,,3,4G;4H;4K,AllFiveDisagree
MW205397,4K,4K,4L,665,4D,610,4H,5,,4,4D;4H;4K;4L,AllFiveDisagree
MW205398,4R,4R,4K,662,4V,610,4H,5,,4,4H;4K;4R;4V,AllFiveDisagree
MW205415,4D,4D,6F,281,6F,281,6F,5,,2,4D;6F,AllFiveDisagree
MW205416,1L,1L,4D,417,4D,417,,4,GenBank,2,1L;4D,AvailableCallsDisagree
MW205436,2J,2J,2I,331,2I,331,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205437,2J,2J,2I,443,2I,443,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205438,2J,2J,2I,331,2I,331,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205439,2J,2A,2V,452,2V,452,,4,GenBank,3,2A;2J;2V,AvailableCallsDisagree
MW205440,2A,2A,2U,329,2U,329,,4,GenBank,2,2A;2U,AvailableCallsDisagree
MW205441,2A,2A,2I,461,2I,458,,4,GenBank,2,2A;2I,AvailableCallsDisagree
MW205442,2J,2J,2D,410,2D,407,,4,GenBank,2,2D;2J,AvailableCallsDisagree
MW205443,2J,2J,2V,446,2V,443,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205445,2J,2J,2U,459,2U,459,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205450,2J,2J,2I,425,2I,425,,4,GenBank,2,2I;2J,AvailableCallsDisagree
MW205452,2C,2C,2C,464,2C,461,2O,5,,2,2C;2O,AllFiveDisagree
MW205453,2C,2C,2C,464,2C,460,2O,5,,2,2C;2O,AllFiveDisagree
MW205456,2A,2A,2F,443,2F,443,,4,GenBank,2,2A;2F,AvailableCallsDisagree
MW205457,2B,2B,2Q,315,2Q,315,2D,5,,3,2B;2D;2Q,AllFiveDisagree
MW205458,2J,2J,2F,464,2F,461,2F,5,,2,2F;2J,AllFiveDisagree
MW205459,2A,2A,2F,464,2F,461,2F,5,,2,2A;2F,AllFiveDisagree
MW205460,2A,2A,2F,455,2F,455,2P,5,,3,2A;2F;2P,AllFiveDisagree
MW205461,2A,2A,2I,463,2I,461,2P,5,,3,2A;2I;2P,AllFiveDisagree
MW205462,2J,2J,2Q,326,2Q,326,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
MW205463,2A,2A,2U,434,2U,434,,4,GenBank,2,2A;2U,AvailableCallsDisagree
MW205464,2A,2A,2Q,460,2Q,457,,4,GenBank,2,2A;2Q,AvailableCallsDisagree
MW205465,2A,2A,2I,438,2I,438,,4,GenBank,2,2A;2I,AvailableCallsDisagree
MZ327743,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1B-1A",1A,9234,1A,639,1A,5,,3,"1A;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1B-1A",AllFiveDisagree
ON506802,1B,1B,1B,758,1B,608,2K,5,,2,1B;2K,AllFiveDisagree
ON314812,2K,2J,2Q,6393,2Q,632,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314813,2K,2K,2K,9175,2F,632,,4,GenBank,2,2F;2K,AvailableCallsDisagree
ON314815,2J,2J,2Q,9172,2Q,632,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314816,2J,2J,2D,9172,2J,633,,4,GenBank,2,2D;2J,AvailableCallsDisagree
ON314817,2K,2J,2Q,9177,2Q,633,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314818,2K,2K,2K,9174,2U,635,,4,GenBank,2,2K;2U,AvailableCallsDisagree
ON314820,2J,2Q,2Q,9174,2Q,630,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314821,2J,2C,2D,9172,2Q,632,,4,GenBank,4,2C;2D;2J;2Q,AvailableCallsDisagree
ON314822,2K,2Q,2Q,5325,2Q,633,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314823,2J,2A,2Q,9357,2Q,632,,4,GenBank,3,2A;2J;2Q,AvailableCallsDisagree
ON314824,2Q,2J,2Q,9386,2Q,633,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314825,2J,2J,2Q,9418,2Q,633,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314826,2J,2Q,2C,9443,2Q,634,,4,GenBank,3,2C;2J;2Q,AvailableCallsDisagree
PQ365513,3A,3A,3D,7317,3D,623,3D,5,,2,3A;3D,AllFiveDisagree
PQ365524,3A,3A,3E,7857,3E,621,3E,5,,2,3A;3E,AllFiveDisagree
MT633133,3A,3A,7B,1338,7B,630,7B,5,,2,3A;7B,AllFiveDisagree
MT893908,4A,4A,4C,423,4C,405,4C,5,,2,4A;4C,AllFiveDisagree
MT893909,4A,4C,4C,423,4C,405,4C,5,,2,4A;4C,AllFiveDisagree
MT893912,4A,4A,4C,423,4C,417,4C,5,,2,4A;4C,AllFiveDisagree
MW041294,2J,2J,2C,9430,2E,632,,4,GenBank,3,2C;2E;2J,AvailableCallsDisagree
MW041295,2J,2J,2V,9403,2V,633,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041296,2J,2J,2C,9414,2Q,630,,4,GenBank,3,2C;2J;2Q,AvailableCallsDisagree
MW041297,2J,2J,2V,9390,2V,633,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041298,2J,2J,2V,9359,2V,633,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041299,2J,2J,2V,9390,2V,633,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MN628580,1A,1A,1A,9394,1A,639,3A,5,,2,1A;3A,AllFiveDisagree
MN628581,3A,3A,3A,9416,3A,639,1A,5,,2,1A;3A,AllFiveDisagree
MN641932,4D,4D,1D,315,1D,315,,4,GenBank,2,1D;4D,AvailableCallsDisagree
MN641972,4D,4D,1A,315,1A,315,,4,GenBank,2,1A;4D,AvailableCallsDisagree
MT151161,1B,1B,1N,354,1N,354,1N,5,,2,1B;1N,AllFiveDisagree
MT151162,4F,4F,4G,353,4G,347,,4,GenBank,2,4F;4G,AvailableCallsDisagree
MT151165,2J,2J,2R,351,2R,350,2J,5,,2,2J;2R,AllFiveDisagree
MT151171,2J,2J,2U,354,2U,351,2U,5,,2,2J;2U,AllFiveDisagree
MT151176,1H,1H,1D,353,1D,353,,4,GenBank,2,1D;1H,AvailableCallsDisagree
MT151194,4A,4A,4C,354,4C,348,4C,5,,2,4A;4C,AllFiveDisagree
