Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,PerGeneSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MZ327743,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1A-1B",1A,1A,1A,5,,2,"1A;UNASSIGNED_1, 1A-1B",AllFiveDisagree
ON314812,2K,2J,2Q,2K,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314813,2K,2K,2K,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314815,2J,2K,2Q,2Q,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314816,2J,2J,2D,2D,,4,GenBank,2,2D;2J,AvailableCallsDisagree
ON314817,2K,2Q,2Q,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314818,2K,2K,2K,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314819,2Q,2K,2Q,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314820,2J,2K,2Q,2K,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314821,2J,2J,2D,2V,,4,GenBank,3,2D;2J;2V,AvailableCallsDisagree
ON314823,2J,2M,2Q,2M,,4,GenBank,3,2J;2M;2Q,AvailableCallsDisagree
ON314825,2J,2Q,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314826,2J,2J,2C,2C,,4,GenBank,2,2C;2J,AvailableCallsDisagree
ON314827,2Q,2K,2Q,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314828,2Q,2K,2Q,2K,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
PQ365513,3A,3A,3D,3D,3D,5,,2,3A;3D,AllFiveDisagree
PQ365524,3A,3A,3E,3E,3E,5,,2,3A;3E,AllFiveDisagree
MT633132,1B,1B,7B,7B,7B,5,,2,1B;7B,AllFiveDisagree
MW041294,2J,2J,2C,2R,,4,GenBank,3,2C;2J;2R,AvailableCallsDisagree
MW041295,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041296,2J,2C,2C,2R,,4,GenBank,3,2C;2J;2R,AvailableCallsDisagree
MW041297,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041298,2J,2A,2V,2V,,4,GenBank,3,2A;2J;2V,AvailableCallsDisagree
MW041299,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MN628580,1A,1A,1A,1A,3A,5,,2,1A;3A,AllFiveDisagree
MN628581,3A,3A,3A,3A,1A,5,,2,1A;3A,AllFiveDisagree
MN650807,"UNASSIGNED_1, 1A-4D","UNASSIGNED_1, 1A-4D",1A,1A,,4,GenBank,2,"1A;UNASSIGNED_1, 1A-4D",AvailableCallsDisagree
PQ660835,"UNASSIGNED_1, 1A-4A-4V","UNASSIGNED_1, 1A-4A",1A,1A,1A,5,,3,"1A;UNASSIGNED_1, 1A-4A;UNASSIGNED_1, 1A-4A-4V",AllFiveDisagree
PQ660852,"UNASSIGNED_1, 4A-1A",4A,4A,4A,4A,5,,2,"4A;UNASSIGNED_1, 4A-1A",AllFiveDisagree
PQ660853,"UNASSIGNED_1, 1A-4A",1A,1A,1A,1A,5,,2,"1A;UNASSIGNED_1, 1A-4A",AllFiveDisagree
PQ660855,"UNASSIGNED_1, 1A-4A-4V",1A,1A,1A,1A,5,,2,"1A;UNASSIGNED_1, 1A-4A-4V",AllFiveDisagree
