Accession,Subtype
AB030907,2b
AB031663,2k
AB047639,2a
AF064490,5a
AM910652,1g
AY051292,1c
AY859526,6a
D00944,2a
D10988,2b
D14853,1c
D17763,3a
D28917,3a
D49374,3b
D50409,2c
D63821,3k
D63822,6g
D84262,6b
D84263,6d
D84264,6k
D84265,6h
D90208,1b
DQ155561,2i
DQ278891,6xj
DQ278892,6w
DQ278894,6n
DQ314805,6e
DQ418786,4d
DQ835760,6f
DQ835767,6m
DQ835768,6n
DQ835769,6j
DQ835770,6i
EF108306,7a
EF424625,6q
EF424626,6p
EF424627,6o
EF424628,6l
EF424629,6c
EF589161,4f
EF632071,6t
EU158186,6v
EU246939,6t
EU246940,6u
EU392173,4k
EU392175,4f
EU408328,6r
EU408329,6s
EU408330,6xa
EU408332,6xa
EU643834,6w
EU798760,6v
FJ025855,4w
FJ025856,4w
FJ407092,3i
FJ462431,4p
FJ462432,4g
FJ462433,4m
FJ462434,4q
FJ462435,4b
FJ462436,4c
FJ462437,4d
FJ462438,4k
FJ462439,4r
FJ462440,4o
FJ462441,4n
FJ839869,4t
FJ839870,4l
FN666428,2q
FN666429,2q
HM777358,2j
HQ537009,4v
JF735111,2m
JF735112,2u
JF735113,2j
JF735114,2d
JF735115,2r
JF735120,2e
JF735121,3h
JF735122,3k
JF735123,3g
JF735136,4s
JX183549,6xi
JX183552,6xb
JX183557,6xe
JX227954,3g
JX227955,3i
JX227959,4v
JX227967,2m
KC197235,2l
KC197238,2t
KC197240,2l
KC248193,1l
KC248194,1e
KC248197,1l
KC248198,1h
KC248199,1h
KC844042,2f
KC844050,2f
KJ439768,1d
KJ439769,1e
KJ439770,1g
KJ439772,1i
KJ439773,1j
KJ439774,1k
KJ439775,1n
KJ439778,1m
KJ439779,1o
KJ439781,1n
KJ439782,1m
KJ470618,3e
KJ470619,3d
KJ567645,6xb
KJ567646,6xf
KJ567647,6xf
KJ567651,6xc
KM252789,6xd
KM252790,6xd
KM252792,6xe
KX092342,7b
M58335,1b
M62321,1a
M67463,1a
MG879000,6xh
MH492360,6xg
MH492361,6xg
MH590698,8a
MH885469,1o
MW041295,2v
MZ171127,6xj
MZ504973,6xi
PQ899568,5b
Y11604,4a
Y12083,6a
Y13184,5a
