Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MW205376,4,78.898,635,4v,87.717,635,2111-2179,
MW205378,4,78.914,626,4q,85.167,627,2111-2179,
MW205379,4,80.581,654,4l,85.559,644,2111-2179,
MW205380,4,78.378,666,4q,83.158,665,2111-2179,
MW205381,4,81.561,602,4o,91.523,637,2111-2179,
MW205382,4,80.265,679,4o,91.728,677,2111-2179,
MW205383,4,81.536,677,4o,90.251,677,2111-2179,
MW205385,4,77.863,655,4v,82.628,662,2111-2179,
MW205386,4,83.832,668,4c,90.936,673,2111-2179,
MW205388,4,84.938,644,4c,91.446,643,2111-2179,
MW205390,4,84.370,691,4c,88.746,702,2111-2179,
MW205392,4,75.804,653,4r,89.740,653,2111-2179,
MW205393,4,77.458,661,4r,90.592,659,2111-2179,
MW205395,4,75.477,681,4r,90.469,682,2111-2179,
MW205396,4,77.083,672,4g,80.149,670,2111-2179,
MW205397,4,77.266,673,4l,81.353,665,2111-2179,
MW205399,4,76.712,657,4k,89.458,664,2111-2179,
MW205400,4,75.923,623,4k,86.414,633,2111-2179,
MW205401,4,75.190,657,4k,90.677,665,2111-2179,
MW205403,4,76.702,661,4k,91.654,659,2111-2179,
MW205404,4,77.519,645,4k,90.578,658,2111-2179,
MW205405,4,77.419,682,4f,90.455,681,2111-2179,
MW205407,4,80.477,461,4n,92.934,467,2111-2179,
MW205411,4,81.046,459,4n,91.863,467,2111-2179,
MW205413,4,80.911,461,4n,91.221,467,2111-2179,
MW205417,6,76.443,1074,6e,81.765,1031,2111-2179,
MW205418,6,72.356,416,6e,91.346,416,2111-2179,
MW205419,6,72.530,415,6e,92.736,413,2111-2179,
MW205421,6,72.222,414,6e,85.437,412,2111-2179,
MW205426,1,79.302,430,1g,92.326,430,2111-2179,
MW205428,1,80.275,436,1g,92.202,436,2111-2179,
MW205431,3,72.549,357,3b,87.328,363,2111-2179,
MW205432,3,74.652,359,3b,86.685,368,2111-2179,
MW205433,3,73.720,293,3b,84.566,311,2111-2179,
MW205435,3,71.913,737,3k,90.508,748,2116-2179,
MW205438,2,83.988,331,2i,84.592,331,2111-2179,
MW205440,2,83.082,331,2u,83.587,329,2111-2179,
MW205446,2,81.882,425,2i,91.375,429,2111-2179,
MW205447,2,84.870,423,2i,91.943,422,2111-2179,
MW205448,2,84.688,320,2i,91.250,320,2111-2179,
MW205451,2,79.680,438,2c,88.356,438,2111-2179,
MW205453,2,78.478,460,2c,87.284,464,2111-2179,
MW205455,2,80.952,462,2r,90.713,463,2111-2179,
MW205456,2,82.393,443,2f,83.973,443,2111-2179,
MW205458,2,80.952,462,2f,86.853,464,2111-2179,
MW205460,2,81.798,456,2f,85.934,455,2111-2179,
MW205462,2,78.994,338,2q,83.436,326,2111-2179,
MW205464,2,78.556,457,2q,81.739,460,2111-2179,
MW357793,1,76.829,410,1b,90.754,411,2111-2179,
MW357794,1,78.832,411,1b,91.241,411,2111-2179,
MW357795,1,78.589,411,1b,92.457,411,2111-2179,
MW357796,1,78.780,410,1b,91.241,411,2111-2179,
