Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover
MW205467,2,82.887,2c,83.905,2683-2855,
MW205468,2,82.292,2v,83.756,2683-2855,
MW205469,2,82.414,2v,84.328,2683-2855,
MW205470,2,83.360,2v,83.520,2691-2855,
MW205471,2,84.673,2u,86.140,2683-2855,
MW205473,2,84.418,2k,85.930,2683-2855,
MW205477,2,83.159,2u,84.352,2683-2855,
MW205479,2,84.054,2a,85.991,2683-2855,
MW205480,2,80.838,2f,89.820,2683-2855,
MW205482,2,82.861,2f,87.034,2683-2855,
MW205483,2,82.256,2d,86.917,2683-2855,
MW205484,2,81.763,2d,85.866,2683-2855,
MW205485,2,82.116,2r,91.654,2683-2855,
MW205488,2,83.159,2k,86.289,2683-2855,
MW205489,2,83.131,2v,85.562,2683-2855,
MW205490,2,80.861,2v,83.308,2683-2855,
MW205492,2,82.635,2c,93.114,2683-2855,
MW205493,2,81.371,2c,91.654,2683-2855,
MW205494,2,81.571,2r,83.384,2683-2855,
MW205495,2,83.435,2i,91.489,2683-2855,
MW205496,2,82.712,2i,91.952,2683-2855,
MW205497,2,82.219,2i,90.578,2683-2855,
MW205498,2,83.458,2i,90.760,2683-2855,
MW205499,3,81.833,3b,90.671,2684-2855,
MW205500,3,82.787,3b,90.164,2684-2855,
MW205501,3,82.430,3b,93.103,2684-2855,
MW205504,3,81.506,3b,92.308,2684-2855,
MW205505,3,82.947,3b,92.219,2686-2855,
MW205506,3,82.701,3b,92.109,2683-2855,
MW357756,1,79.822,1b,92.464,2683-2855,
MW357771,1,80.488,1b,92.683,2683-2855,
MZ327730,3,93.619,3a,92.183,2683-2855,
MZ327731,1,91.981,1a,91.959,2683-2855,
MZ327732,1,94.367,1a,94.302,2683-2855,
MZ327733,1,91.605,1a,91.389,2683-2855,
MZ327737,1,93.317,1a,93.067,2683-2855,
MZ327738,3,94.188,3a,92.376,2683-2855,
MZ327739,1,93.281,1a,92.923,2683-2855,
MZ327741,1,91.627,1a,91.518,2683-2855,
MZ327742,1,92.024,1a,91.797,2683-2855,
MZ327745,3,92.903,3a,92.539,2683-2855,
MZ327748,3,93.594,3a,92.883,2683-2855,
MZ327750,3,93.811,3a,92.432,2683-2855,
MZ327754,3,93.994,3a,92.333,2683-2855,
MZ327756,3,93.034,3a,92.429,2683-2855,
MZ327757,3,92.925,3a,92.213,2683-2855,
MZ327759,3,93.077,3a,92.584,2683-2855,
MZ327763,1,92.716,1a,92.495,2683-2855,
MZ327764,3,93.118,3a,92.353,2683-2855,
MZ327770,1,93.403,1a,93.045,2683-2855,
MZ327772,3,92.752,3a,92.203,2683-2855,
MZ327773,3,93.468,3a,92.191,2683-2855,
MZ327778,1,94.530,1a,94.346,2683-2855,
MZ327779,3,92.460,3a,91.773,2683-2855,
MZ327780,3,92.762,3a,92.041,2683-2855,
MZ327781,3,93.745,3a,92.084,2683-2855,
MZ327782,1,94.267,1a,94.188,2683-2855,
MZ327783,3,92.418,3a,91.946,2683-2855,
MZ327785,1,94.323,1a,94.367,2683-2855,
MZ327786,3,93.258,3a,92.613,2683-2855,
MZ327789,3,92.382,3a,91.766,2683-2855,
MZ327790,1,91.927,1a,91.645,2683-2855,
MZ327793,1,93.701,1a,93.862,,
MZ327794,3,93.637,3a,92.063,2683-2855,
MZ327795,1,91.714,1a,91.237,2683-2855,
MZ327796,3,94.568,3a,93.070,2683-2855,
MZ327799,3,93.692,3a,92.052,2683-2855,
PQ335035,1,95.637,1a,95.106,2683-2855,
PQ335036,1,95.912,1a,95.079,2683-2855,
PQ335037,1,96.226,1a,95.637,2683-2855,
PQ335038,1,96.342,1a,95.575,2683-2855,
PQ335039,1,95.819,1a,95.230,2683-2855,
PQ335040,1,95.534,1a,95.079,2683-2855,
PQ335041,1,95.696,1a,94.988,2683-2855,
PQ335042,1,93.698,1a,93.404,2683-2855,
PQ335045,1,93.278,1a,92.925,2683-2855,
PQ335046,1,95.991,1a,95.106,2683-2855,
PQ335049,1,95.524,1a,94.817,2683-2855,
PQ335050,1,93.915,1a,93.122,2779-2855,
PQ335051,1,96.167,1a,95.460,2683-2855,
PQ335052,1,95.224,1a,94.517,2683-2855,
PQ335053,1,93.414,1a,93.617,2683-2855,
PQ335054,1,89.537,1a,89.296,2683-2855,
PQ335055,1,96.466,1a,95.819,2683-2855,
PQ335056,1,95.814,1a,95.224,2683-2855,
PQ335057,1,93.822,1a,93.247,2683-2855,
PQ335058,1,93.684,1a,93.388,2683-2855,
PQ335059,1,95.819,1a,95.347,2683-2855,
PQ335061,1,96.403,1a,95.932,2683-2855,
PQ335062,1,96.108,1a,95.401,2683-2855,
PQ335064,1,95.460,1a,95.519,2683-2855,
PQ335065,1,95.044,1a,94.572,2683-2855,
PQ335066,1,95.932,1a,95.165,2683-2855,
PQ335067,1,96.231,1a,95.642,2683-2855,
PQ335068,1,96.291,1a,95.761,2683-2855,
PQ335070,1,95.811,1a,95.212,2683-2855,
PQ335071,1,96.521,1a,95.696,2683-2855,
PQ335072,1,93.565,1a,93.565,2683-2855,
PQ335073,1,95.932,1a,95.224,2683-2855,
PQ335074,1,95.637,1a,95.106,2683-2855,
PQ335075,1,93.278,1a,92.925,2683-2855,
PQ335077,1,95.932,1a,95.283,2683-2855,
PQ335078,1,95.578,1a,95.106,2683-2855,
PQ335079,1,95.932,1a,95.342,2683-2855,
PQ335082,1,96.482,1a,95.700,2683-2855,
PQ335084,1,93.096,1a,92.954,2683-2855,
PQ335085,1,95.814,1a,94.988,2683-2855,
PQ335086,1,95.632,1a,94.923,2683-2855,
PQ335087,1,94.935,1a,94.582,2683-2855,
PQ335088,1,94.696,1a,94.201,2683-2855,
PQ335091,4,92.284,4a,92.284,2683-2855,
PQ335092,4,92.436,4a,92.436,2683-2855,
PQ335093,4,92.803,4a,92.803,2683-2855,
PQ335094,4,91.824,4a,91.824,2683-2855,
PQ335097,4,92.034,4a,92.034,2683-2855,
PQ335100,4,93.116,4a,93.116,2683-2855,
PQ335104,4,92.511,4a,92.511,2683-2855,
PQ335107,4,92.436,4a,92.436,2683-2855,
PQ335108,4,91.997,4a,91.997,2683-2855,
PQ335111,4,92.511,4a,92.511,2683-2855,
PQ335112,4,90.769,4a,90.769,2683-2855,
PQ335118,4,92.133,4a,92.133,2683-2855,
PQ335119,4,92.814,4a,92.814,2683-2855,
PQ335120,4,92.650,4a,92.650,2683-2855,
PQ335121,4,92.808,4a,92.808,2683-2855,
PQ335126,4,92.360,4a,92.360,2683-2855,
PQ335127,4,93.183,4a,93.183,2683-2855,
PQ335128,4,92.511,4a,92.511,2683-2855,
PQ335129,4,92.209,4a,92.209,2683-2855,
PQ335132,4,92.650,4a,92.650,2683-2855,
PQ335133,4,93.192,4a,93.192,2683-2855,
PQ335136,4,92.133,4a,92.133,2683-2855,
PQ335138,4,92.297,4a,92.297,2683-2855,
PQ335140,4,92.133,4a,92.133,2683-2855,
PQ335144,4,92.294,4a,92.294,2683-2855,
PQ335145,4,92.663,4a,92.663,2683-2855,
PQ335146,4,92.738,4a,92.738,2683-2855,
PQ335147,4,92.337,4a,92.337,2683-2855,
PQ335151,4,92.511,4a,92.511,2683-2855,
PQ335152,4,92.663,4a,92.663,2683-2855,
PQ335153,4,93.192,4a,93.192,2683-2855,
PQ335154,4,92.133,4a,92.133,2683-2855,
PQ335157,4,92.709,4a,92.709,2683-2855,
PQ365497,1,92.557,1a,92.258,2683-2855,
PQ365498,3,92.494,3a,91.389,2683-2855,
PQ365499,1,93.027,1a,92.612,2683-2855,
PQ365500,1,93.336,1a,92.932,2683-2855,
PQ365501,3,92.855,3a,91.361,2683-2855,
PQ365503,1,92.477,1a,92.226,2683-2855,
PQ365504,3,77.990,3i,93.038,2683-2855,
PQ365505,3,78.154,3b,88.745,2683-2855,
PQ365506,3,92.377,3a,90.914,2683-2855,
PQ365507,1,92.279,1a,91.932,2683-2855,
PQ365508,3,92.959,3a,91.460,2683-2855,
PQ365509,3,93.000,3a,91.981,2683-2855,
PQ365510,1,79.269,1b,88.706,2683-2855,
PQ365511,3,93.362,3a,92.120,2683-2855,
PQ365514,3,92.677,3a,91.246,2683-2855,
PQ365515,3,92.599,3a,91.190,2683-2855,
PQ365519,3,93.431,3a,91.588,2683-2855,
PQ365520,3,92.812,3a,92.089,2683-2855,
PQ365521,3,92.936,3a,91.790,2683-2855,
PQ365522,3,93.299,3a,91.890,2683-2855,
PQ365523,3,92.567,3a,91.021,2683-2855,
PQ365524,3,78.831,3e,89.309,2683-2855,
PQ365525,3,91.766,3a,90.512,2683-2855,
PQ365526,3,92.839,3a,91.507,2683-2855,
PQ365527,1,92.848,1a,92.441,2683-2855,
PQ365528,3,92.122,3a,90.939,2683-2855,
PQ365529,3,93.050,3a,91.922,2683-2855,
PQ365530,3,93.082,3a,91.436,2683-2855,
PQ365532,3,93.044,3a,91.966,2683-2855,
PQ365533,1,92.796,1a,92.402,2683-2855,
PQ365534,3,92.509,3a,91.318,2683-2855,
PQ365535,3,93.087,3a,91.809,2683-2855,
PQ365536,3,93.276,3a,91.859,2683-2855,
PQ365537,3,93.168,3a,92.050,2683-2855,
PQ365538,3,93.260,3a,91.777,2683-2855,
PQ365539,3,83.237,3g,92.170,2683-2855,
PQ365540,3,92.362,3a,90.940,2683-2855,
ON630763,1,90.882,1a,90.642,2683-2855,
ON630764,1,91.743,1a,91.557,2683-2855,
ON630765,1,91.363,1a,91.068,2683-2855,
ON630766,1,94.649,1a,94.245,2683-2855,
ON630767,1,94.322,1a,93.776,2683-2855,
ON630768,1,94.113,1a,93.665,2683-2855,
ON630769,1,93.656,1a,93.515,2683-2855,
ON630770,1,94.922,1a,94.366,2683-2855,
ON630771,1,93.852,1a,93.405,2683-2855,
ON630772,1,93.481,1a,93.154,2683-2855,
ON630773,1,91.188,1a,91.278,2683-2855,
ON630774,1,91.843,1a,91.647,2683-2855,
ON630775,1,94.660,1a,94.202,2683-2855,
ON630776,1,94.999,1a,94.573,2683-2855,
ON630777,1,91.194,1a,91.157,2683-2855,
ON630778,1,94.573,1a,94.224,2683-2855,
ON630779,1,94.486,1a,94.169,2683-2855,
ON630780,1,94.626,1a,94.190,2683-2855,
ON630781,1,93.612,1a,93.361,2683-2855,
ON630782,1,93.699,1a,93.306,2683-2855,
ON630783,1,91.690,1a,91.548,2683-2855,
ON630784,1,94.475,1a,94.060,2683-2855,
ON630785,1,94.868,1a,94.453,2683-2855,
ON630786,1,91.516,1a,91.286,2683-2855,
ON630787,1,94.377,1a,94.071,2683-2855,
ON630788,1,94.726,1a,94.191,2683-2855,
ON630789,1,91.898,1a,91.810,2683-2855,
ON630790,1,91.821,1a,91.647,2683-2855,
ON630791,1,91.789,1a,91.603,2683-2855,
ON630792,1,93.547,1a,93.416,2683-2855,
ON630793,1,91.679,1a,91.584,2683-2855,
ON630794,1,93.645,1a,93.274,2683-2855,
ON630795,1,94.355,1a,93.929,2683-2855,
ON630796,1,91.002,1a,91.002,2683-2855,
ON630797,1,91.243,1a,91.013,2683-2855,
ON630798,1,91.494,1a,91.203,2683-2855,
ON630799,1,91.451,1a,91.155,2683-2855,
ON630800,1,91.133,1a,91.106,2683-2855,
ON630801,1,92.706,1a,92.597,2683-2855,
ON630802,1,91.002,1a,91.057,2683-2855,
ON630803,1,91.473,1a,91.178,2683-2855,
ON630804,1,94.813,1a,94.387,2683-2855,
ON630805,1,91.419,1a,91.218,2683-2855,
ON630806,1,94.060,1a,94.016,2683-2855,
ON630807,1,91.461,1a,91.123,2683-2855,
ON630808,1,93.831,1a,93.416,2683-2855,
ON630809,1,93.951,1a,93.907,2683-2855,
ON630810,1,94.759,1a,94.289,2683-2855,
ON630811,1,91.223,1a,91.049,2683-2855,
ON630812,1,91.275,1a,91.079,2683-2855,
ON630813,1,91.592,1a,91.406,2683-2855,
ON630814,1,91.581,1a,91.484,2683-2855,
ON630815,1,91.581,1a,91.439,2683-2855,
ON630816,1,95.392,1a,94.966,2683-2855,
ON630817,1,91.701,1a,91.581,2683-2855,
ON630818,1,91.461,1a,91.123,2683-2855,
ON630819,1,91.527,1a,91.396,2683-2855,
ON630820,1,94.595,1a,94.125,2683-2855,
ON630821,1,91.024,1a,90.860,2683-2855,
ON630822,1,94.791,1a,94.344,2683-2855,
ON630823,1,91.462,1a,91.145,2683-2855,
ON630824,1,92.957,1a,92.608,2683-2855,
