Accession,AssignedGenotype,Subtype2aDistance,Subtype2aDistance,Subtype2bDistance,Subtype2bDistance,Subtype2cDistance,Subtype2dDistance,Subtype2eDistance,Subtype2fDistance,Subtype2fDistance,Subtype2iDistance,Subtype2jDistance,Subtype2jDistance,Subtype2kDistance,Subtype2lDistance,Subtype2lDistance,Subtype2mDistance,Subtype2mDistance,Subtype2qDistance,Subtype2qDistance,Subtype2rDistance,Subtype2tDistance,Subtype2uDistance,Subtype2vDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ327755,2,22.410,22.410,8.546,8.546,21.709,22.252,22.346,22.187,22.187,22.081,21.089,21.089,23.036,26.444,26.444,21.231,21.231,21.709,21.709,22.999,20.807,22.293,23.036,2b,8.546,2t,20.807
MZ327784,2,21.723,21.723,8.347,8.347,21.402,22.558,22.199,22.092,22.092,22.358,21.142,21.142,23.473,25.651,25.651,21.103,21.103,21.709,21.709,22.305,20.340,21.455,22.252,2b,8.347,2t,20.340
MZ327800,2,21.617,21.617,10.032,10.032,22.558,22.411,21.762,22.346,22.346,23.195,21.247,21.247,23.673,26.974,26.974,21.550,21.550,22.281,22.281,23.195,20.541,22.611,23.142,2b,10.032,2t,20.541
ON314812,2,23.235,23.235,24.881,24.881,21.905,21.845,22.487,21.799,21.799,21.217,21.659,21.659,19.035,27.646,27.646,20.710,20.710,18.922,18.922,21.353,23.374,22.487,22.992,2k,19.035,2q,18.922
ON314813,2,19.968,19.968,22.228,22.228,18.568,18.524,18.621,18.355,18.355,18.249,18.912,18.912,16.180,24.894,24.894,17.082,17.082,15.968,15.968,17.454,20.902,17.922,19.629,2q,15.968,2k,16.180
ON314814,2,20.127,20.127,22.304,22.304,19.639,20.287,19.958,19.639,19.639,19.108,19.599,19.599,17.038,26.762,26.762,18.153,18.153,16.348,16.348,18.843,21.338,19.045,21.315,2q,16.348,2k,17.038
ON314815,2,19.229,19.229,22.534,22.534,19.025,19.214,19.310,19.618,19.618,19.639,19.027,19.027,17.700,25.764,25.764,18.071,18.071,16.658,16.658,18.408,22.399,19.161,19.904,2q,16.658,2k,17.700
ON314816,2,18.816,18.816,21.553,21.553,17.941,16.835,17.569,17.304,17.304,17.941,17.161,17.161,18.365,25.569,25.569,17.772,17.772,18.259,18.259,17.941,20.913,19.161,18.259,2d,16.835,2j,17.161
ON314817,2,19.556,19.556,23.032,23.032,18.737,18.587,19.161,18.843,18.843,18.312,19.186,19.186,16.454,25.344,25.344,17.887,17.887,15.287,15.287,18.577,21.497,18.833,20.382,2q,15.287,2k,16.454
ON314818,2,20.074,20.074,22.199,22.199,18.524,19.118,18.896,18.727,18.727,17.887,18.763,18.763,16.295,25.250,25.250,18.790,18.790,15.287,15.287,18.418,20.860,18.833,20.488,2q,15.287,2k,16.295
