Accession,ClosestSubtypeAlignedNT,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MZ325443,1895,29.272,30.856,6.973,29.219,29.842,29.853,30.846,29.841,3,6.973,1,29.272
MZ325444,1895,29.272,30.856,6.973,29.219,29.842,29.853,30.846,29.841,3,6.973,1,29.272
MZ327730,1894,29.499,31.206,5.917,29.182,30.132,29.532,30.719,29.840,3,5.917,4,29.182
MZ327735,1895,29.626,30.782,5.441,29.189,29.663,29.263,30.357,30.159,3,5.441,6,29.263
MZ327738,1895,29.505,30.903,5.124,29.551,30.063,30.368,31.200,30.106,3,5.124,4,29.551
MZ327745,1895,29.863,31.368,6.973,29.031,29.544,30.021,30.971,30.197,3,6.973,4,29.031
MZ327748,1895,30.121,31.066,6.286,29.167,29.805,30.357,31.214,29.878,3,6.286,4,29.167
MZ327750,1894,28.895,31.557,5.494,28.963,29.415,29.748,30.745,30.389,3,5.494,4,28.963
MZ327754,1895,29.837,31.768,5.230,28.549,29.678,29.937,31.024,30.285,3,5.230,4,28.549
MZ327756,1894,30.389,31.151,7.818,28.881,29.789,29.727,30.899,30.481,3,7.818,4,28.881
MZ327757,1894,29.489,31.596,6.762,29.889,30.490,30.136,30.810,30.317,3,6.762,1,29.489
MZ327759,1894,29.557,31.468,7.026,29.213,30.660,29.690,30.474,29.319,3,7.026,4,29.213
MZ327764,1894,29.557,30.510,6.075,29.514,30.206,30.095,30.478,30.659,3,6.075,4,29.514
MZ327772,1894,29.325,30.976,6.920,28.722,29.279,29.211,30.515,30.016,3,6.920,4,28.722
MZ327773,1894,29.316,30.648,7.026,29.821,30.522,30.247,30.159,30.863,3,7.026,1,29.316
MZ327779,1894,29.309,31.124,6.603,28.775,30.249,30.437,30.882,29.598,3,6.603,4,28.775
MZ327780,1894,30.300,31.679,7.290,29.424,30.453,30.595,30.838,30.610,3,7.290,4,29.424
MZ327781,1895,29.614,31.734,6.498,29.598,29.937,29.362,31.532,30.053,3,6.498,6,29.362
MZ327783,1894,29.461,30.976,7.396,29.551,30.180,29.874,30.931,30.249,3,7.396,4,29.551
MZ327786,1894,29.678,31.293,7.132,28.918,29.942,30.357,30.442,30.903,3,7.132,4,28.918
MZ327789,1894,29.099,30.749,7.290,28.940,29.620,29.738,30.430,29.725,3,7.290,4,28.940
MZ327794,1894,29.468,31.154,6.498,30.148,29.554,29.984,30.305,29.487,3,6.498,5,29.554
MZ327796,1895,29.257,30.818,5.177,29.250,29.747,29.097,31.372,30.212,3,5.177,6,29.097
MZ327799,1895,29.151,31.211,5.388,29.567,29.136,30.179,31.036,30.777,3,5.388,5,29.136
PQ365498,1895,29.852,30.802,7.132,29.620,30.173,29.424,31.250,30.042,3,7.132,6,29.424
PQ365501,1894,29.889,31.135,6.022,29.250,29.589,30.563,31.076,30.985,3,6.022,4,29.250
PQ365502,1892,29.794,30.558,5.391,29.173,30.121,30.295,31.263,29.984,3,5.391,4,29.173
PQ365504,1890,30.174,30.822,23.374,30.101,30.354,31.309,31.816,29.857,3,23.374,8,29.857
PQ365505,1890,27.918,29.288,21.417,29.039,29.257,29.926,30.248,28.820,3,21.417,1,27.918
PQ365506,1894,30.116,31.902,7.448,29.958,30.164,30.547,32.299,31.233,3,7.448,5,30.164
PQ365508,1895,30.242,30.782,6.709,29.847,30.478,30.290,31.145,30.603,3,6.709,4,29.847
PQ365509,1895,30.258,31.098,6.445,30.079,29.768,30.285,30.955,30.324,3,6.445,5,29.768
PQ365511,1895,29.653,30.781,6.128,29.446,29.186,29.557,30.725,30.407,3,6.128,5,29.186
PQ365512,1895,30.263,30.846,6.498,29.800,30.410,29.942,31.069,30.517,3,6.498,4,29.800
