Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype7aDistance,Subtype7bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MT633133,630,7,32.258,23.651,7b,23.651,7a,32.258
MH940291,635,7,20.787,30.087,7a,20.787,7b,30.087
EF108306,639,7,0.000,33.630,7a,0.000,7b,33.630
HM348899,,7,,,,,,
HM348900,,7,,,,,,
HM348901,,7,,,,,,
HM348902,,7,,,,,,
HM348903,,7,,,,,,
HM348904,,7,,,,,,
HM348905,,7,,,,,,
HM348906,,7,,,,,,
HM348907,,7,,,,,,
HM348908,,7,,,,,,
HM348909,,7,,,,,,
HM348910,,7,,,,,,
HM348911,,7,,,,,,
HM348912,,7,,,,,,
HM348913,,7,,,,,,
HM348914,,7,,,,,,
HM348915,,7,,,,,,
HM348916,,7,,,,,,
HM348917,,7,,,,,,
HM348918,,7,,,,,,
HM348919,,7,,,,,,
HM348920,,7,,,,,,
HM348921,,7,,,,,,
HM348922,,7,,,,,,
HM348923,,7,,,,,,
HM348924,,7,,,,,,
HM348925,,7,,,,,,
HM348926,,7,,,,,,
HM348927,,7,,,,,,
HM348928,,7,,,,,,
HM348929,,7,,,,,,
HM348930,,7,,,,,,
HM348931,,7,,,,,,
HM348932,,7,,,,,,
HM348933,,7,,,,,,
HM348934,,7,,,,,,
HM348935,,7,,,,,,
HM348936,,7,,,,,,
HM348937,,7,,,,,,
HM348938,,7,,,,,,
HM348939,,7,,,,,,
HM348940,,7,,,,,,
HM348941,,7,,,,,,
HM348942,,7,,,,,,
HM348943,,7,,,,,,
HM348944,,7,,,,,,
HM348945,,7,,,,,,
HM348946,,7,,,,,,
HM348947,,7,,,,,,
HM348948,,7,,,,,,
HM348949,,7,,,,,,
HM348950,,7,,,,,,
HM348951,,7,,,,,,
HM348952,,7,,,,,,
HM348953,,7,,,,,,
HM348954,,7,,,,,,
HM348955,,7,,,,,,
HM348957,,7,,,,,,
HM348958,,7,,,,,,
HM348959,,7,,,,,,
HM348960,,7,,,,,,
HM348961,,7,,,,,,
HM348962,,7,,,,,,
HM348963,,7,,,,,,
HM348964,,7,,,,,,
HM348965,,7,,,,,,
HM348967,,7,,,,,,
HM348969,,7,,,,,,
HM348970,,7,,,,,,
HM348972,,7,,,,,,
HM348973,,7,,,,,,
HM348974,,7,,,,,,
HM348977,,7,,,,,,
HM348978,,7,,,,,,
HM348979,,7,,,,,,
HM348980,,7,,,,,,
HM348981,,7,,,,,,
HM348982,,7,,,,,,
HM348983,,7,,,,,,
HM348984,,7,,,,,,
HM348985,,7,,,,,,
HM348986,,7,,,,,,
HM348987,,7,,,,,,
HM348988,,7,,,,,,
HM348989,,7,,,,,,
HM348990,,7,,,,,,
