Accession,ClosestSubtypeAlignedNT,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MW205376,582,29.291,31.767,31.240,21.102,28.326,31.496,33.270,33.124,4,21.102,5,28.326
MW205377,603,29.057,32.367,30.113,20.183,28.267,29.421,34.091,32.067,4,20.183,5,28.267
MW205378,588,29.984,31.569,31.010,21.086,28.250,29.372,34.470,32.962,4,21.086,5,28.250
MW205379,608,27.690,32.733,30.609,19.419,27.357,29.948,,31.288,4,19.419,5,27.357
MW205380,608,30.124,32.887,32.047,21.622,27.055,31.101,35.357,34.478,4,21.622,5,27.055
MW205381,582,26.365,32.949,31.933,18.439,25.912,31.397,32.008,31.513,4,18.439,1,26.365
MW205382,620,26.883,32.689,32.406,19.735,27.354,31.649,33.565,30.133,4,19.735,1,26.883
MW205383,621,27.803,31.111,30.906,18.464,26.431,31.343,33.276,31.805,4,18.464,1,27.803
MW205384,602,28.615,31.960,31.402,21.254,26.546,30.090,33.490,31.390,4,21.254,5,26.546
MW205385,602,29.421,32.481,31.889,22.137,26.697,30.838,32.551,31.839,4,22.137,5,26.697
MW205386,603,26.355,35.207,31.845,16.168,29.061,29.955,33.593,31.454,4,16.168,1,26.355
MW205387,612,26.676,,30.824,14.906,26.743,28.959,32.017,30.925,4,14.906,1,26.676
MW205388,606,28.458,34.812,31.153,15.062,29.767,29.853,33.779,30.901,4,15.062,1,28.458
MW205389,573,30.139,,32.026,17.874,29.276,31.433,35.023,32.873,4,17.874,5,29.276
MW205390,612,27.532,35.177,,15.630,28.876,30.670,34.043,30.159,4,15.630,1,27.532
MW205391,612,31.334,33.681,30.819,22.156,26.987,30.285,35.155,31.343,4,22.156,5,26.987
MW205392,600,26.502,33.747,30.885,24.196,27.412,32.012,35.171,31.659,4,24.196,1,26.502
MW205393,606,25.000,33.837,30.719,22.542,25.870,29.680,34.705,31.411,4,22.542,1,25.000
MW205394,612,26.246,,32.263,24.229,28.382,31.711,34.543,31.433,4,24.229,1,26.246
MW205395,611,25.877,32.653,32.018,24.523,27.353,31.259,34.982,31.618,4,24.523,1,25.877
MW205396,619,28.680,33.740,31.804,22.917,28.006,29.642,31.716,30.104,4,22.917,5,28.006
MW205397,610,29.061,32.689,30.758,22.734,26.975,31.055,31.972,31.111,4,22.734,5,26.975
MW205398,610,29.607,34.049,33.233,23.946,28.550,31.086,32.327,30.330,4,23.946,5,28.550
MW205399,615,26.466,32.727,30.534,23.288,28.659,30.144,32.441,31.373,4,23.288,1,26.466
MW205400,615,28.849,34.127,30.819,24.077,26.861,30.463,32.769,30.551,4,24.077,5,26.861
MW205401,615,27.314,32.170,31.061,24.810,27.744,28.872,31.975,30.194,4,24.810,1,27.314
MW205402,615,28.372,33.431,31.306,25.074,28.018,28.614,32.812,30.454,4,25.074,5,28.018
MW205403,603,26.803,32.829,31.108,23.298,27.921,29.198,32.881,30.560,4,23.298,1,26.803
MW205404,603,25.669,,29.878,22.481,26.982,29.116,31.300,29.027,4,22.481,1,25.669
MW205405,622,30.104,31.865,30.312,22.581,27.571,31.019,33.869,31.556,4,22.581,5,27.571
MW205406,464,29.718,32.618,28.726,19.742,26.608,29.741,,31.767,4,19.742,5,26.608
MW205407,461,28.160,33.333,29.083,19.523,27.455,29.718,32.969,33.184,4,19.523,5,27.455
MW205408,464,28.355,32.688,29.590,19.099,26.906,28.448,32.969,31.385,4,19.099,5,26.906
MW205409,466,28.416,34.194,29.490,20.128,28.188,30.323,,33.113,4,20.128,5,28.188
MW205410,461,29.718,,30.201,20.824,27.991,28.633,,33.333,4,20.824,6,28.633
MW205411,460,28.384,31.897,27.826,18.954,26.030,28.166,33.621,32.321,4,18.954,5,26.030
MW205412,461,27.766,30.258,28.913,17.354,27.088,29.067,33.406,32.181,4,17.354,5,27.088
MW205413,461,27.983,33.482,30.501,19.089,26.862,28.200,,32.880,4,19.089,5,26.862
MW205414,464,28.850,34.234,29.333,21.030,27.354,29.095,35.973,32.819,4,21.030,5,27.354
MW205416,417,30.657,,,29.976,33.575,29.825,35.433,33.432,4,29.976,1,30.657
MZ327752,630,28.114,33.707,31.180,24.099,31.719,31.970,35.352,30.621,4,24.099,1,28.114
ON506754,596,28.978,32.264,29.495,20.736,28.064,28.673,34.091,31.046,4,20.736,5,28.064
ON506757,603,29.703,34.653,32.699,11.443,29.623,31.137,34.014,32.446,4,11.443,1,29.703
ON506759,572,28.596,33.737,,11.713,28.520,32.118,,32.049,4,11.713,1,28.596
ON506778,558,28.439,,31.765,12.545,29.077,31.351,,31.054,4,12.545,1,28.439
ON506781,574,28.522,33.975,31.216,10.801,28.364,30.769,33.510,31.922,4,10.801,1,28.522
ON506793,570,28.214,31.646,31.313,19.825,28.881,29.123,33.393,30.054,4,19.825,1,28.214
ON506796,608,27.896,33.607,31.218,11.513,29.110,30.179,32.530,31.933,4,11.513,1,27.896
ON506799,582,27.883,32.028,31.041,19.588,28.092,29.101,32.872,31.283,4,19.588,1,27.883
ON506801,612,27.869,33.934,32.419,10.621,27.568,30.542,32.823,31.281,4,10.621,1,27.869
ON506808,602,27.993,32.264,31.162,20.564,28.109,30.248,33.507,30.508,4,20.564,1,27.993
ON506817,611,27.036,32.660,31.386,20.261,26.576,29.798,32.872,28.765,4,20.261,5,26.576
ON506818,612,27.541,34.754,30.674,12.745,28.425,30.378,,32.836,4,12.745,1,27.541
ON506819,575,27.652,32.258,31.729,20.139,27.679,28.597,32.292,31.439,4,20.139,1,27.652
MT863944,281,25.000,31.317,28.279,21.223,30.451,28.889,28.512,29.699,4,21.223,1,25.000
MT863950,281,25.000,31.317,28.279,21.223,30.451,28.889,28.512,29.699,4,21.223,1,25.000
MT863951,281,27.206,30.605,31.557,21.942,29.323,,30.579,31.086,4,21.942,1,27.206
MT863952,281,25.000,31.317,28.279,21.223,30.451,28.889,28.512,29.699,4,21.223,1,25.000
MT863953,278,25.735,30.827,29.508,20.504,28.470,29.924,27.826,29.893,4,20.504,1,25.735
MT863956,281,25.000,31.317,28.279,21.223,30.451,28.889,28.512,29.699,4,21.223,1,25.000
MT863957,281,23.387,30.038,31.225,21.612,,,28.099,,4,21.612,1,23.387
MT863964,281,24.194,30.249,,22.302,,,,30.075,4,22.302,1,24.194
MT863965,281,24.194,30.249,28.856,21.223,28.571,28.916,27.273,28.947,4,21.223,1,24.194
MT863968,281,25.000,31.317,28.279,21.223,30.451,28.889,28.512,29.699,4,21.223,1,25.000
MT863969,281,25.368,31.673,28.340,21.583,29.963,29.333,28.926,30.075,4,21.583,1,25.368
MT863974,281,25.000,31.317,28.279,21.223,30.451,28.889,28.512,29.699,4,21.223,1,25.000
MT863975,281,26.838,30.605,29.918,20.863,28.195,,28.099,30.075,4,20.863,1,26.838
MT863986,281,25.368,30.605,30.916,20.430,,,28.462,29.323,4,20.430,1,25.368
MT863987,281,26.022,31.295,30.738,21.091,,,27.391,28.947,4,21.091,1,26.022
MT893907,417,23.393,33.148,32.426,20.588,27.536,29.805,,28.614,4,20.588,1,23.393
MT893908,405,24.021,31.778,30.846,15.311,28.148,28.657,30.851,31.287,4,15.311,1,24.021
MT893909,405,24.021,31.487,30.846,15.550,27.901,28.657,30.496,30.994,4,15.550,1,24.021
MT893910,425,27.381,30.606,30.713,21.698,26.824,28.941,31.616,30.095,4,21.698,5,26.824
MT893911,414,22.193,,32.338,21.550,28.537,29.282,30.961,30.226,4,21.550,1,22.193
MT893912,417,25.065,35.028,30.100,14.216,27.612,30.312,27.305,31.287,4,14.216,1,25.065
