Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205376,582,4,20.310,19.759,15.582,16.838,16.838,19.759,19.759,19.931,22.453,22.453,14.561,19.244,18.385,18.385,17.496,14.630,20.826,18.385,17.182,12.371,12.371,22.127,22.127,4v,12.371,4q,14.630
MW205377,603,4,19.167,20.764,16.418,15.091,15.091,19.735,19.735,19.767,21.356,21.356,14.407,20.232,15.589,17.247,16.915,12.791,21.096,18.242,18.408,6.468,6.468,21.429,21.429,4v,6.468,4q,12.791
MW205378,588,4,20.918,20.819,17.547,16.695,16.695,19.007,19.007,20.443,20.383,20.383,17.014,18.739,17.913,19.761,17.206,15.306,22.184,20.102,19.080,15.162,15.162,22.487,22.487,4q,15.306,4v,15.162
MW205379,608,4,18.852,20.690,16.283,15.461,15.461,20.888,20.888,20.000,19.244,19.244,13.997,20.066,16.283,18.914,15.625,14.943,20.033,16.408,17.114,14.145,14.145,21.875,21.875,4v,14.145,4l,13.997
MW205380,608,4,21.311,20.690,18.092,17.763,17.763,20.724,20.724,21.569,22.635,22.635,17.369,20.066,18.914,17.928,16.941,17.241,22.989,19.492,17.966,17.928,17.928,23.026,23.026,4p,16.941,4q,17.241
MW205381,582,4,17.575,20.826,16.151,17.010,17.010,18.900,18.900,21.306,19.508,19.508,16.520,18.557,18.729,8.419,17.354,15.290,21.859,21.134,19.244,16.667,16.667,21.747,21.747,4o,8.419,4q,15.290
MW205382,620,4,18.299,20.323,16.966,15.968,15.968,17.581,17.581,20.451,18.994,18.994,15.954,18.065,18.094,7.903,17.258,14.677,22.097,19.269,17.742,15.484,15.484,20.032,20.032,4o,7.903,4q,14.677
MW205383,621,4,16.776,20.194,15.798,17.581,17.581,18.710,18.710,20.724,20.617,20.617,15.789,19.839,16.452,9.662,16.908,14.190,22.456,20.968,17.230,14.706,14.706,20.679,20.679,4o,9.662,4q,14.190
MW205384,602,4,20.672,19.403,16.944,16.445,16.445,21.262,21.262,20.443,21.500,21.500,18.443,20.266,18.814,16.777,17.940,16.418,22.056,20.100,18.937,16.113,16.113,21.595,21.595,4v,16.113,4q,16.418
MW205385,602,4,21.477,21.559,18.937,18.106,18.106,22.093,22.093,22.388,21.489,21.489,17.797,23.090,18.771,17.442,17.940,17.355,22.886,20.513,18.771,16.777,16.777,21.262,21.262,4v,16.777,4q,17.355
