Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW629116,1892,6,26.374,26.374,27.191,24.720,24.306,25.646,24.340,26.268,20.930,22.110,22.299,19.556,6.818,21.512,20.085,20.085,25.145,24.657,24.880,25.581,24.496,23.548,23.548,24.523,24.722,24.722,24.049,24.049,25.224,25.224,18.869,18.869,26.004,25.264,25.264,19.609,19.609,24.049,24.049,20.666,20.666,25.000,18.965,18.965,18.975,6l,6.818,6xb,18.869
MT185686,1893,6,5.283,5.283,19.662,24.280,24.974,24.670,25.145,26.466,24.300,25.818,25.080,23.983,25.040,24.987,23.402,23.402,24.736,24.617,25.885,23.865,23.860,25.000,25.000,24.459,24.894,24.894,24.815,24.815,25.290,25.290,24.789,24.789,24.881,18.700,18.700,25.409,25.409,25.422,25.422,24.089,24.089,24.617,23.983,23.983,24.511,6a,5.283,6xd,18.700
MK327981,1893,6,25.026,25.026,24.855,23.554,23.656,24.420,25.119,21.025,25.817,25.594,25.993,24.749,25.686,26.695,24.103,24.103,24.036,24.511,24.880,22.979,23.523,24.207,24.207,24.222,26.734,26.734,23.892,23.892,25.290,25.290,25.462,25.462,25.053,25.132,25.132,25.949,25.949,25.213,25.213,25.119,25.119,24.657,25.488,25.488,26.319,6g,21.025,6r,22.979
MK327982,1893,6,25.699,25.699,24.617,25.267,25.132,24.842,24.736,19.017,25.713,26.663,26.519,25.369,26.149,26.674,24.829,24.829,24.182,25.171,27.033,25.449,23.638,24.934,24.934,25.134,25.516,25.516,24.617,24.617,24.895,24.895,26.663,26.663,25.396,24.433,24.433,25.713,25.713,25.316,25.316,26.554,26.554,24.697,26.149,26.149,26.043,6g,19.017,6s,23.638
MK327983,1539,6,23.490,23.490,24.934,23.052,23.748,24.532,24.151,19.428,24.805,25.863,24.788,25.456,25.758,26.430,24.479,24.479,23.281,23.061,25.458,24.428,23.568,24.706,24.706,24.205,23.971,23.971,23.143,23.143,24.533,24.533,25.921,25.921,24.870,24.067,24.067,26.432,26.432,24.967,24.967,24.868,24.868,25.000,24.721,24.721,26.877,6g,19.428,6c,23.052
MK327984,1893,6,24.934,24.934,24.723,23.024,23.799,24.327,24.247,20.074,25.092,25.530,25.343,25.119,25.713,25.885,24.908,24.908,23.799,23.905,24.907,24.736,24.511,24.551,24.551,24.670,26.377,26.377,24.485,24.485,25.645,25.645,26.069,26.069,25.198,23.958,23.958,25.502,25.502,23.905,23.905,25.343,25.343,23.178,24.908,24.908,26.360,6g,20.074,6xh,23.178
MK327985,1893,6,25.040,25.040,25.092,22.386,23.430,24.234,25.000,21.606,24.736,25.873,26.346,25.316,25.699,25.766,23.985,23.985,24.194,24.169,24.657,23.825,24.393,24.260,24.260,24.524,26.016,26.016,24.367,24.367,25.791,25.791,24.309,24.309,25.132,25.304,25.304,25.659,25.659,24.987,24.987,25.158,25.158,24.367,24.775,24.775,25.766,6g,21.606,6c,22.386
MK327986,1893,6,6.022,6.022,19.609,23.932,24.762,25.198,25.053,25.924,24.775,25.871,25.398,24.089,25.674,25.092,23.930,23.930,24.419,24.617,26.149,23.930,24.337,25.317,25.317,25.040,25.106,25.106,24.987,24.987,24.710,24.710,24.841,24.841,25.568,18.374,18.374,25.145,25.145,25.462,25.462,24.129,24.129,24.459,24.511,24.511,24.775,6a,6.022,6xd,18.374
MK327987,1894,6,25.119,25.119,25.040,23.582,24.433,24.234,26.016,21.542,25.750,25.489,26.516,24.974,25.910,26.355,24.631,24.631,23.983,24.670,25.435,23.865,25.264,24.051,24.051,25.608,25.395,25.395,24.289,24.289,27.004,27.004,25.818,25.818,25.527,24.539,24.539,26.227,26.227,25.448,25.448,25.725,25.725,25.619,25.526,25.526,27.120,6g,21.542,6c,23.582
MK327988,1894,6,25.515,25.515,25.423,24.697,23.654,26.135,24.524,19.694,26.649,25.541,26.416,25.818,25.844,26.160,25.290,25.290,23.414,24.511,25.316,25.026,24.921,25.106,25.106,25.723,26.018,26.018,25.396,25.396,26.213,26.213,26.294,26.294,24.934,26.147,26.147,25.922,25.922,25.672,25.672,25.672,25.672,25.461,25.277,25.277,26.424,6g,19.694,6o,23.414
MK327989,1892,6,24.551,24.551,25.264,23.489,23.231,24.207,24.287,24.366,24.987,25.928,24.722,25.779,25.740,25.066,23.784,23.784,23.442,23.036,24.893,25.488,25.080,23.837,23.837,23.786,25.595,25.595,25.132,25.132,24.947,24.947,25.488,25.488,24.207,24.601,24.601,25.370,25.370,24.247,24.247,25.554,25.554,13.531,25.198,25.198,25.409,6xh,13.531,6p,23.036
MK327990,1886,6,24.471,24.471,24.207,23.429,24.101,24.683,25.475,26.695,23.296,24.973,24.973,24.789,24.894,25.951,23.508,23.508,24.393,23.825,25.277,24.247,23.330,24.169,24.169,24.206,24.947,24.947,25.198,25.198,24.524,24.524,24.247,24.247,25.541,23.784,23.784,24.841,24.841,25.317,25.317,23.983,23.983,25.910,24.300,24.300,24.947,6s,23.330,6h,23.296
MK327991,1893,6,23.467,23.467,23.520,23.410,22.797,24.577,23.681,25.818,24.974,25.636,24.523,23.044,24.420,24.617,23.918,23.918,24.038,23.613,24.723,23.166,22.534,24.023,24.023,23.648,25.953,25.953,24.577,24.577,24.036,24.036,24.775,24.775,24.524,22.240,22.240,24.142,24.142,23.930,23.930,24.089,24.089,23.734,23.284,23.284,25.554,6xd,22.240,6s,22.534
MK327992,1893,6,25.251,25.251,25.290,24.063,24.657,24.194,24.617,18.806,25.726,25.451,24.921,25.357,25.554,26.438,24.697,24.697,23.113,24.631,24.881,24.828,24.353,25.145,25.145,24.599,24.616,24.616,23.840,23.840,24.842,24.842,26.744,26.744,25.805,24.762,24.762,24.895,24.895,24.274,24.274,25.396,25.396,24.697,24.036,24.036,26.783,6g,18.806,6o,23.113
MK327993,1893,6,24.934,24.934,23.414,23.919,23.747,23.930,24.340,25.738,25.435,25.716,24.284,24.881,25.185,25.013,23.852,23.852,24.076,23.732,24.274,23.706,24.920,24.630,24.630,23.913,25.278,25.278,24.631,24.631,23.666,23.666,25.885,25.885,25.435,23.349,23.349,24.960,24.960,25.277,25.277,24.473,24.473,25.290,24.828,24.828,24.762,6xd,23.349,6b,23.414
MK327994,857,6,20.917,20.917,20.629,22.637,23.221,23.212,22.754,21.820,22.844,23.854,22.562,21.937,24.621,24.009,21.739,21.739,21.704,22.743,23.095,22.727,23.314,22.287,22.287,22.642,22.535,22.535,21.937,21.937,23.921,23.921,23.193,23.193,21.237,20.420,20.420,23.737,23.737,24.009,24.009,23.776,23.776,14.702,23.427,23.427,24.359,6xh,14.702,6xd,20.420
MK327995,1776,6,28.091,28.091,27.421,25.825,26.796,27.750,27.076,23.480,28.153,28.702,28.287,27.133,27.433,28.796,26.914,26.914,26.439,26.554,27.170,25.761,26.434,26.058,26.058,26.637,28.109,28.109,27.339,27.339,27.781,27.781,27.652,27.652,28.229,27.452,27.452,28.913,28.913,27.314,27.314,27.816,27.816,26.888,27.371,27.371,27.800,6g,23.480,6r,25.761
