Accession,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205279,3,25.074,7.375,21.829,22.189,14.241,14.241,24.556,21.534,21.534,23.765,23.765,3b,7.375,3g,14.241
MW205284,3,22.353,10.619,21.829,23.077,14.793,14.793,24.556,19.469,19.469,25.077,25.077,3b,10.619,3g,14.793
MW205285,3,22.353,10.619,21.829,23.077,14.793,14.793,24.556,19.469,19.469,25.077,25.077,3b,10.619,3g,14.793
MW205286,3,22.353,10.324,20.588,23.964,17.337,17.337,26.036,21.534,21.534,25.000,25.000,3b,10.324,3g,17.337
MW205287,3,23.304,9.145,21.534,21.893,16.519,16.519,23.964,20.059,20.059,24.000,24.000,3b,9.145,3g,16.519
MW205288,3,27.647,27.219,26.331,28.909,25.369,25.369,27.139,23.669,23.669,8.260,8.260,3k,8.260,3i,23.669
MW205292,3,23.009,9.735,23.824,23.964,15.634,15.634,25.148,20.944,20.944,25.294,25.294,3b,9.735,3g,15.634
MW205293,3,22.941,11.209,21.239,24.556,14.454,14.454,25.148,18.879,18.879,23.765,23.765,3b,11.209,3g,14.454
MW205297,3,28.349,28.402,27.515,30.678,27.353,27.353,30.383,24.852,24.852,8.260,8.260,3k,8.260,3i,24.852
MW205499,3,19.608,9.329,19.640,22.750,16.176,16.176,24.020,17.157,17.157,23.529,23.529,3b,9.329,3g,16.176
MW205500,3,18.985,9.836,17.213,22.295,14.590,14.590,24.590,16.721,16.721,22.675,22.675,3b,9.836,3g,14.590
MW205501,3,19.869,6.897,19.508,22.332,15.599,15.599,25.123,18.062,18.062,23.039,23.039,3b,6.897,3g,15.599
MW205502,3,20.259,6.321,18.314,21.232,16.045,16.045,24.635,18.639,18.639,22.419,22.419,3b,6.321,3g,16.045
MW205503,3,19.579,8.914,19.125,22.204,16.856,16.856,24.959,17.180,17.180,23.425,23.425,3b,8.914,3g,16.856
MW205504,3,20.752,7.692,17.484,19.935,16.694,16.694,24.386,18.464,18.464,23.453,23.453,3b,7.692,3g,16.694
MW205505,3,19.371,7.781,17.715,22.020,15.728,15.728,25.000,18.046,18.046,23.597,23.597,3b,7.781,3g,15.728
MW205506,3,19.272,7.891,18.361,21.851,15.175,15.175,25.797,18.058,18.058,23.449,23.449,3b,7.891,3g,15.175
MW205507,3,19.785,9.202,19.172,23.773,17.051,17.051,26.365,19.355,19.355,24.502,24.502,3b,9.202,3g,17.051
MW221787,3,9.416,23.684,17.822,20.132,19.544,19.544,26.639,19.544,19.544,24.409,24.409,3a,9.416,3d,17.822
MW221788,3,7.468,23.432,16.832,19.472,19.870,19.870,24.590,20.521,20.521,23.228,23.228,3a,7.468,3d,16.832
MW221789,3,9.091,21.782,18.812,18.954,20.847,20.847,23.984,19.544,19.544,23.552,23.552,3a,9.091,3d,18.812
MW221790,3,9.091,20.724,18.482,19.142,20.195,20.195,24.590,19.218,19.218,23.552,23.552,3a,9.091,3d,18.482
MW221792,3,9.091,20.724,18.482,19.142,20.195,20.195,24.590,19.218,19.218,23.552,23.552,3a,9.091,3d,18.482
MW221793,3,9.416,22.772,16.172,21.122,20.195,20.195,24.797,21.498,21.498,25.424,25.424,3a,9.416,3d,16.172
MW221794,3,9.091,22.442,17.162,20.132,19.870,19.870,24.797,20.521,20.521,25.424,25.424,3a,9.091,3d,17.162
MW221795,3,8.117,23.762,17.162,20.132,19.544,19.544,23.984,20.847,20.847,22.441,22.441,3a,8.117,3d,17.162
MW221796,3,8.117,24.092,16.832,19.802,19.870,19.870,24.797,20.521,20.521,23.622,23.622,3a,8.117,3d,16.832
MW221797,3,9.091,23.762,17.162,20.462,20.195,20.195,24.797,19.741,19.741,22.835,22.835,3a,9.091,3d,17.162
MW221801,3,9.740,24.172,18.212,18.543,20.521,20.521,24.490,22.150,22.150,24.803,24.803,3a,9.740,3d,18.212
MW221802,3,9.459,21.053,17.606,18.152,20.339,20.339,23.770,19.870,19.870,25.902,25.902,3a,9.459,3e,18.152
MW221803,3,8.766,24.422,17.492,19.472,18.567,18.567,24.797,22.150,22.150,23.228,23.228,3a,8.766,3d,17.492
MW221804,3,9.416,22.772,19.142,18.482,21.173,21.173,23.984,19.218,19.218,23.552,23.552,3a,9.416,3e,18.482
MW221805,3,9.091,21.711,18.812,18.482,20.847,20.847,25.000,20.195,20.195,23.938,23.938,3a,9.091,3e,18.482
MW221806,3,7.792,21.782,17.492,18.812,19.544,19.544,23.171,19.218,19.218,23.166,23.166,3a,7.792,3d,17.492
MW221808,3,8.766,22.112,18.152,18.812,20.521,20.521,23.984,19.544,19.544,23.938,23.938,3a,8.766,3d,18.152
MW221810,3,12.013,23.102,18.812,21.782,19.544,19.544,27.365,20.195,20.195,23.828,23.828,3a,12.013,3d,18.812
MW221811,3,9.740,24.422,19.472,18.482,19.870,19.870,26.531,20.195,20.195,24.409,24.409,3a,9.740,3e,18.482
MW221812,3,11.039,25.413,18.812,19.608,20.195,20.195,27.459,22.476,22.476,23.622,23.622,3a,11.039,3d,18.812
MW221813,3,8.766,23.102,18.482,17.974,20.847,20.847,26.639,20.195,20.195,24.803,24.803,3a,8.766,3e,17.974
MW221816,3,10.065,23.355,19.472,20.132,20.455,20.455,27.459,21.824,21.824,26.102,26.102,3a,10.065,3d,19.472
MW221819,3,9.772,23.762,18.482,19.472,19.544,19.544,27.049,20.521,20.521,25.197,25.197,3a,9.772,3d,18.482
MW221821,3,10.714,23.102,18.874,19.016,22.801,22.801,29.098,21.498,21.498,25.591,25.591,3a,10.714,3d,18.874
MW234384,3,10.356,22.185,18.506,19.805,19.205,19.205,24.111,21.122,21.122,23.625,23.625,3a,10.356,3d,18.506
MW234385,3,8.599,22.508,17.042,18.850,18.211,18.211,26.752,20.767,20.767,24.281,24.281,3a,8.599,3d,17.042
MW234386,3,10.032,23.052,18.506,19.156,18.812,18.812,23.265,21.523,21.523,23.301,23.301,3a,10.032,3d,18.506
MW234387,3,10.577,21.359,17.476,17.915,18.831,18.831,22.177,21.967,21.967,22.509,22.509,3a,10.577,3d,17.476
MW234388,3,10.510,20.513,16.077,16.825,19.169,19.169,25.478,19.218,19.218,21.406,21.406,3a,10.510,3d,16.077
MW234390,3,8.795,20.539,16.340,17.049,19.608,19.608,25.566,20.000,20.000,22.305,22.305,3a,8.795,3d,16.340
MW234392,3,6.709,20.861,17.685,17.949,18.910,18.910,26.433,20.984,20.984,24.679,24.679,3a,6.709,3d,17.685
MW234393,3,10.897,21.154,18.006,18.328,19.293,19.293,25.159,20.000,20.000,23.151,23.151,3a,10.897,3d,18.006
MW234394,3,9.873,21.122,19.293,18.850,18.211,18.211,26.433,19.672,19.672,23.962,23.962,3a,9.873,3g,18.211
MW234395,3,21.359,8.766,21.429,21.753,14.935,14.935,24.116,20.779,20.779,22.654,22.654,3b,8.766,3g,14.935
MW234396,3,8.654,21.192,17.363,17.363,18.650,18.650,28.617,18.301,18.301,24.359,24.359,3a,8.654,3e,17.363
MW234397,3,9.554,23.473,17.685,20.128,18.211,18.211,25.403,20.328,20.328,26.198,26.198,3a,9.554,3d,17.685
MW234398,3,19.936,7.973,20.900,24.262,13.725,13.725,23.871,19.344,19.344,23.607,23.607,3b,7.973,3g,13.725
MW234399,3,10.510,19.551,15.434,16.613,18.530,18.530,25.159,20.900,20.900,21.656,21.656,3a,10.510,3d,15.434
MW234400,3,9.241,21.262,16.944,17.391,18.543,18.543,28.105,19.932,19.932,24.324,24.324,3a,9.241,3d,16.944
MW234403,3,20.065,8.278,21.429,22.078,14.610,14.610,25.325,21.104,21.104,22.977,22.977,3b,8.278,3g,14.610
MW234405,3,11.821,19.281,18.033,19.231,18.567,18.567,22.581,20.915,20.915,22.115,22.115,3a,11.821,3d,18.033
MW234406,3,10.543,19.936,17.419,19.218,17.308,17.308,25.559,20.000,20.000,23.127,23.127,3a,10.543,3g,17.308
MZ325443,3,7.384,17.475,15.646,17.342,16.287,16.287,25.000,16.242,16.242,21.308,21.308,3a,7.384,3d,15.646
MZ325444,3,7.441,17.531,15.703,17.399,16.346,16.346,25.058,16.299,16.299,21.366,21.366,3a,7.441,3d,15.703
MZ327730,3,6.279,18.497,16.352,17.254,15.502,15.502,24.751,16.608,16.608,21.198,21.198,3a,6.279,3g,15.502
MZ327735,3,6.091,18.010,15.022,16.969,16.255,16.255,23.844,16.510,16.510,20.988,20.988,3a,6.091,3d,15.022
MZ327738,3,5.869,17.254,16.293,17.488,15.561,15.561,23.963,16.608,16.608,21.315,21.315,3a,5.869,3g,15.561
MZ327745,3,6.279,17.616,15.584,16.989,15.678,15.678,24.282,15.718,15.718,20.833,20.833,3a,6.279,3d,15.584
