Accession,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MT151229,5,8.757,26.269,5a,8.757,5b,26.269
MT151246,5,8.192,23.410,5a,8.192,5b,23.410
MT151277,5,10.452,26.957,5a,10.452,5b,26.957
ON228289,5,9.546,25.040,5a,9.546,5b,25.040
ON228290,5,9.546,25.199,5a,9.546,5b,25.199
ON228291,5,11.424,24.878,5a,11.424,5b,24.878
ON228292,5,9.546,24.483,5a,9.546,5b,24.483
ON228293,5,9.277,25.278,5a,9.277,5b,25.278
ON228301,5,9.718,24.682,5a,9.718,5b,24.682
ON228302,5,10.502,25.318,5a,10.502,5b,25.318
MK252769,5,28.027,29.859,5a,28.027,5b,29.859
MK252770,5,29.451,31.818,5a,29.451,5b,31.818
MK252771,5,28.571,31.218,5a,28.571,5b,31.218
MK252773,5,28.430,30.278,5a,28.430,5b,30.278
MK252775,5,27.833,30.897,5a,27.833,5b,30.897
MK252776,5,27.833,28.719,5a,27.833,5b,28.719
MK252780,5,27.895,27.893,5a,27.895,5b,27.893
MK252782,5,28.073,30.769,5a,28.073,5b,30.769
MK252784,5,28.000,30.565,5a,28.000,5b,30.565
MK252790,5,28.319,28.690,5a,28.319,5b,28.690
MK252798,5,29.696,32.079,5a,29.696,5b,32.079
MK252803,5,28.546,28.402,5a,28.546,5b,28.402
MK252804,5,28.302,31.439,5a,28.302,5b,31.439
MK252807,5,27.531,30.631,5a,27.531,5b,30.631
MK252808,5,27.852,30.420,5a,27.852,5b,30.420
MK252809,5,27.911,30.360,5a,27.911,5b,30.360
MK252812,5,27.695,29.900,5a,27.695,5b,29.900
MK252814,5,27.852,30.756,5a,27.852,5b,30.756
MK252815,5,27.304,30.329,5a,27.304,5b,30.329
MK252819,5,27.438,29.885,5a,27.438,5b,29.885
MK252823,5,27.465,29.461,5a,27.465,5b,29.461
MK327988,5,29.245,29.160,5b,29.160,5a,29.245
MK327995,5,29.968,30.843,5a,29.968,5b,30.843
MK327998,5,28.165,30.144,5a,28.165,5b,30.144
MK328011,5,21.557,,5a,21.557,,
MG454958,5,9.077,26.635,5a,9.077,5b,26.635
MG454993,5,11.581,27.113,5a,11.581,5b,27.113
MG454994,5,10.955,25.796,5a,10.955,5b,25.796
MG455011,5,10.329,26.316,5a,10.329,5b,26.316
MG455015,5,10.692,26.256,5a,10.692,5b,26.256
MG455032,5,12.207,28.503,5a,12.207,5b,28.503
MG455033,5,11.268,25.159,5a,11.268,5b,25.159
MG455043,5,10.815,24.801,5a,10.815,5b,24.801
MG455069,5,11.111,25.437,5a,11.111,5b,25.437
MG455072,5,11.181,25.879,5a,11.181,5b,25.879
MG455080,5,11.737,25.637,5a,11.737,5b,25.637
MG455115,5,10.642,25.955,5a,10.642,5b,25.955
MG455144,5,9.390,24.561,5a,9.390,5b,24.561
MG455149,5,11.894,25.997,5a,11.894,5b,25.997
MG455182,5,10.031,25.318,5a,10.031,5b,25.318
MG455217,5,13.146,25.678,5a,13.146,5b,25.678
MG455231,5,11.581,26.752,5a,11.581,5b,26.752
MG455234,5,13.772,29.027,5a,13.772,5b,29.027
MG455236,5,10.016,25.000,5a,10.016,5b,25.000
MG455249,5,10.016,25.955,5a,10.016,5b,25.955
MG455279,5,13.146,27.751,5a,13.146,5b,27.751
MG455280,5,12.363,26.115,5a,12.363,5b,26.115
MG455286,5,11.424,24.642,5a,11.424,5b,24.642
MG455291,5,12.226,24.721,5a,12.226,5b,24.721
MG455312,5,11.894,26.592,5a,11.894,5b,26.592
MG455325,5,9.703,24.402,5a,9.703,5b,24.402
MG455339,5,12.303,26.274,5a,12.303,5b,26.274
MG455357,5,11.268,25.997,5a,11.268,5b,25.997
MG455358,5,10.485,26.316,5a,10.485,5b,26.316
MG455359,5,10.329,25.837,5a,10.329,5b,25.837
MG455367,5,11.111,26.475,5a,11.111,5b,26.475
MG455374,5,11.737,25.837,5a,11.737,5b,25.837
MG455375,5,10.502,25.678,5a,10.502,5b,25.678
MG455384,5,8.607,24.165,5a,8.607,5b,24.165
PQ899567,5,16.430,24.444,5a,16.430,5b,24.444
PQ899568,5,24.367,0.000,5b,0.000,5a,24.367
PP092208,5,29.094,32.907,5a,29.094,5b,32.907
MH703670,5,28.537,30.549,5a,28.537,5b,30.549
MH703678,5,31.144,28.087,5b,28.087,5a,31.144
MH703689,5,30.000,29.384,5b,29.384,5a,30.000
MH703693,5,31.630,29.024,5b,29.024,5a,31.630
EF026073,5,23.455,26.156,5a,23.455,5b,26.156
Y13184,5,8.451,25.240,5a,8.451,5b,25.240
AF064490,5,0.000,24.324,5a,0.000,5b,24.324
AM408911,5,23.455,26.156,5a,23.455,5b,26.156
PX387001,5,10.329,25.997,5a,10.329,5b,25.997
PX387002,5,9.859,26.156,5a,9.859,5b,26.156
KC767829,5,9.404,25.518,5a,9.404,5b,25.518
KC767830,5,10.172,24.879,5a,10.172,5b,24.879
KC767831,5,9.859,24.242,5a,9.859,5b,24.242
KC767832,5,7.981,23.482,5a,7.981,5b,23.482
KC767833,5,9.546,27.822,5a,9.546,5b,27.822
KC767834,5,8.805,25.997,5a,8.805,5b,25.997
KC844046,5,8.607,25.637,5a,8.607,5b,25.637
KF373567,5,9.703,24.473,5a,9.703,5b,24.473
KJ470622,5,28.013,31.270,5a,28.013,5b,31.270
KJ719452,5,10.849,25.997,5a,10.849,5b,25.997
KJ719453,5,11.006,25.359,5a,11.006,5b,25.359
KJ719454,5,8.648,24.561,5a,8.648,5b,24.561
KJ925146,5,8.764,25.278,5a,8.764,5b,25.278
KJ925147,5,7.704,24.083,5a,7.704,5b,24.083
KJ925148,5,7.825,25.678,5a,7.825,5b,25.678
KJ925149,5,8.607,24.960,5a,8.607,5b,24.960
KM587626,5,10.798,25.796,5a,10.798,5b,25.796
KT595242,5,22.135,23.766,5a,22.135,5b,23.766
KU871279,5,8.764,23.285,5a,8.764,5b,23.285
KU871280,5,8.920,23.764,5a,8.920,5b,23.764
KU871281,5,10.485,25.478,5a,10.485,5b,25.478
KU871282,5,10.642,25.478,5a,10.642,5b,25.478
KX107866,5,10.955,25.955,5a,10.955,5b,25.955
KX138233,5,9.703,25.914,5a,9.703,5b,25.914
KX138234,5,9.546,25.997,5a,9.546,5b,25.997
KX138235,5,6.886,25.437,5a,6.886,5b,25.437
KX138236,5,10.798,24.522,5a,10.798,5b,24.522
KX138237,5,7.355,25.119,5a,7.355,5b,25.119
KX138247,5,12.989,25.955,5a,12.989,5b,25.955
