Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205426,430,1,21.163,21.163,20.698,20.698,23.832,23.832,19.159,18.692,18.692,7.674,7.674,21.729,21.729,20.746,21.212,18.794,22.664,22.664,20.930,20.930,21.628,21.628,24.419,24.419,1g,7.674,1e,18.692
MW205427,436,1,20.183,20.183,17.931,17.931,20.882,20.882,19.585,17.281,17.281,7.798,7.798,20.046,20.046,19.355,20.920,18.307,22.248,22.248,20.785,20.785,20.872,20.872,22.402,22.402,1g,7.798,1e,17.281
MW205428,436,1,20.183,20.183,18.807,18.807,22.274,22.274,19.816,17.512,17.512,7.798,7.798,20.276,20.276,18.161,20.276,17.890,23.733,23.733,21.940,21.940,20.642,20.642,22.633,22.633,1g,7.798,1e,17.512
MW205429,430,1,23.721,23.721,21.445,21.445,25.467,25.467,23.077,21.262,21.262,10.465,10.465,24.533,24.533,23.131,25.234,23.023,26.744,26.744,24.651,24.651,24.186,24.186,25.814,25.814,1g,10.465,1e,21.262
MW357793,411,1,22.683,22.683,9.246,9.246,22.525,22.525,16.545,22.871,22.871,20.631,20.631,20.195,20.195,11.192,23.114,22.141,21.602,21.602,23.902,23.902,20.681,20.681,21.078,21.078,1b,9.246,1i,11.192
MW357794,411,1,21.707,21.707,8.759,8.759,23.515,23.515,15.815,21.446,21.446,17.961,17.961,19.951,19.951,12.895,22.871,22.141,20.581,20.581,23.171,23.171,22.384,22.384,22.549,22.549,1b,8.759,1i,12.895
MW357795,411,1,22.195,22.195,7.543,7.543,22.772,22.772,16.058,22.871,22.871,21.117,21.117,20.681,20.681,11.922,22.384,21.168,20.339,20.339,23.590,23.590,21.898,21.898,22.059,22.059,1b,7.543,1i,11.922
MW357796,411,1,21.707,21.707,8.759,8.759,22.850,22.850,17.032,21.696,21.696,19.660,19.660,18.978,18.978,14.355,22.141,18.978,21.602,21.602,23.786,23.786,19.465,19.465,20.588,20.588,1b,8.759,1i,14.355
MW357797,411,1,20.976,20.976,6.813,6.813,22.113,22.113,14.112,22.384,22.384,18.447,18.447,19.221,19.221,13.139,22.628,19.951,21.602,21.602,22.439,22.439,20.438,20.438,21.324,21.324,1b,6.813,1i,13.139
MW357798,411,1,20.732,20.732,6.813,6.813,21.376,21.376,16.302,20.925,20.925,18.447,18.447,20.195,20.195,13.139,21.845,20.925,21.117,21.117,20.776,20.776,21.898,21.898,20.833,20.833,1b,6.813,1i,13.139
