Accession,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ327731,1,6.709,6.709,19.873,19.873,19.387,19.387,22.093,22.246,22.246,21.606,21.606,20.613,20.613,20.844,16.262,15.364,20.296,20.296,14.414,14.414,15.839,15.839,20.719,20.719,1a,6.709,1m,14.414
MZ327732,1,5.917,5.917,19.609,19.609,19.556,19.556,21.840,22.005,22.005,22.439,22.439,20.613,20.613,20.908,16.852,16.799,21.142,21.142,15.531,15.531,15.681,15.681,20.349,20.349,1a,5.917,1m,15.531
MZ327733,1,8.558,8.558,19.556,19.556,19.080,19.080,22.252,22.562,22.562,21.877,21.877,20.655,20.655,20.422,16.852,16.429,20.908,20.908,15.637,15.637,16.394,16.394,20.243,20.243,1a,8.558,1m,15.637
MZ327734,1,6.233,6.233,18.975,18.975,19.239,19.239,22.052,22.146,22.146,21.383,21.383,21.036,21.036,20.433,16.112,15.742,20.613,20.613,15.003,15.003,15.108,15.108,20.402,20.402,1a,6.233,1m,15.003
MZ327736,1,8.241,8.241,19.377,19.377,19.186,19.186,21.576,21.689,21.689,21.976,21.976,21.067,21.067,20.338,16.535,15.954,19.926,19.926,14.844,14.844,15.795,15.795,21.353,21.353,1a,8.241,1m,14.844
MZ327737,1,6.445,6.445,19.133,19.133,20.137,20.137,21.829,21.700,21.700,21.489,21.489,20.983,20.983,20.158,16.112,15.795,20.719,20.719,14.844,14.844,15.417,15.417,19.926,19.926,1a,6.445,1m,14.844
MZ327739,1,6.762,6.762,19.292,19.292,19.873,19.873,22.304,21.670,21.670,21.712,21.712,21.300,21.300,20.116,15.954,15.848,20.402,20.402,15.372,15.372,15.206,15.206,20.719,20.719,1a,6.762,1n,15.206
MZ327740,1,6.973,6.973,19.503,19.503,19.450,19.450,22.357,21.882,21.882,21.712,21.712,20.666,20.666,20.686,16.587,15.531,20.666,20.666,15.267,15.267,15.100,15.100,20.402,20.402,1a,6.973,1n,15.100
MZ327741,1,8.347,8.347,19.715,19.715,18.710,18.710,22.410,22.275,22.275,21.647,21.647,20.972,20.972,20.528,16.852,16.165,20.591,20.591,15.531,15.531,16.262,16.262,20.507,20.507,1a,8.347,1m,15.531
MZ327742,1,7.871,7.871,19.767,19.767,18.975,18.975,21.617,21.331,21.331,20.803,20.803,20.349,20.349,20.739,15.425,15.742,19.979,19.979,14.633,14.633,14.678,14.678,20.455,20.455,1a,7.871,1m,14.633
MZ327743,1,10.882,10.882,16.438,16.438,19.926,19.926,20.465,21.964,21.964,21.183,21.183,20.032,20.032,19.430,17.116,17.750,19.113,19.113,15.848,15.848,15.998,15.998,20.507,20.507,1a,10.882,1m,15.848
MZ327744,1,7.924,7.924,19.673,19.673,19.926,19.926,21.746,22.140,22.140,21.278,21.278,20.803,20.803,20.961,17.010,15.954,20.539,20.539,14.527,14.527,15.576,15.576,21.119,21.119,1a,7.924,1m,14.527
MZ327746,1,8.347,8.347,20.074,20.074,19.186,19.186,21.852,22.205,22.205,21.161,21.161,21.406,21.406,20.380,16.376,16.904,20.338,20.338,15.003,15.003,16.165,16.165,19.493,19.493,1a,8.347,1m,15.003
MZ327747,1,4.702,4.702,19.715,19.715,19.239,19.239,21.840,22.439,22.439,22.451,22.451,20.666,20.666,20.866,16.535,15.689,20.772,20.772,14.897,14.897,14.836,14.836,20.190,20.190,1a,4.702,1m,14.897
MZ327749,1,5.811,5.811,19.450,19.450,20.190,20.190,21.576,22.146,22.146,21.436,21.436,21.406,21.406,20.539,15.320,15.267,20.455,20.455,14.844,14.844,14.995,14.995,20.285,20.285,1a,5.811,1m,14.844
MZ327751,1,6.498,6.498,19.292,19.292,19.556,19.556,21.934,21.542,21.542,21.870,21.870,21.142,21.142,20.855,16.006,15.478,20.666,20.666,14.844,14.844,15.470,15.470,19.503,19.503,1a,6.498,1m,14.844
MZ327753,1,19.588,19.588,9.937,9.937,21.033,21.033,17.989,20.825,20.825,22.281,22.281,17.414,17.414,17.019,20.655,20.275,19.387,19.387,20.011,20.011,19.166,19.166,21.036,21.036,1b,9.937,1i,17.019
MZ327758,1,7.871,7.871,19.979,19.979,19.556,19.556,21.670,21.353,21.353,21.014,21.014,20.877,20.877,21.055,16.270,16.059,20.349,20.349,14.897,14.897,14.995,14.995,20.930,20.930,1a,7.871,1m,14.897
MZ327760,1,5.811,5.811,19.757,19.757,19.694,19.694,22.040,21.564,21.564,21.395,21.395,21.089,21.089,20.908,16.904,16.640,20.032,20.032,14.422,14.422,15.478,15.478,20.772,20.772,1a,5.811,1m,14.422
MZ327761,1,5.335,5.335,19.979,19.979,19.546,19.546,22.140,21.794,21.794,21.436,21.436,21.142,21.142,21.092,16.799,16.136,20.772,20.772,14.527,14.527,15.259,15.259,20.455,20.455,1a,5.335,1m,14.527
MZ327762,1,8.822,8.822,20.032,20.032,19.345,19.345,22.434,21.923,21.923,21.530,21.530,21.300,21.300,21.067,17.169,16.323,20.825,20.825,15.795,15.795,16.403,16.403,20.983,20.983,1a,8.822,1m,15.795
MZ327763,1,6.543,6.543,19.327,19.327,19.499,19.499,21.112,21.630,21.630,21.672,21.672,21.246,21.246,20.288,15.815,15.548,20.725,20.725,14.803,14.803,15.221,15.221,20.224,20.224,1a,6.543,1m,14.803
MZ327765,1,7.660,7.660,20.190,20.190,19.345,19.345,22.516,21.824,21.824,21.278,21.278,21.353,21.353,21.278,16.376,16.429,20.085,20.085,15.531,15.531,15.628,15.628,20.825,20.825,1a,7.660,1m,15.531
MZ327766,1,7.026,7.026,19.282,19.282,20.085,20.085,22.052,21.478,21.478,21.436,21.436,20.402,20.402,20.422,15.795,15.795,20.433,20.433,14.369,14.369,15.364,15.364,19.915,19.915,1a,7.026,1m,14.369
MZ327767,1,5.811,5.811,19.662,19.662,19.186,19.186,21.617,21.489,21.489,21.712,21.712,20.666,20.666,20.475,15.954,15.795,20.455,20.455,14.316,14.316,15.048,15.048,19.651,19.651,1a,5.811,1m,14.316
MZ327768,1,7.343,7.343,19.641,19.641,19.863,19.863,21.587,21.689,21.689,21.383,21.383,21.647,21.647,20.761,16.957,16.059,20.275,20.275,14.633,14.633,15.576,15.576,21.036,21.036,1a,7.343,1m,14.633
MZ327769,1,20.644,20.644,9.403,9.403,21.455,21.455,17.672,21.829,21.829,22.943,22.943,19.186,19.186,16.482,20.613,19.968,20.190,20.190,20.444,20.444,19.863,19.863,20.908,20.908,1b,9.403,1i,16.482
MZ327770,1,6.022,6.022,18.922,18.922,19.556,19.556,21.723,21.987,21.987,21.183,21.183,20.666,20.666,20.369,15.742,15.267,20.296,20.296,14.950,14.950,15.153,15.153,20.877,20.877,1a,6.022,1m,14.950
MZ327771,1,8.663,8.663,20.137,20.137,19.715,19.715,22.146,21.923,21.923,20.855,20.855,20.708,20.708,21.130,17.274,15.637,19.852,19.852,15.320,15.320,15.795,15.795,20.750,20.750,1a,8.663,1m,15.320
MZ327774,1,20.148,20.148,8.192,8.192,20.622,20.622,18.360,21.025,21.025,22.240,22.240,17.495,17.495,17.072,20.825,20.275,19.292,19.292,20.444,20.444,19.715,19.715,20.708,20.708,1b,8.192,1i,17.072
MZ327775,1,19.525,19.525,9.091,9.091,21.244,21.244,17.778,20.983,20.983,21.776,21.776,18.446,18.446,16.755,19.915,19.726,19.651,19.651,20.011,20.011,19.050,19.050,20.825,20.825,1b,9.091,1i,16.755
MZ327776,1,6.392,6.392,18.710,18.710,18.763,18.763,21.723,20.897,20.897,20.655,20.655,21.089,21.089,19.588,15.742,14.950,20.085,20.085,14.369,14.369,14.105,14.105,20.137,20.137,1a,6.392,1n,14.105
MZ327777,1,9.562,9.562,19.915,19.915,19.556,19.556,22.857,22.492,22.492,22.228,22.228,21.406,21.406,21.003,17.010,16.376,20.930,20.930,16.746,16.746,16.957,16.957,21.036,21.036,1a,9.562,1k,16.376
MZ327778,1,4.807,4.807,19.926,19.926,19.397,19.397,21.576,21.847,21.847,21.436,21.436,20.772,20.772,20.750,16.323,15.954,20.455,20.455,15.161,15.161,15.206,15.206,20.190,20.190,1a,4.807,1m,15.161
MZ327782,1,5.124,5.124,19.599,19.599,19.027,19.027,21.893,21.741,21.741,21.331,21.331,20.772,20.772,20.803,15.742,15.689,19.873,19.873,14.739,14.739,16.059,16.059,19.820,19.820,1a,5.124,1m,14.739
MZ327785,1,5.600,5.600,19.662,19.662,19.186,19.186,21.776,22.122,22.122,21.436,21.436,21.089,21.089,20.211,16.165,15.901,20.507,20.507,15.108,15.108,14.784,14.784,19.609,19.609,1a,5.600,1n,14.784
MZ327787,1,3.487,3.487,19.599,19.599,19.080,19.080,21.670,21.553,21.553,21.130,21.130,20.666,20.666,20.855,16.006,15.584,20.772,20.772,14.897,14.897,14.942,14.942,19.345,19.345,1a,3.487,1m,14.897
MZ327788,1,7.660,7.660,19.186,19.186,18.552,18.552,21.829,21.075,21.075,21.447,21.447,20.497,20.497,19.430,15.003,16.218,19.535,19.535,14.686,14.686,15.153,15.153,19.450,19.450,1a,7.660,1m,14.686
MZ327790,1,8.241,8.241,20.296,20.296,19.450,19.450,22.146,21.987,21.987,20.644,20.644,20.772,20.772,20.792,16.270,15.954,20.402,20.402,15.478,15.478,15.734,15.734,21.036,21.036,1a,8.241,1m,15.478
MZ327791,1,19.261,19.261,9.197,9.197,20.897,20.897,16.931,21.089,21.089,21.278,21.278,18.182,18.182,16.121,19.440,20.338,18.552,18.552,20.021,20.021,19.324,19.324,20.137,20.137,1b,9.197,1i,16.121
MZ327792,1,6.550,6.550,19.080,19.080,19.609,19.609,21.829,21.142,21.142,21.500,21.500,20.825,20.825,20.539,17.063,15.478,21.036,21.036,15.267,15.267,15.470,15.470,19.609,19.609,1a,6.550,1m,15.267
MZ327793,1,5.917,5.917,19.609,19.609,20.085,20.085,21.617,21.900,21.900,21.331,21.331,20.349,20.349,20.211,16.323,15.584,20.402,20.402,14.210,14.210,14.950,14.950,20.190,20.190,1a,5.917,1m,14.210
MZ327795,1,7.607,7.607,20.137,20.137,19.662,19.662,22.528,22.298,22.298,21.964,21.964,21.195,21.195,20.908,16.852,15.637,20.296,20.296,14.950,14.950,15.892,15.892,21.089,21.089,1a,7.607,1m,14.950
