Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205415,281,6,32.967,32.967,28.671,30.690,28.522,25.430,23.132,28.819,30.208,28.472,30.104,27.431,29.861,28.866,28.819,28.819,27.431,29.268,26.389,26.335,25.694,24.828,24.828,27.055,28.114,28.114,,,27.586,27.586,27.526,27.526,27.586,,,31.724,31.724,26.042,26.042,29.514,29.514,27.758,28.125,28.125,30.208,6f,23.132,6t,24.828
MW205417,626,6,25.119,25.119,24.127,27.432,23.529,14.217,28.391,26.709,26.349,25.238,26.635,25.243,23.465,26.032,23.186,23.186,24.642,24.880,21.781,27.918,27.504,23.810,23.810,19.646,27.417,27.417,23.328,23.328,25.434,25.434,25.238,25.238,23.892,24.762,24.762,23.622,23.622,24.522,24.522,22.100,22.100,26.382,24.286,24.286,24.487,6e,14.217,6u,19.646
MW205418,416,6,31.175,31.175,27.644,,23.317,8.654,,26.433,28.049,29.024,26.942,23.669,28.049,28.087,25.513,25.513,22.439,22.927,22.439,28.571,27.818,24.038,24.038,20.433,30.657,30.657,26.442,26.442,24.625,24.625,27.073,27.073,19.856,28.469,28.469,28.606,28.606,25.424,25.424,23.547,23.547,28.224,27.317,27.317,24.496,6e,8.654,6xc,19.856
MW205419,413,6,27.711,27.711,27.470,26.139,21.220,7.264,25.791,29.024,27.251,26.764,27.251,25.444,26.341,27.670,26.456,26.456,21.898,23.114,21.707,29.197,27.818,21.463,21.463,17.317,30.900,30.900,24.088,24.088,27.561,27.561,26.895,26.895,19.855,27.952,27.952,25.962,25.962,24.396,24.396,24.878,24.878,29.197,26.098,26.098,27.163,6e,7.264,6u,17.317
MW205420,412,6,30.529,30.529,30.097,27.404,22.927,9.466,27.007,28.537,29.782,28.537,27.317,25.075,25.366,29.126,26.570,26.570,22.439,23.171,20.488,,25.084,22.439,22.439,18.293,30.732,30.732,24.818,24.818,25.854,25.854,26.942,26.942,20.976,28.019,28.019,26.683,26.683,26.829,26.829,24.634,24.634,,27.317,27.317,,6e,9.466,6u,18.293
MW205421,412,6,29.976,29.976,27.778,27.512,20.732,14.563,25.971,28.537,28.780,25.444,27.007,27.737,27.073,27.494,26.034,26.034,23.171,23.171,21.220,27.494,28.469,23.902,23.902,18.780,28.986,28.986,24.146,24.146,25.610,25.610,27.913,27.913,21.463,27.053,27.053,24.940,24.940,25.366,25.366,25.542,25.542,30.732,26.570,26.570,27.885,6e,14.563,6u,18.780
MW205422,325,6,6.462,6.462,24.768,26.154,,30.556,29.054,31.746,31.250,25.625,30.627,28.391,32.166,30.124,32.492,32.492,28.025,28.213,29.062,31.562,30.375,26.769,26.769,29.348,27.206,27.206,28.477,28.477,34.014,34.014,30.032,30.032,29.721,23.692,23.692,28.571,28.571,28.707,28.707,31.988,31.988,28.000,31.034,31.034,29.781,6a,6.462,6xd,23.692
MW205423,368,6,6.250,6.250,23.243,25.291,30.814,27.405,27.941,31.956,31.768,26.593,31.781,27.747,30.748,28.767,31.361,31.361,26.036,27.473,27.729,29.582,32.143,28.024,28.024,27.246,29.558,29.558,28.649,28.649,31.956,31.956,27.824,27.824,27.616,22.973,22.973,27.671,27.671,26.923,26.923,29.882,29.882,29.944,30.495,30.495,31.285,6a,6.250,6xd,22.973
MW205424,336,6,7.440,7.440,25.595,25.893,,29.080,28.916,30.717,30.909,26.140,31.024,29.483,31.818,30.178,31.915,31.915,27.576,29.091,27.576,31.548,28.475,27.596,27.596,29.762,31.325,31.325,28.994,28.994,32.931,32.931,29.787,29.787,28.358,22.917,22.917,28.399,28.399,27.660,27.660,30.952,30.952,28.869,29.217,29.217,30.699,6a,7.440,6xd,22.917
MW205425,365,6,4.658,4.658,22.581,28.255,32.782,30.623,27.839,,30.149,26.087,31.792,29.589,29.032,28.767,30.258,30.258,27.826,28.650,29.275,31.868,28.779,27.248,27.248,30.814,30.423,30.423,30.411,30.411,32.749,32.749,28.328,28.328,28.324,21.918,21.918,27.246,27.246,28.099,28.099,29.151,29.151,29.155,28.324,28.324,33.133,6a,4.658,6xd,21.918
MW629116,635,6,29.199,29.199,27.057,28.889,29.743,27.027,30.031,28.785,24.762,23.855,21.270,20.032,8.819,24.127,20.794,20.794,30.500,27.721,25.624,30.503,28.916,27.778,27.778,27.981,28.271,28.271,25.525,25.525,26.232,26.232,18.799,18.799,28.776,26.667,26.667,19.370,19.370,27.057,27.057,19.055,19.055,30.000,17.398,17.398,19.778,6l,8.819,6xi,17.398
