Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover
MW205243,4,84.000,4n,92.058,236-321,
MW205244,1,82.891,1c,96.460,226-321,
MW205245,4,84.366,4r,93.805,226-321,
MW205246,4,83.432,4n,91.445,226-321,
MW205247,1,83.481,1c,95.575,226-321,
MW205248,1,82.301,1c,95.280,226-321,
MW205249,4,82.891,4r,94.100,226-321,
MW205250,4,82.891,4r,94.100,226-321,
MW205251,4,81.657,4n,89.676,226-321,
MW205252,6,81.308,6a,94.690,226-321,
MW205253,4,84.366,4r,92.920,226-321,
MW205254,1,83.481,1c,94.395,226-321,
MW205255,6,80.625,6a,93.805,226-321,
MW205256,4,79.941,4k,87.316,226-321,
MW205257,4,88.496,4c,95.280,226-321,
MW205258,4,88.496,4c,94.690,226-321,
MW205259,4,84.661,4r,93.510,226-321,
MW205260,4,82.544,4n,91.150,226-321,
MW205261,4,79.290,4o,92.308,226-321,
MW205262,2,83.383,2c,94.100,226-321,
MW205263,2,83.680,2c,92.625,226-321,
MW205264,6,81.875,6a,94.395,226-321,
MW205265,4,82.006,4o,92.035,226-321,
MW205266,4,81.657,4n,90.855,226-321,
MW205267,4,83.186,4k,92.920,226-321,
MW205268,4,82.891,4k,93.510,226-321,
MW205269,6,79.688,6a,93.805,226-321,
MW205270,5,93.510,5a,92.920,226-321,
MW205271,2,81.899,2c,92.625,226-321,
MW205272,4,82.596,4o,92.625,226-321,
MW205273,4,88.201,4c,95.280,226-321,
MW205274,4,89.676,4c,93.215,226-321,
MW205275,4,82.596,4l,91.740,226-321,
MW205276,4,80.712,4k,93.472,226-321,
MW205277,1,82.006,1c,93.805,226-321,
MW205278,1,81.416,1c,94.100,226-321,
MW205279,3,76.991,3b,92.625,226-321,
MW205280,4,82.596,4k,92.625,226-321,
MW205281,6,81.494,6a,93.831,228-321,
MW205282,2,82.789,2c,92.920,226-321,
MW205283,4,82.596,4k,87.611,226-321,
MW205284,3,79.056,3b,89.381,226-321,
MW205285,3,79.056,3b,89.381,226-321,
MW205286,3,78.761,3b,89.676,226-321,
MW205287,3,79.056,3b,90.855,226-321,
MW205288,3,75.221,3k,91.740,226-321,
MW205289,4,80.826,4k,89.086,226-321,
MW205290,4,81.416,4q,92.035,226-321,
MW205291,4,81.525,4f,91.691,226-321,
MW205292,3,78.171,3b,90.265,226-321,
MW205293,3,78.466,3b,88.791,226-321,
MW205294,4,83.186,4o,91.740,226-321,
MW205295,4,83.438,4k,92.035,226-321,
MW205296,4,82.891,4k,92.625,226-321,
MW205297,3,73.964,3k,91.740,226-321,
MW205298,1,81.121,1c,92.920,226-321,
MW205299,4,81.361,4f,91.150,226-321,
MW205300,2,81.416,2k,91.071,226-321,
MW205301,4,83.183,4t,92.625,226-321,
MW205302,4,83.776,4o,87.021,226-321,
MW205303,4,83.776,4o,89.381,226-321,
MW205304,4,81.452,4k,89.113,249-321,
MW205305,4,84.024,4l,88.166,226-321,
MW205306,4,84.661,4v,95.280,226-321,
MW205307,4,83.133,4l,88.855,226-321,
MW205308,2,84.273,2k,88.496,226-321,
MW205309,2,84.956,2j,86.944,226-321,
