Accession,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ327752,4,18.700,20.338,18.658,4.649,4.649,19.282,19.282,21.078,19.915,19.915,17.274,19.651,19.873,18.436,17.442,17.697,20.391,20.855,19.186,18.585,18.585,19.324,19.324,4d,4.649,4l,17.274
MT863882,4,21.359,22.494,20.244,5.797,5.797,21.359,21.359,26.650,21.951,21.951,19.024,17.778,21.130,19.277,18.689,19.118,21.602,22.705,18.932,19.268,19.268,22.113,22.113,4d,5.797,4m,17.778
MT863883,4,20.874,22.249,20.000,5.797,5.797,20.874,20.874,26.142,21.463,21.463,19.024,17.531,20.885,19.036,18.447,18.627,21.359,23.188,18.447,18.780,18.780,22.359,22.359,4d,5.797,4m,17.531
MT863884,4,20.388,21.760,20.000,5.556,5.556,21.845,21.845,25.316,21.951,21.951,19.024,18.069,21.867,19.417,18.204,18.627,21.359,22.222,18.447,18.537,18.537,21.867,21.867,4d,5.556,4p,18.204
MT863885,4,19.660,21.027,19.268,4.831,4.831,21.117,21.117,24.810,21.463,21.463,18.293,17.574,21.376,18.689,17.476,17.892,21.117,21.739,17.718,17.805,17.805,21.130,21.130,4d,4.831,4p,17.476
MT863888,4,20.874,21.516,19.024,5.556,5.556,20.874,20.874,25.750,21.463,21.463,18.293,17.718,21.324,18.072,17.476,17.936,20.874,22.947,17.718,18.537,18.537,21.130,21.130,4d,5.556,4p,17.476
MT863889,4,21.359,22.005,19.512,6.039,6.039,21.359,21.359,25.686,21.951,21.951,18.780,18.204,21.271,18.554,17.961,18.428,21.359,22.705,18.204,19.024,19.024,21.078,21.078,4d,6.039,4p,17.961
MT863896,4,20.146,22.249,20.488,5.797,5.797,20.631,20.631,25.381,22.683,22.683,18.293,19.506,21.867,20.388,20.388,18.873,22.573,22.947,19.903,18.293,18.293,22.359,22.359,4d,5.797,4v,18.293
MT863897,4,19.903,22.494,20.244,5.556,5.556,20.874,20.874,25.381,22.683,22.683,18.780,20.000,22.113,20.631,20.388,19.118,22.816,22.705,19.175,17.805,17.805,22.113,22.113,4d,5.556,4v,17.805
MT863900,4,19.175,20.782,18.780,4.831,4.831,21.117,21.117,24.138,21.220,21.220,18.049,17.531,20.639,18.932,17.961,17.402,21.117,21.981,17.233,18.049,18.049,20.885,20.885,4d,4.831,4t,17.233
MT863901,4,19.175,21.271,19.024,4.106,4.106,20.874,20.874,24.934,21.707,21.707,18.293,17.284,21.130,18.689,17.961,17.892,21.359,21.739,17.233,18.049,18.049,21.130,21.130,4d,4.106,4t,17.233
