Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
ON228285,1893,5,7.977,22.470,5a,7.977,5b,22.470
ON228286,1893,5,7.924,22.364,5a,7.924,5b,22.364
ON228287,1892,5,9.302,23.211,5a,9.302,5b,23.211
ON228288,1893,5,7.713,22.128,5a,7.713,5b,22.128
PQ899567,1892,5,15.328,22.886,5a,15.328,5b,22.886
PQ899568,1893,5,21.410,0.000,5b,0.000,5a,21.410
DQ164642,254,5,7.874,22.490,5a,7.874,5b,22.490
DQ164643,254,5,7.480,22.441,5a,7.480,5b,22.441
DQ164644,254,5,9.055,24.498,5a,9.055,5b,24.498
DQ164645,255,5,5.882,22.088,5a,5.882,5b,22.088
DQ164646,255,5,6.667,24.498,5a,6.667,5b,24.498
DQ164647,255,5,5.882,23.695,5a,5.882,5b,23.695
DQ164648,255,5,6.275,22.892,5a,6.275,5b,22.892
DQ164649,255,5,4.706,21.654,5a,4.706,5b,21.654
DQ164650,239,5,7.950,22.807,5a,7.950,5b,22.807
DQ164651,254,5,7.874,21.687,5a,7.874,5b,21.687
DQ164652,255,5,4.706,22.490,5a,4.706,5b,22.490
DQ164653,259,5,10.039,22.907,5a,10.039,5b,22.907
DQ164654,255,5,8.235,23.695,5a,8.235,5b,23.695
DQ164655,254,5,8.268,21.285,5a,8.268,5b,21.285
DQ164656,238,5,6.303,21.930,5a,6.303,5b,21.930
DQ164657,238,5,8.403,21.930,5a,8.403,5b,21.930
DQ164658,255,5,5.882,22.892,5a,5.882,5b,22.892
DQ164659,255,5,6.275,22.892,5a,6.275,5b,22.892
DQ164660,255,5,7.843,22.490,5a,7.843,5b,22.490
DQ164661,254,5,11.024,21.285,5a,11.024,5b,21.285
DQ164662,223,5,10.762,21.739,5a,10.762,5b,21.739
DQ164663,234,5,8.547,23.605,5a,8.547,5b,23.605
DQ164664,255,5,5.490,22.892,5a,5.490,5b,22.892
DQ164665,238,5,8.403,21.491,5a,8.403,5b,21.491
DQ164666,254,5,7.874,24.096,5a,7.874,5b,24.096
DQ164667,255,5,9.020,22.892,5a,9.020,5b,22.892
DQ164668,255,5,9.020,22.892,5a,9.020,5b,22.892
DQ164669,255,5,6.275,21.687,5a,6.275,5b,21.687
DQ164670,255,5,7.843,24.096,5a,7.843,5b,24.096
DQ164671,255,5,8.235,24.498,5a,8.235,5b,24.498
DQ164672,254,5,7.874,23.293,5a,7.874,5b,23.293
DQ164673,255,5,7.451,22.490,5a,7.451,5b,22.490
DQ164674,255,5,7.451,22.490,5a,7.451,5b,22.490
DQ164675,255,5,7.843,22.490,5a,7.843,5b,22.490
DQ164676,255,5,5.490,22.490,5a,5.490,5b,22.490
DQ164677,255,5,9.412,24.900,5a,9.412,5b,24.900
DQ164678,255,5,5.882,23.695,5a,5.882,5b,23.695
DQ164679,255,5,9.412,22.892,5a,9.412,5b,22.892
DQ164680,255,5,7.451,21.285,5a,7.451,5b,21.285
DQ164681,254,5,7.087,22.047,5a,7.087,5b,22.047
DQ164682,255,5,7.451,21.285,5a,7.451,5b,21.285
DQ164683,254,5,7.087,22.892,5a,7.087,5b,22.892
DQ164684,255,5,8.235,24.096,5a,8.235,5b,24.096
DQ164685,254,5,9.055,24.498,5a,9.055,5b,24.498
DQ164686,255,5,7.059,22.088,5a,7.059,5b,22.088
DQ164687,255,5,9.804,24.498,5a,9.804,5b,24.498
DQ164688,254,5,9.843,21.687,5a,9.843,5b,21.687
DQ164689,238,5,9.244,22.609,5a,9.244,5b,22.609
DQ164690,255,5,5.882,23.695,5a,5.882,5b,23.695
DQ164691,254,5,7.480,23.171,5a,7.480,5b,23.171
DQ164692,255,5,6.667,22.490,5a,6.667,5b,22.490
DQ164693,254,5,6.693,22.892,5a,6.693,5b,22.892
DQ164694,255,5,7.451,22.490,5a,7.451,5b,22.490
DQ164695,254,5,7.480,23.695,5a,7.480,5b,23.695
DQ164696,255,5,7.059,22.088,5a,7.059,5b,22.088
DQ164697,253,5,9.881,22.358,5a,9.881,5b,22.358
DQ164698,255,5,8.235,23.695,5a,8.235,5b,23.695
DQ164699,255,5,5.882,21.285,5a,5.882,5b,21.285
DQ164700,253,5,9.881,22.358,5a,9.881,5b,22.358
DQ164701,255,5,8.235,21.285,5a,8.235,5b,21.285
DQ164702,255,5,6.667,20.482,5a,6.667,5b,20.482
DQ164703,255,5,7.059,22.088,5a,7.059,5b,22.088
DQ164704,255,5,5.882,22.892,5a,5.882,5b,22.892
DQ164705,255,5,7.843,21.687,5a,7.843,5b,21.687
DQ164706,255,5,7.843,22.088,5a,7.843,5b,22.088
DQ164707,255,5,7.059,22.088,5a,7.059,5b,22.088
DQ164708,254,5,8.661,23.228,5a,8.661,5b,23.228
DQ164709,255,5,4.706,22.892,5a,4.706,5b,22.892
DQ164710,254,5,7.087,22.358,5a,7.087,5b,22.358
DQ164711,254,5,9.843,25.197,5a,9.843,5b,25.197
DQ164712,255,5,7.451,23.293,5a,7.451,5b,23.293
DQ164713,255,5,9.804,24.096,5a,9.804,5b,24.096
DQ164714,255,5,6.275,23.228,5a,6.275,5b,23.228
DQ164715,255,5,5.882,23.293,5a,5.882,5b,23.293
DQ164716,254,5,11.024,21.285,5a,11.024,5b,21.285
DQ164718,255,5,7.059,22.490,5a,7.059,5b,22.490
DQ164719,255,5,8.235,22.892,5a,8.235,5b,22.892
DQ164720,255,5,9.020,22.892,5a,9.020,5b,22.892
DQ164721,255,5,7.843,22.490,5a,7.843,5b,22.490
DQ164722,255,5,6.275,23.293,5a,6.275,5b,23.293
DQ164723,254,5,8.661,23.293,5a,8.661,5b,23.293
DQ164724,255,5,7.059,22.892,5a,7.059,5b,22.892
DQ164725,255,5,7.059,22.088,5a,7.059,5b,22.088
DQ164726,255,5,7.059,20.482,5a,7.059,5b,20.482
DQ164727,255,5,5.882,22.892,5a,5.882,5b,22.892
DQ164728,255,5,7.451,20.080,5a,7.451,5b,20.080
DQ164729,252,5,7.143,21.774,5a,7.143,5b,21.774
DQ164730,254,5,6.299,20.482,5a,6.299,5b,20.482
DQ164731,255,5,9.804,22.490,5a,9.804,5b,22.490
DQ164732,254,5,6.299,20.884,5a,6.299,5b,20.884
DQ164733,255,5,9.804,22.088,5a,9.804,5b,22.088
DQ164734,255,5,5.882,21.285,5a,5.882,5b,21.285
DQ164735,255,5,9.412,22.835,5a,9.412,5b,22.835
DQ164736,254,5,7.480,21.951,5a,7.480,5b,21.951
DQ164737,254,5,7.874,23.622,5a,7.874,5b,23.622
DQ164738,255,5,8.235,23.293,5a,8.235,5b,23.293
