Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205270,339,5,7.080,20.944,5a,7.080,5b,20.944
PQ110192,299,5,11.037,22.814,5a,11.037,5b,22.814
MT151056,314,5,4.777,18.471,5a,4.777,5b,18.471
MT151103,316,5,6.646,17.778,5a,6.646,5b,17.778
MT151150,316,5,6.013,19.365,5a,6.013,5b,19.365
MT482281,365,5,4.110,18.904,5a,4.110,5b,18.904
MT503192,365,5,5.753,19.178,5a,5.753,5b,19.178
ON228289,113,5,6.195,19.298,5a,6.195,5b,19.298
ON228290,113,5,5.310,20.175,5a,5.310,5b,20.175
ON228291,149,5,8.725,22.000,5a,8.725,5b,22.000
ON228292,109,5,8.257,21.818,5a,8.257,5b,21.818
ON228293,113,5,6.195,18.421,5a,6.195,5b,18.421
ON228294,1711,5,5.728,20.093,5a,5.728,5b,20.093
ON228295,1711,5,6.546,20.117,5a,6.546,5b,20.117
ON228296,1699,5,6.651,20.153,5a,6.651,5b,20.153
ON228297,1711,5,6.721,20.502,5a,6.721,5b,20.502
ON228298,1711,5,5.961,20.070,5a,5.961,5b,20.070
ON228299,1711,5,6.721,20.351,5a,6.721,5b,20.351
ON228300,1698,5,6.949,20.612,5a,6.949,5b,20.612
ON228301,158,5,6.962,20.126,5a,6.962,5b,20.126
ON228302,158,5,8.228,20.755,5a,8.228,5b,20.755
PQ666864,340,5,20.000,1.765,5b,1.765,5a,20.000
PQ666867,339,5,19.174,7.670,5b,7.670,5a,19.174
MG453202,1772,5,7.675,20.869,5a,7.675,5b,20.869
MG453236,1772,5,7.675,20.394,5a,7.675,5b,20.394
MG453237,1772,5,7.280,18.895,5a,7.280,5b,18.895
MG453253,1772,5,9.424,21.972,5a,9.424,5b,21.972
MG453257,336,5,8.333,20.536,5a,8.333,5b,20.536
MG453272,1772,5,7.619,20.034,5a,7.619,5b,20.034
MG453273,1772,5,8.521,19.944,5a,8.521,5b,19.944
MG453283,1772,5,7.280,20.732,5a,7.280,5b,20.732
MG453308,1772,5,8.521,20.711,5a,8.521,5b,20.711
MG453311,1772,5,9.029,20.869,5a,9.029,5b,20.869
MG453318,1772,5,9.086,21.094,5a,9.086,5b,21.094
MG453352,1772,5,11.230,22.065,5a,11.230,5b,22.065
MG453378,336,5,6.845,21.131,5a,6.845,5b,21.131
MG453383,1772,5,8.691,20.688,5a,8.691,5b,20.688
MG453415,1772,5,8.804,19.289,5a,8.804,5b,19.289
MG453449,1772,5,9.368,20.530,5a,9.368,5b,20.530
MG453462,1772,5,8.747,21.421,5a,8.747,5b,21.421
MG453463,1772,5,9.481,22.009,5a,9.481,5b,22.009
