Accession,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205252,6,5.310,5.310,18.692,27.515,26.036,26.480,27.859,28.750,29.290,26.100,30.205,29.912,29.032,28.107,30.769,30.769,27.729,27.027,30.178,26.844,29.794,28.994,28.994,26.549,26.844,26.844,26.875,26.875,24.260,24.260,28.287,28.287,30.769,20.118,20.118,30.088,30.088,28.477,28.477,30.473,30.473,25.155,29.586,29.586,29.375,6a,5.310,6b,18.692
MW205255,6,6.195,6.195,19.375,27.219,25.497,28.438,28.779,27.414,27.811,26.608,29.738,29.619,27.811,28.994,28.994,28.994,27.434,25.225,30.473,28.319,28.909,28.655,28.655,28.614,26.549,26.549,26.549,26.549,25.148,25.148,27.559,27.559,31.065,20.118,20.118,28.994,28.994,28.477,28.477,28.994,28.994,23.397,30.205,30.205,30.218,6a,6.195,6xd,20.118
MW205264,6,5.605,5.605,18.125,27.515,24.752,26.562,27.616,26.480,27.188,26.316,29.938,,28.107,26.627,27.515,27.515,26.549,25.526,,26.844,28.909,26.490,26.490,27.729,26.254,26.254,24.922,24.922,22.781,22.781,31.085,31.085,29.290,18.047,18.047,28.107,28.107,28.477,28.477,28.107,28.107,23.676,30.499,30.499,29.283,6a,5.605,6xd,18.047
MW205269,6,6.195,6.195,20.312,28.107,26.159,28.125,28.488,28.349,29.499,28.280,30.612,29.375,28.107,28.529,30.178,30.178,28.614,25.826,30.769,28.739,29.204,28.739,28.739,28.614,28.319,28.319,25.776,25.776,24.852,24.852,32.153,32.153,30.769,20.118,20.118,29.290,29.290,28.758,28.758,29.586,29.586,26.875,31.361,31.361,29.907,6a,6.195,6xd,20.118
MW205281,6,6.169,6.169,18.506,26.557,23.906,26.471,26.214,26.936,28.197,25.566,27.778,29.221,27.597,25.733,28.852,28.852,24.364,25.000,30.164,27.213,28.339,25.338,25.338,27.609,24.675,24.675,25.974,25.974,23.701,23.701,30.844,30.844,28.788,18.812,18.812,30.164,30.164,27.027,27.027,28.197,28.197,23.529,28.571,28.571,29.545,6a,6.169,6b,18.506
MW205371,6,24.922,24.922,27.811,20.710,20.649,5.621,20.059,22.714,29.934,30.000,30.928,30.341,29.794,28.750,25.077,25.077,22.189,20.544,22.781,26.331,31.065,18.879,18.879,16.224,29.062,29.062,24.412,24.412,22.419,22.419,29.651,29.651,15.680,25.664,25.664,29.412,29.412,21.605,21.605,28.483,28.483,22.353,29.499,29.499,30.864,6e,5.621,6xc,15.680
MW205372,6,25.882,25.882,28.994,23.077,23.304,7.396,22.353,25.074,28.276,31.250,29.553,30.693,30.000,28.750,27.812,27.812,23.125,22.356,23.669,26.923,29.503,19.527,19.527,15.634,29.375,29.375,24.412,24.412,24.779,24.779,28.571,28.571,17.751,27.152,27.152,29.907,29.907,21.036,21.036,29.907,29.907,26.176,29.688,29.688,32.399,6e,7.396,6u,15.634
MW205373,6,26.036,26.036,29.794,21.598,22.714,11.834,22.714,25.444,29.181,29.032,31.317,32.153,29.619,31.268,27.059,27.059,22.781,20.846,24.260,27.811,31.657,19.231,19.231,17.404,31.065,31.065,24.484,24.484,24.189,24.189,30.678,30.678,15.976,26.765,26.765,30.088,30.088,21.362,21.362,29.326,29.326,26.765,30.678,30.678,32.448,6e,11.834,6xc,15.976
ON125365,6,23.875,23.875,25.418,23.000,20.833,20.667,23.183,28.000,27.575,25.914,28.571,28.819,27.333,25.084,21.000,21.000,22.917,20.486,28.333,26.000,28.472,25.000,25.000,23.256,25.914,25.914,28.000,28.000,2.333,2.333,28.333,28.333,24.221,23.345,23.345,24.252,24.252,25.694,25.694,25.418,25.418,27.000,28.763,28.763,29.000,6xa,2.333,6e,20.667
ON125366,6,24.917,24.917,24.415,22.000,21.333,21.000,24.252,27.667,27.907,25.581,29.097,29.000,27.000,24.749,20.667,20.667,23.667,21.000,27.243,26.667,28.125,24.667,24.667,23.588,26.333,26.333,28.000,28.000,2.667,2.667,27.243,27.243,24.585,23.746,23.746,23.920,23.920,25.694,25.694,25.084,25.084,27.333,28.000,28.000,28.239,6xa,2.667,6n,20.667
