Accession,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MW205243,29.412,,32.364,16.000,30.040,,,26.728,4,16.000,1,29.412
MW205245,29.003,31.173,25.926,15.634,31.227,,30.218,,4,15.634,1,29.003
MW205246,28.660,30.859,30.341,16.568,30.153,,,27.966,4,16.568,1,28.660
MW205249,28.916,31.563,26.337,17.109,29.167,,30.284,,4,17.109,1,28.916
MW205250,28.916,31.563,26.337,17.109,29.167,,30.284,,4,17.109,1,28.916
MW205251,29.607,29.915,32.500,18.343,26.562,,,,4,18.343,1,29.607
MW205253,29.193,32.164,27.273,15.634,31.429,,,,4,15.634,1,29.193
MW205256,30.723,30.047,32.153,20.059,30.403,,,28.870,4,20.059,1,30.723
MW205257,30.530,,28.446,11.504,27.953,33.478,29.245,29.016,4,11.504,3,28.446
MW205258,30.124,,29.532,11.504,27.843,32.245,30.841,,4,11.504,3,29.532
MW205259,26.647,31.169,25.541,15.339,27.778,,30.960,27.311,4,15.339,1,26.647
MW205260,29.448,31.804,30.218,17.456,28.646,,,27.559,4,17.456,1,29.448
MW205261,31.790,31.250,30.938,20.710,31.154,31.061,,,4,20.710,3,30.938
MW205265,30.847,32.171,30.938,17.994,27.869,,31.034,,4,17.994,3,30.938
MW205266,30.841,,32.099,18.343,30.488,,,,4,18.343,1,30.841
MW205267,30.530,,28.793,16.814,31.655,,,,4,16.814,3,28.793
MW205268,28.086,30.769,28.660,17.109,31.136,30.769,32.704,,4,17.109,1,28.086
MW205272,31.385,29.845,30.383,17.404,25.137,27.083,30.100,,4,17.404,3,30.383
MW205273,31.677,27.660,27.273,11.799,28.458,32.927,30.769,30.126,4,11.799,3,27.273
MW205274,33.125,29.482,30.792,10.324,27.273,31.197,,,4,10.324,3,30.792
MW205275,29.470,32.489,29.794,17.404,31.525,,,27.731,4,17.404,3,29.794
MW205276,29.321,,25.792,19.288,,30.769,31.095,,4,19.288,1,29.321
MW205280,30.205,,29.907,17.404,27.179,29.150,30.818,,4,17.404,3,29.907
MW205283,31.889,,32.087,17.404,31.321,,31.438,30.315,4,17.404,1,31.889
MW205289,31.173,31.325,29.283,19.174,30.769,,32.492,,4,19.174,3,29.283
MW205290,30.031,28.085,30.041,18.584,30.579,31.250,30.844,,4,18.584,1,30.031
MW205291,30.422,,31.858,18.475,30.000,,,,4,18.475,1,30.422
MW205294,32.000,30.859,30.435,16.814,31.746,,,,4,16.814,3,30.435
MW205295,32.099,,30.435,16.562,,33.230,29.874,,4,16.562,3,30.435
MW205296,30.247,31.871,27.027,17.109,31.518,30.612,32.188,,4,17.109,1,30.247
MW205299,31.420,,30.000,18.639,31.034,,,,4,18.639,3,30.000
MW205301,29.193,26.761,30.312,16.817,27.749,,,27.660,4,16.817,1,29.193
MW205302,30.330,,31.366,16.224,21.818,30.544,30.667,,4,16.224,1,30.330
MW205303,29.503,,30.678,16.224,28.063,28.033,31.879,27.064,4,16.224,1,29.503
MW205304,28.696,,,18.548,,33.475,,,4,18.548,1,28.696
MW205305,29.940,29.961,28.571,15.976,29.762,,,25.106,4,15.976,8,25.106
MW205306,26.398,27.586,26.522,15.339,30.450,,30.599,27.311,4,15.339,1,26.398
MW205307,24.662,29.870,30.149,16.867,26.877,,29.448,26.267,4,16.867,1,24.662
MW205310,28.660,,32.188,17.507,31.395,33.125,30.960,27.273,4,17.507,1,28.660
MW205315,29.283,,27.059,15.976,31.418,32.780,,28.794,4,15.976,3,27.059
MW205360,30.952,27.586,27.984,19.427,31.502,33.333,,29.493,4,19.427,3,27.984
MW221786,28.767,,,16.287,,32.500,29.658,,4,16.287,1,28.767
MW221798,27.055,,,15.635,31.330,,,,4,15.635,1,27.055
MW221799,28.315,26.512,30.208,9.901,27.083,30.612,,,4,9.901,1,28.315
MW221800,28.231,26.636,29.831,9.241,27.225,,,,4,9.241,1,28.231
MW221809,27.304,29.572,30.508,15.309,30.303,34.021,,,4,15.309,1,27.304
MW221817,29.391,28.037,28.814,9.571,30.000,,,,4,9.571,3,28.814
MW221818,29.110,,,15.961,30.932,33.793,,,4,15.961,1,29.110
MW307936,29.504,31.332,28.084,18.158,30.990,31.759,29.283,31.937,4,18.158,3,28.084
MZ327752,24.239,29.498,27.038,15.660,28.998,28.295,30.335,27.233,4,15.660,1,24.239
PP484706,29.021,28.448,,18.881,29.644,,,32.453,4,18.881,1,29.021
PP484711,29.720,29.915,28.788,19.231,,,,30.508,4,19.231,1,29.720
PP484713,28.800,28.692,32.000,18.662,24.479,,,29.924,4,18.662,5,24.479
PP484714,29.710,31.092,31.408,17.832,28.125,,,,4,17.832,1,29.710
PP484716,26.812,29.870,28.920,17.133,27.919,,,25.847,4,17.133,1,26.812
PP484717,28.881,30.380,30.545,16.901,26.705,,,28.409,4,16.901,8,28.409
PP484720,28.322,,,17.832,,,,,4,17.832,1,28.322
PP484721,29.371,,27.798,17.133,,,,,4,17.133,3,27.798
PP484722,28.017,28.571,32.331,16.783,26.636,29.185,33.452,28.390,4,16.783,1,28.017
PP484723,27.273,28.077,29.603,18.531,28.740,,29.278,,4,18.531,1,27.273
PP484725,29.371,,,18.881,,,,31.707,4,18.881,1,29.371
PP484726,27.178,29.185,28.571,16.901,25.146,26.846,,28.936,4,16.901,1,27.178
PP484730,30.070,,30.075,19.930,28.235,,30.882,30.943,4,19.930,1,30.070
PP484733,27.875,,,19.580,26.744,,,,4,19.580,1,27.875
PP484734,27.622,,31.522,16.434,30.435,,,30.303,4,16.434,1,27.622
PP484736,29.371,,27.798,17.133,,,,,4,17.133,3,27.798
PP484739,28.671,,30.435,17.832,32.143,,,29.362,4,17.832,1,28.671
PP484740,28.881,30.303,31.317,18.051,28.125,,,,4,18.051,1,28.881
PP484741,28.017,28.571,32.331,16.783,26.636,29.185,33.452,28.390,4,16.783,1,28.017
PP484742,29.021,,,20.629,27.326,,,,4,20.629,1,29.021
PP484743,30.420,,30.072,19.231,31.621,,,30.932,4,19.231,1,30.420
PP484744,29.603,29.004,30.712,16.783,28.169,30.370,,28.085,4,16.783,1,29.603
PP484747,29.603,29.114,29.818,16.901,28.854,29.167,,29.787,4,16.901,3,29.818
PP484752,29.348,30.342,29.730,17.483,29.537,30.833,,,4,17.483,1,29.348
PP484754,28.000,27.966,29.682,17.986,31.076,,32.593,26.809,4,17.986,8,26.809
PP484755,29.964,,32.734,20.280,28.302,,,,4,20.280,1,29.964
