Accession,AssignedGenotype,Subtype2aDistance,Subtype2aDistance,Subtype2bDistance,Subtype2bDistance,Subtype2cDistance,Subtype2dDistance,Subtype2eDistance,Subtype2fDistance,Subtype2fDistance,Subtype2iDistance,Subtype2jDistance,Subtype2jDistance,Subtype2kDistance,Subtype2lDistance,Subtype2lDistance,Subtype2mDistance,Subtype2mDistance,Subtype2qDistance,Subtype2qDistance,Subtype2rDistance,Subtype2tDistance,Subtype2uDistance,Subtype2vDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205262,2,15.727,15.727,18.991,18.991,5.900,18.398,18.018,14.749,14.749,14.837,15.044,15.044,15.044,23.304,23.304,17.507,17.507,18.879,18.879,19.174,19.881,17.507,14.454,2c,5.900,2v,14.454
MW205263,2,15.727,15.727,18.991,18.991,7.375,19.288,18.919,15.634,15.634,16.617,15.044,15.044,15.929,24.189,24.189,17.804,17.804,19.469,19.469,17.994,19.881,18.694,14.454,2c,7.375,2v,14.454
MW205271,2,16.320,16.320,17.804,17.804,7.375,17.211,17.718,15.430,15.430,16.024,14.749,14.749,15.929,20.882,20.882,18.101,18.101,19.764,19.764,20.059,19.881,18.694,14.159,2c,7.375,2v,14.159
MW205282,2,17.211,17.211,17.211,17.211,7.080,16.024,18.919,15.634,15.634,14.837,16.224,16.224,16.519,22.124,22.124,16.617,16.617,17.699,17.699,19.764,18.101,19.288,14.159,2c,7.080,2v,14.159
MW205300,2,16.519,16.519,20.414,20.414,17.857,18.289,21.622,18.584,18.584,20.059,15.774,15.774,8.929,25.076,25.076,19.469,19.469,16.369,16.369,17.857,21.302,17.404,18.452,2k,8.929,2j,15.774
MW205308,2,14.243,14.243,21.068,21.068,17.994,15.430,20.120,17.699,17.699,18.991,14.159,14.159,11.504,24.779,24.779,14.837,14.837,12.094,12.094,15.339,18.694,15.430,16.814,2k,11.504,2q,12.094
MW205309,2,14.159,14.159,20.414,20.414,16.617,14.159,19.764,17.699,17.699,16.519,13.056,13.056,14.837,22.523,22.523,14.749,14.749,15.727,15.727,16.914,20.710,16.814,16.914,2j,13.056,2d,14.159
MW205311,2,14.243,14.243,19.585,19.585,15.634,18.398,19.820,17.059,17.059,18.101,14.454,14.454,16.224,23.599,23.599,18.694,18.694,16.519,16.519,15.339,21.365,15.727,15.634,2j,14.454,2a,14.243
MW205312,2,13.650,13.650,18.991,18.991,17.699,13.056,17.718,15.294,15.294,17.211,12.684,12.684,14.749,21.534,21.534,16.024,16.024,15.044,15.044,15.929,18.694,12.760,11.799,2v,11.799,2j,12.684
MW205313,2,13.353,13.353,19.288,19.288,15.929,14.837,17.117,14.706,14.706,18.101,12.389,12.389,14.159,21.829,21.829,16.320,16.320,15.634,15.634,13.569,17.804,14.243,12.094,2v,12.094,2j,12.389
MW205314,2,12.760,12.760,19.881,19.881,18.289,15.727,19.162,16.471,16.471,16.320,13.569,13.569,16.224,25.074,25.074,15.430,15.430,14.454,14.454,15.339,18.879,13.353,14.454,2a,12.760,2u,13.353
MW205316,2,14.610,14.610,17.219,17.219,18.831,14.935,18.874,17.799,17.799,18.212,15.260,15.260,16.558,25.497,25.497,19.156,19.156,17.857,17.857,18.212,20.130,16.234,17.208,2a,14.610,2d,14.935
MW205325,2,16.224,16.224,22.485,22.485,16.320,16.519,18.584,17.751,17.751,6.490,14.837,14.837,17.507,25.602,25.602,17.404,17.404,18.398,18.398,17.804,20.710,15.929,16.024,2i,6.490,2j,14.837
MW205326,2,17.109,17.109,22.485,22.485,16.617,16.224,18.879,16.320,16.320,6.490,17.211,17.211,17.804,23.724,23.724,17.109,17.109,19.585,19.585,18.694,20.710,18.584,16.024,2i,6.490,2v,16.024
MW205327,2,16.224,16.224,23.669,23.669,15.727,19.174,20.059,18.398,18.398,6.490,16.914,16.914,19.288,24.595,24.595,17.994,17.994,20.178,20.178,18.694,21.302,17.699,18.398,2i,6.490,2c,15.727
MW205328,2,15.634,15.634,21.006,21.006,15.727,15.044,19.469,18.343,18.343,7.670,15.134,15.134,16.617,23.625,23.625,19.174,19.174,18.398,18.398,16.320,19.527,16.224,16.617,2i,7.670,2d,15.044
MW205329,2,15.882,15.882,20.649,20.649,16.617,16.471,20.354,9.440,9.440,19.412,18.398,18.398,17.507,24.062,24.062,17.994,17.994,20.118,20.118,17.751,21.893,15.588,15.089,2f,9.440,2v,15.089
MW205330,2,15.929,15.929,22.189,22.189,16.914,13.864,18.584,10.914,10.914,18.879,18.101,18.101,18.991,25.602,25.602,20.059,20.059,18.101,18.101,19.288,21.239,17.994,16.320,2f,10.914,2d,13.864
MW205331,2,14.412,14.412,18.584,18.584,15.430,13.235,17.699,7.122,7.122,16.765,17.804,17.804,18.101,25.846,25.846,19.174,19.174,17.160,17.160,17.751,19.527,15.000,13.609,2f,7.122,2d,13.235
MW205332,2,16.765,16.765,23.009,23.009,16.024,14.118,19.764,5.015,5.015,18.529,18.101,18.101,17.211,25.312,25.312,19.174,19.174,18.991,18.991,17.456,21.302,17.647,15.680,2f,5.015,2d,14.118
MW205333,2,14.749,14.749,20.710,20.710,14.837,15.044,17.404,9.145,9.145,17.404,17.211,17.211,16.617,24.688,24.688,17.994,17.994,19.288,19.288,16.914,21.302,16.224,15.134,2f,9.145,2a,14.749
MW205334,2,18.584,18.584,21.053,21.053,16.568,18.584,20.649,10.029,10.029,21.829,19.881,19.881,19.288,26.250,26.250,20.882,20.882,18.991,18.991,20.178,22.419,20.059,16.320,2f,10.029,2v,16.320
MW205335,2,15.430,15.430,17.804,17.804,16.519,14.243,18.919,15.882,15.882,20.178,17.404,17.404,18.289,21.829,21.829,17.211,17.211,18.289,18.289,17.109,18.101,18.101,15.339,2d,14.243,2v,15.339
MW205336,2,16.814,16.814,20.414,20.414,18.101,14.159,19.469,15.727,15.727,19.174,17.507,17.507,17.211,23.494,23.494,18.584,18.584,18.694,18.694,17.507,21.893,17.994,16.320,2d,14.159,2f,15.727
MW205337,2,16.617,16.617,18.694,18.694,17.699,17.211,20.721,16.224,16.224,20.178,16.224,16.224,17.404,26.549,26.549,15.134,15.134,16.814,16.814,18.289,21.068,16.914,17.404,2m,15.134,2j,16.224
MW205338,2,14.837,14.837,19.881,19.881,19.174,16.320,19.520,15.929,15.929,18.101,15.044,15.044,16.519,24.484,24.484,15.134,15.134,14.749,14.749,16.814,18.991,13.947,14.749,2u,13.947,2q,14.749
MW205339,2,14.454,14.454,19.231,19.231,16.617,16.224,19.764,15.089,15.089,15.929,13.353,13.353,14.540,24.398,24.398,15.339,15.339,15.134,15.134,17.507,17.456,14.454,14.837,2j,13.353,2u,14.454
MW205340,2,16.224,16.224,20.710,20.710,18.398,19.469,21.829,16.024,16.024,20.059,17.507,17.507,15.727,24.699,24.699,15.929,15.929,17.507,17.507,19.585,20.710,16.814,17.507,2k,15.727,2m,15.929
MW205341,2,15.727,15.727,21.068,21.068,17.699,18.694,21.622,15.929,15.929,20.772,15.929,15.929,16.519,26.844,26.844,17.804,17.804,19.174,19.174,17.994,20.772,17.211,16.814,2f,15.929,2a,15.727
MW205342,2,14.243,14.243,21.365,21.365,17.404,16.024,20.120,15.929,15.929,16.617,14.412,14.412,15.044,23.377,23.377,13.650,13.650,16.224,16.224,15.929,20.772,14.837,16.814,2m,13.650,2a,14.243
MW205343,2,16.519,16.519,20.414,20.414,19.585,17.109,21.534,17.456,17.456,20.649,16.914,16.914,16.914,,,15.339,15.339,17.804,17.804,17.507,20.710,15.634,17.507,2m,15.339,2u,15.634
MW205344,2,12.798,12.798,18.507,18.507,16.766,16.964,18.750,15.821,15.821,17.560,14.072,14.072,15.269,24.316,24.316,14.881,14.881,16.467,16.467,15.569,18.806,14.881,15.269,2a,12.798,2j,14.072
MW205345,2,15.430,15.430,21.068,21.068,16.814,18.101,19.520,15.929,15.929,17.211,14.749,14.749,15.634,24.706,24.706,14.540,14.540,17.699,17.699,17.994,18.398,16.024,15.339,2m,14.540,2j,14.749
MW205346,2,16.234,16.234,21.854,21.854,18.543,18.182,,18.182,18.182,18.506,15.512,15.512,16.172,26.159,26.159,17.208,17.208,17.532,17.532,18.874,21.104,16.234,17.532,2j,15.512,2u,16.234
MW205347,2,17.404,17.404,21.893,21.893,19.881,18.879,22.714,18.101,18.101,20.944,16.320,16.320,17.211,25.312,25.312,15.929,15.929,16.320,16.320,17.507,20.118,17.404,17.804,2m,15.929,2q,16.320
MW205348,2,14.159,14.159,18.935,18.935,17.211,13.569,7.965,15.929,15.929,18.289,14.243,14.243,16.914,22.561,22.561,18.584,18.584,19.585,19.585,18.398,20.414,17.699,11.869,2e,7.965,2v,11.869
MW205349,2,13.864,13.864,19.822,19.822,19.881,15.634,7.375,15.634,15.634,17.994,14.837,14.837,16.024,23.881,23.881,20.649,20.649,18.991,18.991,18.101,20.944,16.667,11.573,2e,7.375,2v,11.573
MW205350,2,16.320,16.320,22.255,22.255,15.929,15.430,17.365,13.947,13.947,20.772,16.224,16.224,15.634,24.779,24.779,18.398,18.398,16.519,16.519,17.404,21.068,16.024,15.044,2f,13.947,2v,15.044
MW205351,2,14.159,14.159,22.189,22.189,16.914,13.864,18.584,12.166,12.166,16.959,17.211,17.211,16.320,24.062,24.062,18.289,18.289,17.211,17.211,17.804,21.006,17.994,13.353,2f,12.166,2v,13.353
MW205352,2,17.456,17.456,20.059,20.059,19.288,16.272,17.718,15.929,15.929,19.527,17.211,17.211,16.617,25.000,25.000,18.935,18.935,18.101,18.101,15.727,20.649,15.385,15.727,2u,15.385,2r,15.727
MW205353,2,18.289,18.289,19.822,19.822,19.881,17.109,19.174,16.864,16.864,19.469,17.507,17.507,18.991,22.523,22.523,20.354,20.354,20.178,20.178,18.398,22.485,17.109,16.914,2d,17.109,2v,16.914
MW205354,2,16.320,16.320,20.178,20.178,15.929,15.727,18.619,13.864,13.864,18.398,16.519,16.519,16.519,22.941,22.941,17.211,17.211,17.109,17.109,16.519,21.365,15.134,15.339,2f,13.864,2u,15.134
MW205355,2,17.804,17.804,22.781,22.781,18.584,16.617,20.120,14.454,14.454,18.101,14.749,14.749,14.159,24.779,24.779,18.694,18.694,17.404,17.404,17.994,21.958,16.320,17.404,2k,14.159,2f,14.454
MW205356,2,15.430,15.430,21.006,21.006,18.991,13.353,18.318,15.089,15.089,16.914,13.056,13.056,15.727,22.393,22.393,17.804,17.804,16.617,16.617,16.617,20.475,15.727,14.243,2j,13.056,2d,13.353
MW205357,2,18.991,18.991,21.068,21.068,19.469,16.914,20.120,17.059,17.059,19.288,14.159,14.159,17.994,23.894,23.894,19.585,19.585,19.174,19.174,18.289,20.772,17.507,18.879,2j,14.159,2d,16.914
MW205358,2,16.617,16.617,21.365,21.365,20.354,16.024,19.219,17.353,17.353,19.585,15.044,15.044,15.339,24.484,24.484,19.585,19.585,17.994,17.994,17.404,19.288,18.101,15.634,2j,15.044,2k,15.339
MW205359,2,16.617,16.617,21.662,21.662,19.469,15.134,18.318,16.519,16.519,19.585,15.929,15.929,17.404,23.599,23.599,20.178,20.178,19.469,19.469,19.174,22.552,18.398,15.339,2d,15.134,2v,15.339
MW205361,2,15.727,15.727,19.585,19.585,16.224,18.398,18.318,15.339,15.339,20.475,17.404,17.404,19.469,22.124,22.124,18.694,18.694,20.059,20.059,20.354,21.958,16.617,14.454,2v,14.454,2f,15.339
MW205362,2,16.024,16.024,18.694,18.694,16.814,18.101,17.718,14.159,14.159,19.585,16.519,16.519,18.289,23.009,23.009,18.101,18.101,19.764,19.764,18.289,19.881,13.905,13.569,2v,13.569,2f,14.159
MW205363,2,17.507,17.507,19.585,19.585,18.879,18.694,19.520,16.224,16.224,22.255,17.109,17.109,18.289,23.599,23.599,20.178,20.178,21.534,21.534,20.944,21.662,16.914,14.454,2v,14.454,2f,16.224
MW205364,2,16.320,16.320,18.398,18.398,16.814,18.694,17.718,15.929,15.929,20.178,15.634,15.634,17.699,23.009,23.009,20.475,20.475,20.944,20.944,18.584,21.365,16.320,15.044,2v,15.044,2j,15.634
MW205365,2,16.320,16.320,18.694,18.694,16.814,19.585,19.520,14.749,14.749,18.991,17.109,17.109,17.109,23.009,23.009,18.694,18.694,19.469,19.469,19.469,19.585,15.727,15.634,2f,14.749,2v,15.634
MW205366,2,17.507,17.507,21.958,21.958,19.764,20.475,22.289,19.706,19.706,20.475,16.519,16.519,17.404,26.254,26.254,17.507,17.507,18.584,18.584,15.044,21.068,13.650,18.289,2u,13.650,2r,15.044
MW205367,2,15.339,15.339,17.404,17.404,17.211,16.471,18.072,17.404,17.404,17.404,13.018,13.018,17.211,22.255,22.255,17.994,17.994,20.414,20.414,18.343,20.649,18.235,16.914,2j,13.018,2a,15.339
MW205368,2,16.814,16.814,19.822,19.822,16.914,16.519,20.059,15.929,15.929,16.828,17.804,17.804,13.190,22.552,22.552,20.354,20.354,17.431,17.431,17.804,19.822,17.404,16.320,2k,13.190,2f,15.929
MW205369,2,14.540,14.540,18.154,18.154,16.568,16.320,19.077,18.047,18.047,19.585,14.793,14.793,13.905,22.781,22.781,15.727,15.727,15.089,15.089,15.976,18.991,17.211,17.456,2k,13.905,2a,14.540
MW205370,2,21.846,21.846,24.629,24.629,24.260,22.462,25.672,23.669,23.669,24.036,21.302,21.302,21.598,28.107,28.107,21.958,21.958,20.923,20.923,21.302,25.223,22.849,23.373,2r,21.302,2j,21.302
MW205467,2,16.841,16.841,19.139,19.139,16.095,18.778,18.927,17.288,17.288,18.629,16.964,16.964,17.884,21.397,21.397,16.692,16.692,17.288,17.288,18.927,21.461,16.990,16.071,2c,16.095,2v,16.071
MW205468,2,17.139,17.139,20.268,20.268,17.884,18.182,19.374,17.139,17.139,19.374,16.964,16.964,17.586,22.140,22.140,17.884,17.884,18.033,18.033,18.927,21.908,16.990,16.244,2v,16.244,2u,16.990
MW205469,2,17.164,17.164,19.254,19.254,17.015,18.806,19.403,17.015,17.015,19.104,16.692,16.692,17.910,21.493,21.493,17.761,17.761,17.612,17.612,17.761,20.448,16.418,15.672,2v,15.672,2u,16.418
MW205470,2,16.480,16.480,19.840,19.840,16.640,18.400,19.169,18.080,18.080,20.160,16.613,16.613,16.613,22.720,22.720,19.360,19.360,17.920,17.920,17.280,20.767,16.773,16.480,2v,16.480,2a,16.480
MW205471,2,15.350,15.350,20.119,20.119,16.244,16.393,17.437,15.648,15.648,17.437,15.453,15.453,15.648,21.461,21.461,16.542,16.542,15.946,15.946,16.393,19.523,13.860,14.754,2u,13.860,2v,14.754
MW205472,2,17.365,17.365,19.012,19.012,16.168,18.358,19.611,18.563,18.563,18.413,16.592,16.592,16.766,21.343,21.343,16.467,16.467,17.665,17.665,18.834,20.808,17.040,16.467,2c,16.168,2v,16.467
MW205473,2,16.036,16.036,19.127,19.127,16.767,17.674,18.580,19.033,19.033,17.549,15.106,15.106,14.070,20.513,20.513,16.036,16.036,14.804,14.804,16.314,19.306,16.163,17.069,2k,14.070,2q,14.804
MW205474,2,15.797,15.797,19.523,19.523,15.946,18.033,19.970,18.480,18.480,18.033,15.499,15.499,7.601,22.653,22.653,17.288,17.288,13.264,13.264,17.437,20.417,15.350,16.244,2k,7.601,2q,13.264
MW205475,2,16.244,16.244,19.762,19.762,17.139,18.778,19.970,16.990,16.990,19.076,16.542,16.542,15.052,22.768,22.768,16.220,16.220,16.095,16.095,18.182,19.970,16.393,18.182,2k,15.052,2q,16.095
MW205476,2,14.456,14.456,18.304,18.304,16.071,16.990,17.735,16.220,16.220,16.841,13.264,13.264,14.009,22.024,22.024,15.499,15.499,14.754,14.754,16.095,17.139,15.499,16.244,2j,13.264,2k,14.009
MW205477,2,16.095,16.095,19.196,19.196,17.857,17.288,19.076,17.411,17.411,19.076,16.542,16.542,16.393,24.368,24.368,16.071,16.071,16.393,16.393,16.692,19.225,15.648,17.735,2u,15.648,2a,16.095
MW205478,2,16.220,16.220,19.048,19.048,16.692,18.182,19.225,17.735,17.735,18.629,14.732,14.732,16.393,23.065,23.065,15.923,15.923,15.774,15.774,16.692,21.013,17.437,17.586,2j,14.732,2q,15.774
MW205479,2,14.009,14.009,19.792,19.792,16.815,16.692,19.374,16.990,16.990,16.841,14.903,14.903,14.903,22.321,22.321,14.605,14.605,15.201,15.201,14.903,19.672,15.797,17.288,2a,14.009,2m,14.605
MW205480,2,18.087,18.087,19.672,19.672,16.442,14.820,19.461,10.180,10.180,19.910,18.114,18.114,17.665,24.551,24.551,18.358,18.358,16.916,16.916,17.515,20.927,17.665,16.617,2f,10.180,2d,14.820
MW205481,2,16.519,16.519,21.091,21.091,16.100,14.159,19.793,4.874,4.874,19.083,17.873,17.873,16.987,24.041,24.041,18.316,18.316,18.168,18.168,16.372,19.941,17.552,17.404,2f,4.874,2d,14.159
MW205482,2,15.797,15.797,19.465,19.465,16.692,13.264,19.225,12.966,12.966,17.804,17.437,17.437,16.542,22.206,22.206,18.182,18.182,15.201,15.201,16.095,20.238,16.990,15.797,2f,12.966,2d,13.264
MW205483,2,17.444,17.444,20.752,20.752,16.992,13.083,18.496,13.985,13.985,19.549,17.143,17.143,16.692,23.238,23.238,18.045,18.045,16.090,16.090,17.744,21.203,18.045,15.868,2d,13.083,2f,13.985
MW205484,2,17.477,17.477,19.242,19.242,17.933,14.134,20.821,16.237,16.237,18.997,17.325,17.325,17.021,21.548,21.548,17.879,17.879,17.325,17.325,15.653,19.301,16.565,17.477,2d,14.134,2r,15.653
MW205485,2,16.692,16.692,20.654,20.654,18.304,15.499,19.494,17.735,17.735,18.182,16.048,16.048,16.542,23.477,23.477,18.452,18.452,15.201,15.201,8.346,20.268,16.667,17.288,2r,8.346,2q,15.201
MW205486,2,16.766,16.766,20.597,20.597,18.087,16.467,20.628,17.814,17.814,18.563,16.766,16.766,16.916,22.388,22.388,16.891,16.891,15.719,15.719,10.030,20.210,17.066,15.868,2r,10.030,2q,15.719
MW205487,2,16.244,16.244,19.494,19.494,17.735,15.201,18.778,17.411,17.411,17.288,15.499,15.499,15.179,21.280,21.280,16.095,16.095,15.052,15.052,15.946,19.225,15.946,15.201,2q,15.052,2d,15.201
MW205488,2,16.692,16.692,21.694,21.694,16.220,17.884,18.750,16.542,16.542,16.841,14.754,14.754,13.711,22.470,22.470,17.735,17.735,15.625,15.625,16.542,20.417,15.476,15.774,2k,13.711,2j,14.754
MW205489,2,16.261,16.261,19.213,19.213,15.957,17.021,17.173,15.781,15.781,17.021,14.590,14.590,15.046,22.003,22.003,17.173,17.173,15.198,15.198,16.413,19.272,15.198,14.438,2v,14.438,2j,14.590
MW205490,2,18.871,18.871,20.417,20.417,17.979,17.735,19.970,18.601,18.601,19.672,18.425,18.425,17.735,23.994,23.994,17.884,17.884,17.735,17.735,16.990,20.119,17.139,16.692,2v,16.692,2r,16.990
MW205491,2,17.325,17.325,22.121,22.121,18.085,19.301,9.726,17.781,17.781,19.272,17.325,17.325,17.629,23.333,23.333,19.272,19.272,18.845,18.845,18.209,21.244,16.717,15.957,2e,9.726,2v,15.957
MW205492,2,16.592,16.592,16.418,16.418,6.886,16.317,19.012,17.515,17.515,16.317,15.419,15.419,15.868,21.257,21.257,15.994,15.994,17.964,17.964,17.365,19.283,17.515,16.317,2c,6.886,2j,15.419
MW205493,2,17.735,17.735,17.682,17.682,8.346,17.288,18.182,17.884,17.884,16.692,15.946,15.946,16.518,23.065,23.065,17.262,17.262,16.990,16.990,18.480,21.280,18.331,16.692,2c,8.346,2j,15.946
MW205494,2,18.127,18.127,19.608,19.608,16.944,18.154,19.365,19.940,19.940,18.580,17.398,17.398,16.767,24.206,24.206,19.184,19.184,17.095,17.095,16.616,22.542,18.513,18.154,2r,16.616,2k,16.767
MW205495,2,15.957,15.957,20.000,20.000,15.326,16.413,19.301,18.389,18.389,8.511,16.717,16.717,18.237,23.182,23.182,16.413,16.413,18.693,18.693,17.477,20.973,17.173,18.058,2i,8.511,2c,15.326
MW205496,2,16.841,16.841,20.208,20.208,16.220,17.288,18.899,16.542,16.542,8.048,17.288,17.288,16.841,22.288,22.288,15.648,15.648,18.033,18.033,17.288,19.881,17.262,16.518,2i,8.048,2m,15.648
MW205497,2,17.477,17.477,20.821,20.821,16.667,17.933,20.030,19.301,19.301,9.422,16.237,16.237,18.541,23.824,23.824,16.413,16.413,18.693,18.693,18.693,21.548,18.816,18.845,2i,9.422,2j,16.237
MW205498,2,16.244,16.244,19.316,19.316,15.179,15.350,19.374,18.006,18.006,9.240,15.350,15.350,15.774,24.405,24.405,16.244,16.244,16.841,16.841,15.797,19.940,16.692,16.518,2i,9.240,2d,15.350
MW234382,2,19.156,19.156,5.466,5.466,18.065,18.006,23.052,20.900,20.900,21.865,18.770,18.770,21.104,20.779,20.779,18.650,18.650,16.938,16.938,20.645,18.328,18.387,19.156,2b,5.466,2q,16.938
MW234383,2,20.130,20.130,6.752,6.752,20.000,20.579,22.677,21.865,21.865,22.045,18.770,18.770,21.429,20.455,20.455,19.936,19.936,18.241,18.241,21.613,19.614,20.323,21.429,2b,6.752,2q,18.241
MW234389,2,18.506,18.506,6.431,6.431,19.355,19.936,23.701,22.830,22.830,21.543,17.152,17.152,20.455,20.130,20.130,20.900,20.900,18.650,18.650,19.355,19.293,19.032,21.429,2b,6.431,2j,17.152
MW234391,2,17.857,17.857,5.145,5.145,19.032,18.971,22.078,20.579,20.579,20.900,17.799,17.799,21.753,20.130,20.130,19.293,19.293,16.720,16.720,19.355,18.006,17.742,18.831,2b,5.145,2q,16.720
MW234401,2,20.513,20.513,7.074,7.074,20.833,20.513,24.038,21.795,21.795,23.473,20.767,20.767,21.795,21.474,21.474,20.513,20.513,18.506,18.506,20.712,20.257,20.833,21.154,2b,7.074,2q,18.506
MW234402,2,19.231,19.231,4.502,4.502,17.949,19.293,23.397,20.579,20.579,21.543,17.572,17.572,21.154,19.551,19.551,19.614,19.614,17.857,17.857,20.065,18.328,18.590,20.192,2b,4.502,2c,17.949
MW234404,2,16.883,16.883,6.752,6.752,18.387,18.328,21.753,20.579,20.579,21.222,16.505,16.505,20.130,20.779,20.779,18.328,18.328,17.042,17.042,19.032,17.363,17.419,18.831,2b,6.752,2q,17.042
MZ327755,2,17.926,17.926,5.748,5.748,18.005,17.399,19.977,18.581,18.581,18.955,19.285,19.285,18.406,21.408,21.408,18.161,18.161,17.419,17.419,18.336,16.061,18.827,17.526,2b,5.748,2t,16.061
MZ327784,2,17.926,17.926,5.455,5.455,17.602,16.930,20.351,17.947,17.947,18.955,19.285,19.285,18.944,21.395,21.395,17.809,17.809,17.419,17.419,18.336,15.466,18.475,18.475,2b,5.455,2t,15.466
MZ327800,2,18.395,18.395,7.273,7.273,18.123,18.102,19.789,18.886,18.886,19.366,19.461,19.461,19.062,22.053,22.053,18.102,18.102,17.771,17.771,18.278,15.885,18.534,18.182,2b,7.273,2t,15.885
MZ356314,2,8.788,8.788,18.845,18.845,19.091,14.545,18.845,17.825,17.825,16.208,15.455,15.455,15.502,23.939,23.939,14.286,14.286,16.364,16.364,15.502,20.427,15.854,18.182,2a,8.788,2m,14.286
MZ356317,2,16.159,16.159,21.646,21.646,15.549,16.208,19.266,17.629,17.629,6.098,14.939,14.939,19.817,24.233,24.233,16.463,16.463,19.207,19.207,17.683,19.512,17.988,16.159,2i,6.098,2j,14.939
MZ356321,2,22.756,22.756,23.323,23.323,22.684,23.642,25.796,21.888,21.888,22.222,22.045,22.045,25.161,13.141,13.141,23.625,23.625,21.474,21.474,21.036,26.846,22.756,24.601,2l,13.141,2r,21.036
MZ356325,2,15.705,15.705,21.086,21.086,16.346,15.961,19.489,18.211,18.211,8.013,15.335,15.335,19.281,20.789,20.789,16.938,16.938,19.608,19.608,18.269,20.588,18.627,16.613,2i,8.013,2j,15.335
MZ356326,2,15.033,15.033,24.183,24.183,15.686,16.013,18.027,15.986,15.986,5.519,15.686,15.686,16.993,23.297,23.297,16.667,16.667,18.301,18.301,15.464,21.242,16.013,16.013,2i,5.519,2a,15.033
MZ356328,2,18.506,18.506,21.667,21.667,16.667,15.593,19.333,16.312,16.312,9.416,17.276,17.276,19.205,23.214,23.214,18.482,18.482,17.986,17.986,20.266,21.088,18.367,16.234,2i,9.416,2v,16.234
MZ356331,2,18.152,18.152,21.429,21.429,16.327,16.172,19.048,16.312,16.312,9.446,17.492,17.492,19.142,23.214,23.214,18.182,18.182,17.986,17.986,19.444,21.088,18.367,15.842,2i,9.446,2v,15.842
