Accession,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ325443,3,7.441,21.016,20.285,20.930,22.011,22.011,28.429,21.916,21.916,24.642,24.642,3a,7.441,3d,20.285
MZ325444,3,7.441,21.016,20.285,20.930,22.011,22.011,28.429,21.916,21.916,24.642,24.642,3a,7.441,3d,20.285
MZ327730,3,8.025,20.646,19.493,20.719,21.481,21.481,27.827,21.652,21.652,24.987,24.987,3a,8.025,3d,19.493
MZ327735,3,6.966,20.328,19.915,20.402,21.164,21.164,28.008,21.705,21.705,24.073,24.073,3a,6.966,3d,19.915
MZ327738,3,7.230,20.011,19.334,21.036,21.810,21.810,28.474,22.234,22.234,24.409,24.409,3a,7.230,3d,19.334
MZ327745,3,6.702,20.752,19.440,20.243,21.013,21.013,28.293,21.228,21.228,24.549,24.549,3a,6.702,3d,19.440
MZ327748,3,7.441,20.911,19.546,20.391,21.787,21.787,28.504,21.758,21.758,24.570,24.570,3a,7.441,3d,19.546
MZ327750,3,6.811,20.858,20.391,20.349,21.587,21.587,28.579,21.693,21.693,24.222,24.222,3a,6.811,3d,20.391
MZ327754,3,6.913,20.540,19.282,20.772,21.863,21.863,27.813,22.116,22.116,24.061,24.061,3a,6.913,3d,19.282
MZ327756,3,7.973,20.540,19.282,20.507,20.847,20.847,28.692,21.599,21.599,24.974,24.974,3a,7.973,3d,19.282
MZ327757,3,7.603,20.593,20.549,20.772,21.587,21.587,27.675,21.705,21.705,24.709,24.709,3a,7.603,3d,20.549
MZ327759,3,7.286,20.328,20.127,20.772,20.847,20.847,28.323,21.534,21.534,24.590,24.590,3a,7.286,3d,20.127
MZ327764,3,6.969,21.069,20.127,20.507,21.852,21.852,28.413,21.746,21.746,24.839,24.839,3a,6.969,3d,20.127
MZ327772,3,7.497,20.963,20.127,19.968,21.481,21.481,28.707,21.069,21.069,24.802,24.802,3a,7.497,3d,20.127
MZ327773,3,8.078,21.334,20.127,20.137,21.534,21.534,28.654,22.063,22.063,24.630,24.630,3a,8.078,3d,20.127
MZ327779,3,7.075,20.487,20.497,21.036,22.128,22.128,28.376,21.387,21.387,24.536,24.536,3a,7.075,3d,20.497
MZ327780,3,7.550,21.281,20.391,20.772,21.693,21.693,28.481,22.499,22.499,24.907,24.907,3a,7.550,3d,20.391
MZ327781,3,8.391,20.434,19.599,21.723,21.640,21.640,28.346,22.540,22.540,24.597,24.597,3a,8.391,3d,19.599
MZ327783,3,8.289,20.858,19.334,20.719,21.587,21.587,28.443,21.546,21.546,24.551,24.551,3a,8.289,3d,19.334
MZ327786,3,8.078,21.228,20.497,20.455,22.116,22.116,27.954,21.863,21.863,24.444,24.444,3a,8.078,3d,20.497
MZ327789,3,7.761,20.805,20.285,21.195,21.693,21.693,28.270,22.222,22.222,24.868,24.868,3a,7.761,3d,20.285
MZ327794,3,8.131,20.487,20.127,20.772,21.799,21.799,27.857,21.652,21.652,24.524,24.524,3a,8.131,3d,20.127
MZ327796,3,6.596,20.275,19.546,20.349,21.534,21.534,28.451,21.693,21.693,24.326,24.326,3a,6.596,3d,19.546
MZ327799,3,7.018,20.381,19.493,20.455,22.328,22.328,28.541,21.905,21.905,24.379,24.379,3a,7.018,3d,19.493
PQ365498,3,8.338,20.699,20.444,20.613,21.652,21.652,28.076,21.758,21.758,23.996,23.996,3a,8.338,3d,20.444
PQ365501,3,7.392,20.593,19.704,20.232,22.169,22.169,28.639,21.281,21.281,24.180,24.180,3a,7.392,3d,19.704
PQ365502,3,6.977,20.963,19.767,19.820,21.447,21.447,28.692,21.640,21.640,24.273,24.273,3a,6.977,3d,19.767
PQ365504,3,23.240,20.328,23.585,23.638,19.788,19.788,28.858,6.243,6.243,24.855,24.855,3i,6.243,3g,19.788
PQ365505,3,21.599,10.582,22.422,23.097,20.011,20.011,28.428,19.217,19.217,24.841,24.841,3b,10.582,3i,19.217
PQ365506,3,8.923,21.281,21.078,21.025,22.158,22.158,29.099,21.758,21.758,25.134,25.134,3a,8.923,3d,21.078
PQ365508,3,8.074,21.228,20.497,21.353,22.646,22.646,29.008,22.287,22.287,24.544,24.544,3a,8.074,3d,20.497
PQ365509,3,7.177,20.328,19.493,20.455,22.293,22.293,28.255,22.446,22.446,24.772,24.772,3a,7.177,3d,19.493
PQ365511,3,7.177,21.016,19.387,20.602,22.516,22.516,28.526,22.287,22.287,24.313,24.313,3a,7.177,3d,19.387
PQ365512,3,8.021,21.546,20.444,21.130,22.316,22.316,28.519,22.275,22.275,24.366,24.366,3a,8.021,3d,20.444
PQ365513,3,19.905,21.440,18.605,21.670,22.499,22.499,29.673,22.845,22.845,26.151,26.151,3d,18.605,3a,19.905
PQ365514,3,7.973,20.646,19.704,19.810,22.105,22.105,28.173,22.646,22.646,24.551,24.551,3a,7.973,3d,19.704
PQ365515,3,8.338,21.758,19.968,21.195,22.827,22.827,28.639,22.552,22.552,25.212,25.212,3a,8.338,3d,19.968
PQ365517,3,9.556,21.122,20.127,20.507,21.863,21.863,28.782,21.916,21.916,24.327,24.327,3a,9.556,3d,20.127
PQ365518,3,8.338,21.493,20.180,21.987,22.751,22.751,29.694,23.333,23.333,24.718,24.718,3a,8.338,3d,20.180
PQ365519,3,8.184,21.334,19.968,20.349,22.357,22.357,28.413,22.552,22.552,24.894,24.894,3a,8.184,3d,19.968
PQ365520,3,6.864,20.064,19.070,20.285,21.546,21.546,28.006,21.705,21.705,24.570,24.570,3a,6.864,3d,19.070
PQ365521,3,7.599,19.799,19.017,21.078,20.888,20.888,28.240,22.011,22.011,24.825,24.825,3a,7.599,3d,19.017
