Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205430,345,3,27.003,15.072,22.222,24.047,19.253,19.253,26.761,19.130,19.130,26.154,26.154,3b,15.072,3g,19.253
MW205431,357,3,28.099,12.885,24.576,25.000,20.718,20.718,27.190,20.168,20.168,24.571,24.571,3b,12.885,3i,20.168
MW205432,362,3,26.301,13.260,22.409,21.727,18.681,18.681,24.648,20.056,20.056,24.789,24.789,3b,13.260,3g,18.681
MW205433,308,3,26.000,15.584,22.260,24.138,19.863,19.863,29.677,19.014,19.014,25.091,25.091,3b,15.584,3i,19.014
MW205434,310,3,28.223,11.935,23.127,25.172,18.947,18.947,27.517,20.922,20.922,27.007,27.007,3b,11.935,3g,18.947
MW205435,576,3,26.889,26.465,24.607,27.032,25.132,25.132,,27.304,27.304,9.028,9.028,3k,9.028,3d,24.607
MZ325443,639,3,7.512,29.630,20.415,20.934,23.659,23.659,29.665,25.000,25.000,26.899,26.899,3a,7.512,3d,20.415
MZ325444,639,3,7.512,29.630,20.415,20.934,23.659,23.659,29.665,25.000,25.000,26.899,26.899,3a,7.512,3d,20.415
MZ327730,633,3,6.951,27.303,20.893,20.968,24.721,24.721,27.760,26.142,26.142,26.817,26.817,3a,6.951,3d,20.893
MZ327735,639,3,6.886,26.645,20.734,20.612,23.502,23.502,29.984,24.921,24.921,26.108,26.108,3a,6.886,3d,20.734
MZ327738,639,3,7.199,27.375,19.268,19.807,23.344,23.344,28.185,25.791,25.791,26.899,26.899,3a,7.199,3d,19.268
MZ327745,638,3,7.680,25.926,21.372,19.508,23.576,23.576,28.571,24.961,24.961,27.504,27.504,3a,7.680,3e,19.508
MZ327748,639,3,7.668,27.464,19.298,19.324,23.855,23.855,28.389,24.444,24.444,26.984,26.984,3a,7.668,3d,19.298
MZ327750,639,3,7.668,28.250,20.701,20.612,24.171,24.171,29.777,26.741,26.741,27.532,27.532,3a,7.668,3d,20.701
MZ327754,639,3,7.825,27.331,21.691,20.612,23.418,23.418,28.389,25.000,25.000,26.899,26.899,3a,7.825,3e,20.612
MZ327756,639,3,8.294,27.138,20.893,21.095,25.669,25.669,28.986,25.314,25.314,27.360,27.360,3a,8.294,3d,20.893
MZ327757,639,3,9.390,28.618,22.648,20.773,25.039,25.039,31.331,26.382,26.382,28.271,28.271,3a,9.390,3e,20.773
MZ327759,639,3,7.355,28.336,21.691,19.163,25.237,25.237,29.058,25.633,25.633,26.892,26.892,3a,7.355,3e,19.163
MZ327764,639,3,7.512,27.375,20.382,19.002,23.186,23.186,28.344,25.354,25.354,25.397,25.397,3a,7.512,3e,19.002
MZ327772,639,3,9.233,27.888,21.497,20.197,25.592,25.592,28.250,25.079,25.079,27.023,27.023,3a,9.233,3e,20.197
MZ327773,637,3,6.750,28.019,21.531,19.180,23.028,23.028,28.084,24.406,24.406,26.592,26.592,3a,6.750,3e,19.180
MZ327779,639,3,9.233,27.138,21.850,20.096,23.659,23.659,29.058,25.316,25.316,25.202,25.202,3a,9.233,3e,20.096
MZ327780,639,3,8.920,28.336,20.096,19.646,23.697,23.697,28.734,24.525,24.525,26.171,26.171,3a,8.920,3e,19.646
MZ327781,639,3,8.451,28.180,19.777,19.163,24.487,24.487,28.409,24.603,24.603,27.464,27.464,3a,8.451,3e,19.163
MZ327783,639,3,9.077,27.138,21.531,19.677,24.803,24.803,28.341,25.000,25.000,25.687,25.687,3a,9.077,3e,19.677
MZ327786,639,3,8.451,27.063,21.372,18.519,24.763,24.763,27.922,25.158,25.158,27.141,27.141,3a,8.451,3e,18.519
MZ327789,639,3,8.294,29.392,22.169,20.484,25.394,25.394,29.708,25.556,25.556,27.948,27.948,3a,8.294,3e,20.484
MZ327794,639,3,6.886,28.407,23.285,20.934,23.502,23.502,28.084,26.645,26.645,27.302,27.302,3a,6.886,3e,20.934
MZ327796,639,3,7.199,28.180,21.053,19.132,22.275,22.275,28.708,24.209,24.209,25.949,25.949,3a,7.199,3e,19.132
MZ327799,639,3,9.233,27.127,22.169,21.578,25.750,25.750,27.760,26.266,26.266,26.892,26.892,3a,9.233,3e,21.578
PQ320121,600,3,30.132,0.000,23.746,26.711,20.861,20.861,30.450,21.631,21.631,25.424,25.424,3b,0.000,3g,20.861
PQ320122,506,3,8.300,26.113,19.798,17.828,22.581,22.581,27.811,24.848,24.848,27.677,27.677,3a,8.300,3e,17.828
PQ320125,606,3,30.000,0.000,23.667,26.777,20.724,20.724,30.450,21.417,21.417,25.253,25.253,3b,0.000,3g,20.724
PQ320127,297,3,29.293,0.000,19.504,21.708,17.172,17.172,27.206,18.685,18.685,21.908,21.908,3b,0.000,3g,17.172
PQ320129,564,3,29.853,0.000,23.708,26.690,20.282,20.282,30.000,21.770,21.770,24.178,24.178,3b,0.000,3g,20.282
ON506751,546,3,9.341,26.667,20.709,20.644,22.161,22.161,28.682,26.345,26.345,28.519,28.519,3a,9.341,3d,20.709
ON506758,583,3,9.949,26.690,18.435,20.419,24.957,24.957,28.647,25.694,25.694,28.114,28.114,3a,9.949,3d,18.435
ON506762,601,3,8.819,26.422,22.203,20.914,23.143,23.143,29.623,26.846,26.846,26.587,26.587,3a,8.819,3e,20.914
ON506773,581,3,8.606,27.778,21.329,19.755,23.408,23.408,30.070,26.783,26.783,27.622,27.622,3a,8.606,3e,19.755
ON506779,606,3,8.581,28.619,21.106,20.534,24.382,24.382,28.952,27.167,27.167,27.880,27.880,3a,8.581,3e,20.534
