Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MW205243,4,4n,4,4n,4,4n,4,4n,4,4n
MW205244,1,1c,1,1c,1,1c,1,1c,1,1c
MW205245,4,4r,4,4r,4,4r,4,4r,4,4r
MW205246,4,4n,4,4n,4,4n,4,4n,4,4n
MW205247,1,1c,1,1c,1,1c,1,1c,1,1c
MW205248,1,1c,1,1c,1,1c,1,1c,1,1c
MW205249,4,4r,4,4r,4,4r,4,4r,4,4r
MW205250,4,4r,4,4r,4,4r,4,4r,4,4r
MW205251,4,4n,4,4n,4,4n,4,4n,4,4n
MW205252,6,6a,6,6a,6,6a,6,6a,6,6a
MW205253,4,4r,4,4r,4,4r,4,4r,4,4r
MW205254,1,1c,1,1c,1,1c,1,1c,1,1c
MW205255,6,6a,6,6a,6,6a,6,6a,6,6a
MW205256,4,4k,4,4k,4,4k,4,4k,4,4h
MW205257,4,4c,4,4c,4,4c,4,4c,4,4c
MW205258,4,4c,4,4c,4,4c,4,4c,4,4r
MW205259,4,4r,4,4r,4,4r,4,4r,4,4r
MW205260,4,4n,4,4n,4,4n,4,4n,4,4n
MW205261,4,4o,4,4o,4,4o,4,4o,4,4o
MW205262,2,2c,2,2c,2,2c,2,2c,2,2c
MW205263,2,2c,2,2c,2,2c,2,2c,2,2c
MW205264,6,6a,6,6a,6,6a,6,6a,6,6a
MW205265,4,4o,4,4o,4,4o,4,4o,4,4o
MW205266,4,4n,4,4n,4,4n,4,4n,4,4n
MW205267,4,4k,4,4k,4,4k,4,4k,4,4k
MW205268,4,4k,4,4k,4,4k,4,4k,4,4k
MW205269,6,6a,6,6a,6,6a,6,6a,6,6a
MW205270,5,5a,5,5a,5,5a,5,5a,5,5a
MW205271,2,2c,2,2c,2,2c,2,2c,2,2c
MW205272,4,4o,4,4o,4,4o,4,4o,4,4o
MW205273,4,4c,4,4c,4,4c,4,4c,4,4c
MW205274,4,4c,4,4c,4,4a,4,4a,4,4c
MW205275,4,4l,4,4l,4,4l,4,4l,4,4l
MW205276,4,4k,4,4k,4,4k,4,4k,4,4k
MW205277,1,1c,1,1c,1,1c,1,1c,1,1c
MW205278,1,1c,1,1c,1,1c,1,1c,1,1c
MW205279,3,3b,3,3b,3,3b,3,3b,3,3b
MW205280,4,4k,4,4k,4,4k,4,4k,4,4k
MW205281,6,6a,6,6a,6,6a,6,6a,6,6a
MW205282,2,2c,2,2c,2,2c,2,2c,2,2o
MW205283,4,4k,4,4k,4,4k,4,4k,4,4h
MW205284,3,3b,3,3b,3,3b,3,3b,3,3b
MW205285,3,3b,3,3b,3,3b,3,3b,3,3b
MW205286,3,3b,3,3b,3,3b,3,3b,3,3b
MW205287,3,3b,3,3b,3,3b,3,3b,3,3b
MW205288,3,3k,3,3k,3,3k,3,3k,3,3k
MW205289,4,4k,4,4k,4,4k,4,4k,4,4h
MW205290,4,4q,4,4q,4,4v,4,4v,4,4q
MW205291,4,4f,4,4f,4,4f,4,4f,4,4f
MW205292,3,3b,3,3b,3,3b,3,3b,3,3b
MW205293,3,3b,3,3b,3,3b,3,3b,3,3b
MW205294,4,4o,4,4o,4,4o,4,4o,4,4o
MW205295,4,4k,4,4k,4,4k,4,4k,4,4k
MW205296,4,4k,4,4k,4,4k,4,4k,4,4k
MW205297,3,3k,3,3k,3,3k,3,3k,3,3k
MW205298,1,1c,1,1c,1,1c,1,1c,1,1c
MW205299,4,4f,4,4f,4,4f,4,4f,4,4f
MW205300,2,2k,2,2k,2,2k,2,2k,2,2k
MW205301,4,4t,4,4t,4,4t,4,4t,4,4t
MW205302,4,4o,4,4o,4,4o,4,4o,4,4o
MW205303,4,4o,4,4o,4,4o,4,4o,4,4o
MW205304,4,4k,4,4k,4,4k,4,4k,4,4k
MW205305,4,4l,4,4l,4,4l,4,4l,4,
MW205306,4,4v,4,4v,4,4v,4,4v,4,4v
MW205307,4,4l,4,4l,4,4v,4,4v,4,
MW205308,2,2k,2,2k,2,2q,2,2q,2,2k
MW205309,2,2j,2,2j,2,2j,2,2j,2,
MW205310,4,4v,4,4v,4,4v,4,4v,4,4v
MW205311,2,2j,2,2j,2,2j,2,2j,2,
MW205312,2,2v,2,2v,2,2j,2,2j,2,
MW205313,2,2v,2,2v,2,2j,2,2j,2,
MW205314,2,2a,2,2a,2,2j,2,2j,2,
MW205315,4,4v,4,4v,4,4v,4,4v,4,
MW205316,2,2a,2,2a,2,2a,2,2a,2,
MW205317,1,1g,1,1g,1,1g,1,1g,1,1g
MW205318,1,1g,1,1g,1,1g,1,1g,1,1g
MW205319,1,1g,1,1g,1,1g,1,1g,1,1g
MW205320,1,1g,1,1g,1,1g,1,1g,1,1g
MW205321,1,1g,1,1g,1,1g,1,1g,1,1g
MW205322,1,1g,1,1g,1,1g,1,1g,1,1g
MW205323,1,1g,1,1g,1,1g,1,1g,1,1g
MW205324,1,1g,1,1g,1,1g,1,1g,1,1g
MW205325,2,2i,2,2i,2,2i,2,2i,2,2i
MW205326,2,2i,2,2i,2,2i,2,2i,2,2i
MW205327,2,2i,2,2i,2,2i,2,2i,2,2i
MW205328,2,2i,2,2i,2,2i,2,2i,2,2i
MW205329,2,2f,2,2f,2,2c,2,2c,2,2f
MW205330,2,2f,2,2f,2,2a,2,2a,2,2f
MW205331,2,2f,2,2f,2,2c,2,2c,2,2f
MW205332,2,2f,2,2f,2,2b,2,2b,2,2f
MW205333,2,2f,2,2f,2,2b,2,2b,2,2f
MW205334,2,2f,2,2f,2,2b,2,2b,2,2f
MW205335,2,2d,2,2d,2,2j,2,2j,2,2d
MW205336,2,2d,2,2d,2,2j,2,2j,2,2f
MW205337,2,2m,2,2m,2,2j,2,2j,2,
MW205338,2,2u,2,2u,2,2j,2,2j,2,
MW205339,2,2j,2,2j,2,2j,2,2j,2,
MW205340,2,2k,2,2k,2,2m,2,2m,2,
MW205341,2,2f,2,2f,2,2j,2,2j,2,
MW205342,2,2m,2,2m,2,2j,2,2j,2,2k
MW205343,2,2m,2,2m,2,2j,2,2j,2,
MW205344,2,2a,2,2a,2,2a,2,2a,2,
MW205345,2,2m,2,2m,2,2j,2,2j,2,
MW205346,2,2j,2,2j,2,2j,2,2j,2,
MW205347,2,2m,2,2m,2,2j,2,2j,2,
MW205348,2,2e,2,2e,2,2e,2,2e,2,2e
MW205349,2,2e,2,2e,2,2e,2,2e,2,2e
MW205350,2,2f,2,2f,2,2j,2,2j,2,2p
MW205351,2,2f,2,2f,2,2a,2,2a,2,2p
MW205352,2,2u,2,2u,2,2j,2,2j,2,
MW205353,2,2d,2,2d,2,2j,2,2j,2,
MW205354,2,2f,2,2f,2,2j,2,2j,2,
MW205355,2,2k,2,2k,2,2j,2,2j,2,
MW205356,2,2j,2,2j,2,2j,2,2j,2,
MW205357,2,2j,2,2j,2,2j,2,2j,2,
MW205358,2,2j,2,2j,2,2j,2,2j,2,
MW205359,2,2d,2,2d,2,2j,2,2j,2,
MW205360,4,4k,4,4k,4,4k,4,4k,4,4h
MW205361,2,2v,2,2v,2,2j,2,2j,2,
MW205362,2,2v,2,2v,2,2j,2,2j,2,
MW205363,2,2v,2,2v,2,2j,2,2j,2,
MW205364,2,2v,2,2v,2,2j,2,2j,2,
MW205365,2,2f,2,2f,2,2j,2,2j,2,
MW205366,2,2u,2,2u,2,2j,2,2j,2,
MW205367,2,2j,2,2j,2,2j,2,2j,2,
MW205368,2,2k,2,2k,2,2k,2,2k,2,2k
MW205369,2,2k,2,2k,2,2j,2,2j,2,
MW205370,2,2r,2,2r,2,2q,2,2q,2,
MW205371,6,6e,6,6e,6,6e,6,6e,6,6e
MW205372,6,6e,6,6e,6,6e,6,6e,6,6e
MW205373,6,6e,6,6e,6,6e,6,6e,6,6e
MW205374,1,1a,1,1a,6,6t,6,6t,6,6f
MW205375,8,8a,8,8a,6,6w,6,6w,6,
MW205467,2,2c,2,2c,2,2j,2,2j,2,
MW205468,2,2v,2,2v,2,2j,2,2j,2,
MW205469,2,2v,2,2v,2,2b,2,2b,2,
MW205470,2,2v,2,2v,2,2j,2,2j,2,
MW205471,2,2u,2,2u,2,2j,2,2j,2,
MW205472,2,2c,2,2c,2,2j,2,2j,2,
MW205473,2,2k,2,2k,2,2k,2,2k,2,
MW205474,2,2k,2,2k,2,2k,2,2k,2,2k
MW205475,2,2k,2,2k,2,2a,2,2a,2,
MW205476,2,2j,2,2j,2,2j,2,2j,2,
MW205477,2,2u,2,2u,2,2j,2,2j,2,
MW205478,2,2j,2,2j,2,2j,2,2j,2,
MW205479,2,2a,2,2a,2,2j,2,2j,2,2k
MW205480,2,2f,2,2f,2,2b,2,2b,2,2f
MW205481,2,2f,2,2f,2,2b,2,2b,2,2f
MW205482,2,2f,2,2f,2,2j,2,2j,2,2p
MW205483,2,2d,2,2d,2,2j,2,2j,2,2p
MW205484,2,2d,2,2d,2,2j,2,2j,2,2d
MW205485,2,2r,2,2r,2,2r,2,2r,2,2r
MW205486,2,2r,2,2r,2,2r,2,2r,2,2r
