Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MZ327730,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327731,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327732,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327733,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327734,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327735,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327736,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327737,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327738,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327739,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327740,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327741,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327742,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327743,1,1a,1,1a,,"unassigned_1, 1a-1b",,"unassigned_1, 1a-1b",1,1a
MZ327744,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327745,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327746,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327747,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327748,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327749,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327750,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327751,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327752,4,4d,4,4d,4,4d,4,4d,4,4d
MZ327753,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327754,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327755,2,2b,2,2b,2,2b,2,2b,2,2b
MZ327756,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327757,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327758,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327759,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327760,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327761,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327762,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327763,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327764,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327765,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327766,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327767,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327768,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327769,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327770,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327771,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327772,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327773,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327774,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327775,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327776,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327777,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327778,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327779,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327780,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327781,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327782,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327783,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327784,2,2b,2,2b,2,2b,2,2b,2,2b
MZ327785,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327786,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327787,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327788,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327789,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327790,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327791,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327792,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327793,1,1a,1,1a,1,1a,1,1a,1,1a
