name,virus,subtype,bootstrap support
MW205389,HCV,4c,85.0
MW205388,HCV,4a,72.0
MW205383,HCV,4o,100.0
MW205446,HCV,2i,100.0
MW205459,HCV,2a,57.0
MW205417,HCV,6e,100.0
MT863951,HCV,4d,100.0
MT863954,HCV,1a,100.0
MT863957,HCV,4d,100.0
MT863995,HCV,3a,100.0
MT863996,HCV,3a,100.0
MT863997,HCV,3a,100.0
MT864000,HCV,3a,100.0
MT863998,HCV,3a,100.0
MW205390,HCV,4a,100.0
MW205392,HCV,4r,100.0
MW205394,HCV,4r,100.0
MW205406,HCV,4n,100.0
MW205404,HCV,4k,100.0
MW205408,HCV,4n,100.0
MW205376,HCV,4v,100.0
MW205403,HCV,4k,100.0
MW205409,HCV,4n,100.0
MW205395,HCV,4r,100.0
MW205397,HCV,4k,70.0
MW205466,HCV,2k,100.0
MW205465,HCV,2a,83.0
MW205437,HCV,2j,68.0
MW205464,HCV,2a,100.0
MW205462,HCV,2j,100.0
MW205385,HCV,4v,78.0
MW205382,HCV,4o,100.0
MW205386,HCV,4a,88.0
MW205379,HCV,4v,57.0
MW205416,HCV,1l,64.0
MW205387,HCV,4c,71.0
MW205414,HCV,4n,100.0
MW205380,HCV,4v,65.0
MW205419,HCV,6e,100.0
MW205418,HCV,6e,100.0
MW205424,HCV,6a,100.0
MW205422,HCV,6a,100.0
MW205421,HCV,6e,100.0
MW205420,HCV,6e,100.0
MW205423,HCV,6a,100.0
MW205427,HCV,1g,99.0
MW205415,HCV,4d,61.0
MW205381,HCV,4o,100.0
MW205428,HCV,1g,100.0
MW205448,HCV,2i,79.0
MW205451,HCV,2c,100.0
MW205450,HCV,2j,94.0
MW205449,HCV,2i,100.0
MW205457,HCV,2b,58.0
MW205452,HCV,2c,100.0
MW205447,HCV,2i,97.0
MW205425,HCV,6a,100.0
MW205455,HCV,2r,100.0
MW205458,HCV,2j,68.0
MW205460,HCV,2a,89.0
MW205456,HCV,2a,100.0
MW205426,HCV,1g,100.0
MW205453,HCV,2c,100.0
MW205454,HCV,2r,94.0
MW205413,HCV,4n,100.0
MW205384,HCV,4v,33.0
MW205461,HCV,2a,77.0
MT863938,HCV,3a,100.0
MT863939,HCV,3a,100.0
MT863940,HCV,3a,100.0
MT863941,HCV,3a,100.0
MT863943,HCV,1a,100.0
MT863942,HCV,1a,100.0
MT863944,HCV,4d,100.0
MT863945,HCV,1a,100.0
MT863947,HCV,1a,100.0
MT863948,HCV,1a,100.0
MT863946,HCV,1a,100.0
MT863950,HCV,4d,100.0
MT863953,HCV,4d,100.0
MT863958,HCV,1a,100.0
MT863956,HCV,4d,100.0
MT863959,HCV,1a,100.0
MT863960,HCV,3a,100.0
MT863961,HCV,3a,100.0
MT863962,HCV,3a,100.0
MT863963,HCV,3a,100.0
MT863964,HCV,4d,100.0
MT863965,HCV,4d,100.0
MT863967,HCV,1a,100.0
MT863969,HCV,4d,100.0
MT863968,HCV,4d,100.0
MT863971,HCV,3a,100.0
MT863970,HCV,3a,100.0
MT863972,HCV,1a,100.0
MT863949,HCV,1a,100.0
MT863974,HCV,4d,100.0
MT863975,HCV,4d,100.0
MT863977,HCV,1a,100.0
MT863976,HCV,1a,100.0
MT863952,HCV,4d,100.0
MT863981,HCV,1a,100.0
MT863980,HCV,1a,100.0
MT863973,HCV,1a,100.0
MT863982,HCV,3a,100.0
MT863983,HCV,3a,100.0
MT863986,HCV,4d,100.0
MT863979,HCV,1a,100.0
MT863988,HCV,1a,100.0
MT863987,HCV,4d,100.0
MT863966,HCV,1a,100.0
MT863990,HCV,1a,100.0
MT863991,HCV,1a,100.0
MT863993,HCV,1a,100.0
MT863992,HCV,1a,100.0
MT863994,HCV,3a,100.0
MT863999,HCV,3a,100.0
MT863985,HCV,3a,100.0
MT864002,HCV,1a,100.0
MT864001,HCV,3a,100.0
MT864005,HCV,3a,100.0
MT863984,HCV,1a,100.0
MT863989,HCV,1a,100.0
MT863978,HCV,1a,100.0
MT863955,HCV,1a,100.0
MT864004,HCV,3a,100.0
MT864003,HCV,1a,100.0
MW205377,HCV,4v,100.0
MW205378,HCV,4v,100.0
MW205396,HCV,4k,36.0
MW205398,HCV,4r,92.0
