name,virus,subtype,bootstrap support
MT863883,HCV,4d,100.0
MT863885,HCV,4d,100.0
MT863900,HCV,4d,100.0
MT863901,HCV,4d,100.0
MT863905,HCV,1a,100.0
MT863878,HCV,1a,100.0
MT863906,HCV,4d,100.0
MT863914,HCV,3a,100.0
MT863918,HCV,4d,100.0
MT863919,HCV,4d,100.0
MT863920,HCV,1a,100.0
MT863921,HCV,1a,100.0
MT863923,HCV,1a,100.0
MT863887,HCV,1a,100.0
MT863870,HCV,3a,100.0
MT863873,HCV,3a,100.0
MT863872,HCV,3a,100.0
MT863874,HCV,1a,100.0
MT863875,HCV,1a,100.0
MT863876,HCV,1a,100.0
MT863879,HCV,1a,100.0
MT863880,HCV,1a,100.0
MT863881,HCV,1a,100.0
MT863871,HCV,3a,100.0
MT863882,HCV,4d,100.0
MT863884,HCV,4d,100.0
MT863888,HCV,4d,100.0
MT863889,HCV,4d,100.0
MT863891,HCV,1a,100.0
MT863890,HCV,1a,100.0
MT863892,HCV,3a,100.0
MT863894,HCV,3a,100.0
MT863895,HCV,3a,100.0
MT863893,HCV,3a,100.0
MT863897,HCV,4d,100.0
MT863896,HCV,4d,100.0
MT863898,HCV,1a,100.0
MT863899,HCV,1a,100.0
MT863886,HCV,1a,100.0
MT863907,HCV,4d,100.0
MT863877,HCV,1a,100.0
MT863908,HCV,1a,100.0
MT863910,HCV,1a,100.0
MT863912,HCV,1a,100.0
MT863911,HCV,1a,100.0
MT863913,HCV,1a,100.0
MT863916,HCV,1a,100.0
MT863915,HCV,3a,100.0
MT863917,HCV,1a,100.0
MT863924,HCV,1a,100.0
MT863925,HCV,1a,100.0
MT863904,HCV,1a,100.0
MT863929,HCV,3a,100.0
MT863931,HCV,3a,100.0
MT863930,HCV,3a,100.0
MT863903,HCV,3a,100.0
MT863932,HCV,3a,100.0
MT863902,HCV,3a,100.0
MT863933,HCV,3a,100.0
MT863909,HCV,1a,100.0
MT863935,HCV,1a,100.0
MT863937,HCV,3a,100.0
MT863927,HCV,3a,100.0
MT863922,HCV,1a,100.0
MT863926,HCV,3a,100.0
MT863936,HCV,3a,100.0
MT863934,HCV,1a,100.0
MT863928,HCV,3a,100.0
MG738828,HCV,1a,100.0
MG738827,HCV,1a,100.0
MG738829,HCV,1a,100.0
MG738832,HCV,1a,100.0
MG738830,HCV,1a,100.0
MG738833,HCV,1a,100.0
MG738834,HCV,1a,100.0
