Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA,FullyCover
MW205243,4,4n,236-321,
MW205244,1,1c,226-321,
MW205245,4,4r,226-321,
MW205246,4,4n,226-321,
MW205247,1,1c,226-321,
MW205248,1,1c,226-321,
MW205249,4,4r,226-321,
MW205250,4,4r,226-321,
MW205251,4,4n,226-321,
MW205252,6,6a,226-321,
MW205253,4,4r,226-321,
MW205254,1,1c,226-321,
MW205255,6,6a,226-321,
MW205256,4,4k,226-321,
MW205257,4,4c,226-321,
MW205258,4,4c,226-321,
MW205259,4,4r,226-321,
MW205260,4,4n,226-321,
MW205261,4,4o,226-321,
MW205262,2,2c,226-321,
MW205263,2,2c,226-321,
MW205264,6,6a,226-321,
MW205265,4,4o,226-321,
MW205266,4,4n,226-321,
MW205267,4,4k,226-321,
MW205268,4,4k,226-321,
MW205269,6,6a,226-321,
MW205270,5,5a,226-321,
MW205271,2,2c,226-321,
MW205272,4,4o,226-321,
MW205273,4,4c,226-321,
MW205274,4,4c,226-321,
MW205275,4,4l,226-321,
MW205276,4,4k,226-321,
MW205277,1,1c,226-321,
MW205278,1,1c,226-321,
MW205279,3,3b,226-321,
MW205280,4,4k,226-321,
MW205281,6,6a,228-321,
MW205282,2,2c,226-321,
MW205283,4,4k,226-321,
MW205284,3,3b,226-321,
MW205285,3,3b,226-321,
MW205286,3,3b,226-321,
MW205287,3,3b,226-321,
MW205288,3,3k,226-321,
MW205289,4,4k,226-321,
MW205290,4,4q,226-321,
MW205291,4,4f,226-321,
MW205292,3,3b,226-321,
MW205293,3,3b,226-321,
MW205294,4,4o,226-321,
MW205295,4,4k,226-321,
MW205296,4,4k,226-321,
MW205297,3,3k,226-321,
MW205298,1,1c,226-321,
MW205299,4,4f,226-321,
MW205300,2,2k,226-321,
MW205301,4,4t,226-321,
MW205302,4,4o,226-321,
MW205303,4,4o,226-321,
MW205304,4,4k,249-321,
MW205305,4,4l,226-321,
MW205306,4,4v,226-321,
MW205307,4,4l,226-321,
MW205308,2,2k,226-321,
MW205309,2,2j,226-321,
MW205310,4,4v,226-321,
MW205311,2,2j,226-321,
MW205312,2,2v,226-321,
MW205313,2,2v,226-321,
MW205314,2,2a,226-321,
MW205315,4,4v,226-321,
MW205316,2,2a,228-321,
MW205317,1,1g,226-321,
MW205318,1,1g,226-321,
MW205319,1,1g,226-321,
MW205320,1,1g,226-321,
MW205321,1,1g,241-321,
MW205322,1,1g,232-321,
MW205323,1,1g,226-321,
MW205324,1,1g,226-321,
MW205325,2,2i,226-321,
MW205326,2,2i,226-321,
MW205327,2,2i,226-321,
MW205328,2,2i,226-321,
MW205329,2,2f,226-321,
MW205330,2,2f,226-321,
MW205331,2,2f,226-321,
MW205332,2,2f,226-321,
MW205333,2,2f,226-321,
MW205334,2,2f,226-321,
MW205335,2,2d,226-321,
MW205336,2,2d,226-321,
MW205337,2,2m,226-321,
MW205338,2,2u,226-321,
MW205339,2,2j,226-321,
MW205340,2,2k,226-321,
MW205341,2,2f,226-321,
MW205342,2,2m,226-321,
MW205343,2,2m,226-321,
MW205344,2,2a,227-321,
MW205345,2,2m,226-321,
MW205346,2,2j,228-321,
MW205347,2,2m,226-321,
MW205348,2,2e,226-321,
MW205349,2,2e,226-321,
MW205350,2,2f,226-321,
MW205351,2,2f,226-321,
MW205352,2,2u,226-321,
MW205353,2,2d,226-321,
MW205354,2,2f,226-321,
MW205355,2,2k,226-321,
MW205356,2,2j,226-321,
MW205357,2,2j,226-321,
MW205358,2,2j,226-321,
MW205359,2,2d,226-321,
MW205360,4,4k,226-321,
MW205361,2,2v,226-321,
MW205362,2,2v,226-321,
MW205363,2,2v,226-321,
MW205364,2,2v,226-321,
MW205365,2,2f,226-321,
MW205366,2,2u,226-321,
MW205367,2,2j,226-321,
MW205368,2,2k,226-321,
MW205369,2,2k,226-321,
MW205370,2,2r,226-321,
MW205371,6,6e,226-321,
MW205372,6,6e,226-321,
MW205373,6,6e,226-321,
MW205374,1,1a,226-321,
MW205375,8,8a,254-321,
MW205376,,,,
MW205377,,,,
MW205378,,,,
MW205379,,,,
MW205380,,,,
MW205381,,,,
MW205382,,,,
MW205383,,,,
MW205384,,,,
MW205385,,,,
MW205386,,,,
MW205387,,,,
MW205388,,,,
MW205389,,,,
MW205390,,,,
MW205391,,,,
MW205392,,,,
MW205393,,,,
MW205394,,,,
MW205395,,,,
MW205396,,,,
MW205397,,,,
MW205398,,,,
MW205399,,,,
MW205400,,,,
MW205401,,,,
MW205402,,,,
MW205403,,,,
MW205404,,,,
MW205405,,,,
MW205406,,,,
MW205407,,,,
MW205408,,,,
MW205409,,,,
MW205410,,,,
MW205411,,,,
MW205412,,,,
MW205413,,,,
MW205414,,,,
MW205415,,,,
MW205416,,,,
MW205417,,,,
MW205418,,,,
MW205419,,,,
MW205420,,,,
MW205421,,,,
MW205422,,,,
MW205423,,,,
MW205424,,,,
MW205425,,,,
MW205426,,,,
MW205427,,,,
MW205428,,,,
MW205429,,,,
MW205430,,,,
MW205431,,,,
MW205432,,,,
MW205433,,,,
MW205434,,,,
MW205435,,,,
MW205436,,,,
MW205437,,,,
MW205438,,,,
MW205439,,,,
MW205440,,,,
MW205441,,,,
MW205442,,,,
MW205443,,,,
MW205444,,,,
MW205445,,,,
MW205446,,,,
MW205447,,,,
MW205448,,,,
MW205449,,,,
MW205450,,,,
MW205451,,,,
MW205452,,,,
MW205453,,,,
MW205454,,,,
MW205455,,,,
MW205456,,,,
MW205457,,,,
MW205458,,,,
MW205459,,,,
MW205460,,,,
MW205461,,,,
MW205462,,,,
MW205463,,,,
MW205464,,,,
MW205465,,,,
MW205466,,,,
MW205467,2,2c,150-321,Yes
MW205468,2,2v,150-321,Yes
MW205469,2,2v,150-321,Yes
MW205470,2,2v,150-321,Yes
MW205471,2,2u,150-321,Yes
MW205472,2,2c,150-321,Yes
MW205473,2,2k,150-321,Yes
MW205474,2,2k,150-321,Yes
MW205475,2,2k,150-321,Yes
MW205476,2,2j,150-321,Yes
MW205477,2,2u,150-321,Yes
MW205478,2,2j,150-321,Yes
MW205479,2,2a,150-321,Yes
MW205480,2,2f,150-321,Yes
MW205481,2,2f,150-321,Yes
MW205482,2,2f,150-321,Yes
MW205483,2,2d,150-321,Yes
MW205484,2,2d,150-321,Yes
MW205485,2,2r,150-321,Yes
MW205486,2,2r,150-321,Yes
MW205487,2,2q,150-321,Yes
MW205488,2,2k,150-321,Yes
MW205489,2,2v,150-321,Yes
MW205490,2,2v,150-321,Yes
MW205491,2,2e,150-321,Yes
MW205492,2,2c,150-321,Yes
MW205493,2,2c,150-321,Yes
MW205494,2,2r,150-321,Yes
MW205495,2,2i,150-321,Yes
MW205496,2,2i,150-321,Yes
MW205497,2,2i,150-321,Yes
MW205498,2,2i,150-321,Yes
MW205499,3,3b,150-321,Yes
MW205500,3,3b,150-321,Yes
MW205501,3,3b,150-321,Yes
MW205502,3,3b,150-321,Yes
MW205503,3,3b,150-321,Yes
MW205504,3,3b,150-321,Yes
MW205505,3,3b,150-321,Yes
MW205506,3,3b,150-321,Yes
MW205507,3,3b,150-321,Yes
MW221786,4,4d,234-321,
MW221787,3,3a,234-321,
MW221788,3,3a,234-321,
MW221789,3,3a,234-321,
MW221790,3,3a,234-321,
MW221791,1,1a,234-321,
MW221792,3,3a,234-321,
MW221793,3,3a,234-321,
MW221794,3,3a,234-321,
MW221795,3,3a,234-321,
MW221796,3,3a,234-321,
MW221797,3,3a,234-321,
MW221798,4,4d,234-321,
MW221799,4,4a,235-321,
MW221800,4,4a,235-321,
MW221801,3,3a,234-321,
MW221802,3,3a,234-321,
MW221803,3,3a,234-321,
MW221804,3,3a,234-321,
MW221805,3,3a,234-321,
MW221806,3,3a,234-321,
MW221807,1,1a,234-321,
MW221808,3,3a,234-321,
MW221809,4,4d,234-321,
MW221810,3,3a,234-321,
MW221811,3,3a,234-321,
MW221812,3,3a,234-321,
MW221813,3,3a,234-321,
MW221814,1,1a,234-321,
MW221815,1,1a,234-321,
MW221816,3,3a,234-321,
MW221817,4,4a,235-321,
MW221818,4,4d,234-321,
MW221819,3,3a,234-321,
MW221820,1,1b,236-321,
MW221821,3,3a,234-321,
MW234382,2,2b,218-321,
MW234383,2,2b,218-321,
MW234384,3,3a,219-321,
