Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover
MW205243,,,,,,
MW205244,,,,,,
MW205245,,,,,,
MW205246,,,,,,
MW205247,,,,,,
MW205248,,,,,,
MW205249,,,,,,
MW205250,,,,,,
MW205251,,,,,,
MW205252,,,,,,
MW205253,,,,,,
MW205254,,,,,,
MW205255,,,,,,
MW205256,,,,,,
MW205257,,,,,,
MW205258,,,,,,
MW205259,,,,,,
MW205260,,,,,,
MW205261,,,,,,
MW205262,,,,,,
MW205263,,,,,,
MW205264,,,,,,
MW205265,,,,,,
MW205266,,,,,,
MW205267,,,,,,
MW205268,,,,,,
MW205269,,,,,,
MW205270,,,,,,
MW205271,,,,,,
MW205272,,,,,,
MW205273,,,,,,
MW205274,,,,,,
MW205275,,,,,,
MW205276,,,,,,
MW205277,,,,,,
MW205278,,,,,,
MW205279,,,,,,
MW205280,,,,,,
MW205281,,,,,,
MW205282,,,,,,
MW205283,,,,,,
MW205284,,,,,,
MW205285,,,,,,
MW205286,,,,,,
MW205287,,,,,,
MW205288,,,,,,
MW205289,,,,,,
MW205290,,,,,,
MW205291,,,,,,
MW205292,,,,,,
MW205293,,,,,,
MW205294,,,,,,
MW205295,,,,,,
MW205296,,,,,,
MW205297,,,,,,
MW205298,,,,,,
MW205299,,,,,,
MW205300,,,,,,
MW205301,,,,,,
MW205302,,,,,,
MW205303,,,,,,
MW205304,,,,,,
MW205305,,,,,,
MW205306,,,,,,
MW205307,,,,,,
MW205308,,,,,,
MW205309,,,,,,
MW205310,,,,,,
MW205311,,,,,,
MW205312,,,,,,
MW205313,,,,,,
MW205314,,,,,,
MW205315,,,,,,
MW205316,,,,,,
MW205317,,,,,,
MW205318,,,,,,
MW205319,,,,,,
MW205320,,,,,,
MW205321,,,,,,
MW205322,,,,,,
MW205323,,,,,,
MW205324,,,,,,
MW205325,,,,,,
MW205326,,,,,,
MW205327,,,,,,
MW205328,,,,,,
MW205329,,,,,,
MW205330,,,,,,
MW205331,,,,,,
MW205332,,,,,,
MW205333,,,,,,
MW205334,,,,,,
MW205335,,,,,,
MW205336,,,,,,
MW205337,,,,,,
MW205338,,,,,,
MW205339,,,,,,
MW205340,,,,,,
MW205341,,,,,,
MW205342,,,,,,
MW205343,,,,,,
MW205344,,,,,,
MW205345,,,,,,
MW205346,,,,,,
MW205347,,,,,,
MW205348,,,,,,
MW205349,,,,,,
MW205350,,,,,,
MW205351,,,,,,
MW205352,,,,,,
MW205353,,,,,,
MW205354,,,,,,
MW205355,,,,,,
MW205356,,,,,,
MW205357,,,,,,
MW205358,,,,,,
MW205359,,,,,,
MW205360,,,,,,
MW205361,,,,,,
MW205362,,,,,,
MW205363,,,,,,
MW205364,,,,,,
MW205365,,,,,,
MW205366,,,,,,
MW205367,,,,,,
MW205368,,,,,,
MW205369,,,,,,
MW205370,,,,,,
MW205371,,,,,,
MW205372,,,,,,
MW205373,,,,,,
MW205374,,,,,,
MW205375,,,,,,
MW205376,4,78.898,4v,87.671,26-93,Yes
MW205377,4,79.817,4v,93.399,26-93,Yes
MW205378,4,78.914,4q,84.772,26-93,Yes
MW205379,4,80.581,4l,85.950,26-93,Yes
MW205380,4,78.378,4p,82.979,26-93,Yes
MW205381,4,81.561,4o,91.282,26-93,Yes
MW205382,4,80.265,4o,91.935,26-93,Yes
MW205383,4,81.536,4o,90.127,26-93,Yes
MW205384,4,78.746,4v,83.887,26-93,Yes
MW205385,4,77.863,4v,83.140,26-93,Yes
MW205386,4,83.832,4c,91.405,26-93,Yes
MW205387,4,85.094,4c,93.008,26-93,Yes
MW205388,4,84.938,4c,91.626,26-93,Yes
MW205389,4,82.126,4c,88.870,31-93,
MW205390,4,84.370,4c,88.188,26-93,Yes
MW205391,4,77.844,4t,89.739,26-93,Yes
MW205392,4,75.804,4r,89.701,26-93,Yes
MW205393,4,77.458,4r,90.625,26-93,Yes
MW205394,4,75.771,4r,88.599,26-93,Yes
MW205395,4,75.477,4r,90.554,26-93,Yes
MW205396,4,77.083,4g,80.937,26-93,Yes
MW205397,4,77.266,4l,82.119,26-93,Yes
MW205398,4,76.054,4v,81.803,26-93,Yes
MW205399,4,76.712,4k,89.372,26-93,Yes
MW205400,4,75.923,4k,86.473,26-93,Yes
MW205401,4,75.190,4k,90.660,26-93,Yes
MW205402,4,74.926,4k,89.694,26-93,Yes
MW205403,4,76.702,4k,91.790,26-93,Yes
MW205404,4,77.519,4k,90.640,26-93,Yes
MW205405,4,77.419,4f,90.720,26-93,Yes
MW205406,4,80.258,4n,92.077,26-93,Yes
MW205407,4,80.477,4n,93.103,26-93,Yes
MW205408,4,80.901,4n,92.934,26-93,Yes
MW205409,4,79.872,4n,90.618,26-93,Yes
MW205410,4,79.176,4n,90.733,26-93,Yes
MW205411,4,81.046,4n,91.810,26-93,Yes
MW205412,4,82.646,4n,90.948,26-93,Yes
MW205413,4,80.911,4n,91.164,26-93,Yes
MW205414,4,78.970,4n,89.293,26-93,Yes
MW205415,6,71.329,6f,76.868,26-93,Yes
MW205416,4,70.024,4d,73.381,26-93,Yes
MW205417,6,76.443,6b,76.443,26-93,Yes
MW205418,6,72.356,6e,91.346,26-93,Yes
MW205419,6,72.530,6e,92.736,26-93,Yes
MW205420,6,69.903,6e,90.534,26-93,Yes
MW205421,6,72.222,6e,85.437,26-93,Yes
MW205422,6,75.232,6a,93.538,26-93,Yes
MW205423,6,76.757,6a,93.750,26-93,Yes
MW205424,6,74.405,6a,92.560,26-93,Yes
MW205425,6,77.419,6a,95.342,32-93,
MW205426,1,79.302,1g,92.326,26-93,Yes
MW205427,1,79.817,1g,92.202,26-93,Yes
MW205428,1,80.275,1g,92.202,26-93,Yes
MW205429,1,76.279,1g,89.535,26-93,Yes
MW205430,3,74.174,3b,85.185,26-93,Yes
