Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover
MW205243,,,,,,
MW205244,,,,,,
MW205245,,,,,,
MW205246,,,,,,
MW205247,,,,,,
MW205248,,,,,,
MW205249,,,,,,
MW205250,,,,,,
MW205251,,,,,,
MW205252,,,,,,
MW205253,,,,,,
MW205254,,,,,,
MW205255,,,,,,
MW205256,,,,,,
MW205257,,,,,,
MW205258,,,,,,
MW205259,,,,,,
MW205260,,,,,,
MW205261,,,,,,
MW205262,,,,,,
MW205263,,,,,,
MW205264,,,,,,
MW205265,,,,,,
MW205266,,,,,,
MW205267,,,,,,
MW205268,,,,,,
MW205269,,,,,,
MW205270,,,,,,
MW205271,,,,,,
MW205272,,,,,,
MW205273,,,,,,
MW205274,,,,,,
MW205275,,,,,,
MW205276,,,,,,
MW205277,,,,,,
MW205278,,,,,,
MW205279,,,,,,
MW205280,,,,,,
MW205281,,,,,,
MW205282,,,,,,
MW205283,,,,,,
MW205284,,,,,,
MW205285,,,,,,
MW205286,,,,,,
MW205287,,,,,,
MW205288,,,,,,
MW205289,,,,,,
MW205290,,,,,,
MW205291,,,,,,
MW205292,,,,,,
MW205293,,,,,,
MW205294,,,,,,
MW205295,,,,,,
MW205296,,,,,,
MW205297,,,,,,
MW205298,,,,,,
MW205299,,,,,,
MW205300,,,,,,
MW205301,,,,,,
MW205302,,,,,,
MW205303,,,,,,
MW205304,,,,,,
MW205305,,,,,,
MW205306,,,,,,
MW205307,,,,,,
MW205308,,,,,,
MW205309,,,,,,
MW205310,,,,,,
MW205311,,,,,,
MW205312,,,,,,
MW205313,,,,,,
MW205314,,,,,,
MW205315,,,,,,
MW205316,,,,,,
MW205317,,,,,,
MW205318,,,,,,
MW205319,,,,,,
MW205320,,,,,,
MW205321,,,,,,
MW205322,,,,,,
MW205323,,,,,,
MW205324,,,,,,
MW205325,,,,,,
MW205326,,,,,,
MW205327,,,,,,
MW205328,,,,,,
MW205329,,,,,,
MW205330,,,,,,
MW205331,,,,,,
MW205332,,,,,,
MW205333,,,,,,
MW205334,,,,,,
MW205335,,,,,,
MW205336,,,,,,
MW205337,,,,,,
MW205338,,,,,,
MW205339,,,,,,
MW205340,,,,,,
MW205341,,,,,,
MW205342,,,,,,
MW205343,,,,,,
MW205344,,,,,,
MW205345,,,,,,
MW205346,,,,,,
MW205347,,,,,,
MW205348,,,,,,
MW205349,,,,,,
MW205350,,,,,,
MW205351,,,,,,
MW205352,,,,,,
MW205353,,,,,,
MW205354,,,,,,
MW205355,,,,,,
MW205356,,,,,,
MW205357,,,,,,
MW205358,,,,,,
MW205359,,,,,,
MW205360,,,,,,
MW205361,,,,,,
MW205362,,,,,,
MW205363,,,,,,
MW205364,,,,,,
MW205365,,,,,,
MW205366,,,,,,
MW205367,,,,,,
MW205368,,,,,,
MW205369,,,,,,
MW205370,,,,,,
MW205371,,,,,,
MW205372,,,,,,
MW205373,,,,,,
MW205374,,,,,,
MW205375,,,,,,
MW205376,,,,,,
MW205377,,,,,,
MW205378,,,,,,
MW205379,,,,,,
MW205380,,,,,,
MW205381,,,,,,
MW205382,,,,,,
MW205383,,,,,,
MW205384,,,,,,
MW205385,,,,,,
MW205386,,,,,,
MW205387,,,,,,
MW205388,,,,,,
MW205389,,,,,,
MW205390,,,,,,
MW205391,,,,,,
MW205392,,,,,,
MW205393,,,,,,
MW205394,,,,,,
MW205395,,,,,,
MW205396,,,,,,
MW205397,,,,,,
MW205398,,,,,,
MW205399,,,,,,
MW205400,,,,,,
MW205401,,,,,,
MW205402,,,,,,
MW205403,,,,,,
MW205404,,,,,,
MW205405,,,,,,
MW205406,,,,,,
MW205407,,,,,,
MW205408,,,,,,
MW205409,,,,,,
MW205410,,,,,,
MW205411,,,,,,
MW205412,,,,,,
MW205413,,,,,,
MW205414,,,,,,
MW205415,,,,,,
MW205416,,,,,,
MW205417,,,,,,
MW205418,,,,,,
MW205419,,,,,,
MW205420,,,,,,
MW205421,,,,,,
MW205422,,,,,,
MW205423,,,,,,
MW205424,,,,,,
MW205425,,,,,,
MW205426,,,,,,
MW205427,,,,,,
MW205428,,,,,,
MW205429,,,,,,
MW205430,,,,,,
MW205431,,,,,,
MW205432,,,,,,
MW205433,,,,,,
MW205434,,,,,,
MW205435,,,,,,
MW205436,,,,,,
MW205437,,,,,,
MW205438,,,,,,
MW205439,,,,,,
MW205440,,,,,,
MW205441,,,,,,
MW205442,,,,,,
MW205443,,,,,,
MW205444,,,,,,
MW205445,,,,,,
MW205446,,,,,,
MW205447,,,,,,
MW205448,,,,,,
MW205449,,,,,,
MW205450,,,,,,
MW205451,,,,,,
MW205452,,,,,,
MW205453,,,,,,
MW205454,,,,,,
MW205455,,,,,,
MW205456,,,,,,
MW205457,,,,,,
MW205458,,,,,,
MW205459,,,,,,
MW205460,,,,,,
MW205461,,,,,,
MW205462,,,,,,
MW205463,,,,,,
MW205464,,,,,,
MW205465,,,,,,
MW205466,,,,,,
MW205467,,,,,,
MW205468,,,,,,
MW205469,,,,,,
MW205470,,,,,,
MW205471,,,,,,
MW205472,,,,,,
MW205473,,,,,,
MW205474,,,,,,
MW205475,,,,,,
MW205476,,,,,,
MW205477,,,,,,
MW205478,,,,,,
MW205479,,,,,,
MW205480,,,,,,
MW205481,,,,,,
MW205482,,,,,,
MW205483,,,,,,
MW205484,,,,,,
MW205485,,,,,,
MW205486,,,,,,
MW205487,,,,,,
MW205488,,,,,,
MW205489,,,,,,
MW205490,,,,,,
MW205491,,,,,,
MW205492,,,,,,
MW205493,,,,,,
MW205494,,,,,,
MW205495,,,,,,
MW205496,,,,,,
MW205497,,,,,,
MW205498,,,,,,
MW205499,,,,,,
MW205500,,,,,,
MW205501,,,,,,
MW205502,,,,,,
MW205503,,,,,,
MW205504,,,,,,
MW205505,,,,,,
