name,virus,subtype,bootstrap support
MW205263,HCV,2c,100.0
MW205243,HCV,4n,100.0
MW205245,HCV,4r,100.0
MW205244,HCV,1c,100.0
MW205246,HCV,4n,100.0
MW205247,HCV,1c,100.0
MW205294,HCV,4o,100.0
MW205299,HCV,4f,100.0
MW205319,HCV,1g,100.0
MW205318,HCV,1g,100.0
MW205295,HCV,4k,100.0
MW205322,HCV,1g,88.0
MW205358,HCV,2j,100.0
MW205347,HCV,2j,100.0
MW205313,HCV,2j,100.0
MW205359,HCV,2j,99.0
MW205360,HCV,4k,97.0
MW205351,HCV,2a,60.0
MW205314,HCV,2j,99.0
MW205290,HCV,4v,90.0
MW205354,HCV,2j,87.0
MW205361,HCV,2j,69.0
MW205389,HCV,4c,85.0
MW205388,HCV,4a,72.0
MW205383,HCV,4o,100.0
MW205446,HCV,2i,100.0
MW205459,HCV,2a,57.0
MW205481,HCV,2b,77.0
MW205483,HCV,2j,67.0
MW205417,HCV,6e,100.0
MW234399,HCV,3a,100.0
MW205475,HCV,2a,58.0
MW205503,HCV,3b,100.0
MZ356314,HCV,2a,100.0
MW205495,HCV,2i,100.0
MW307936,HCV,4o,100.0
MW234403,HCV,3b,100.0
MZ356317,HCV,2i,100.0
MW234406,HCV,3a,100.0
MZ356318,HCV,1b,100.0
MZ356319,HCV,1b,100.0
MZ356322,HCV,3a,100.0
MZ356321,HCV,2c,48.0
MW205504,HCV,3b,100.0
PP583888,HCV,4f,100.0
PP583889,HCV,1e,100.0
PP583890,HCV,4m,49.0
PP583891,HCV,2j,85.0
PP583887,HCV,1b,73.0
PP583920,HCV,4v,47.0
PP583922,HCV,1e,100.0
PP583940,HCV,4f,100.0
PP583943,HCV,4f,100.0
PP583966,HCV,1e,100.0
PP583967,HCV,4f,100.0
PP583948,HCV,2j,61.0
PP583987,HCV,1l,100.0
PP584010,HCV,1l,100.0
PP584007,HCV,1l,100.0
PP584011,HCV,4f,100.0
PP584013,HCV,4f,100.0
PP583974,HCV,4l,67.0
PP584014,HCV,1e,100.0
PQ212855,HCV,1a,100.0
PQ212860,HCV,1a,100.0
ON055299,HCV,1a,100.0
PP584012,HCV,4l,39.0
ON055298,HCV,4d,100.0
PQ320123,HCV,1a,100.0
ON055300,HCV,1a,100.0
ON055301,HCV,3a,100.0
ON055303,HCV,1a,100.0
PQ320127,HCV,3b,100.0
ON055302,HCV,1a,100.0
PQ320125,HCV,3b,100.0
ON055297,HCV,1a,100.0
ON055307,HCV,1a,100.0
ON055308,HCV,1a,100.0
ON055309,HCV,1a,100.0
ON055310,HCV,1a,100.0
ON055311,HCV,4d,100.0
ON540737,HCV,2b,100.0
ON055312,HCV,3a,100.0
PQ320122,HCV,3a,100.0
ON540738,HCV,2a,100.0
PQ320121,HCV,3b,100.0
ON055304,HCV,4d,100.0
ON055305,HCV,1a,100.0
ON055306,HCV,1a,100.0
ON540740,HCV,1a,100.0
ON125367,HCV,6xa,100.0
ON125368,HCV,6xa,100.0
ON125366,HCV,6xa,100.0
ON125365,HCV,6xa,100.0
PQ424141,HCV,3a,100.0
PQ424140,HCV,3a,100.0
PQ419893,HCV,1e,100.0
PQ442793,HCV,4k,100.0
PQ442795,HCV,4k,100.0
PQ424137,HCV,3a,100.0
PQ442796,HCV,4k,100.0
PQ442797,HCV,4k,100.0
PQ424143,HCV,3a,100.0
PQ442824,HCV,4k,100.0
PQ442825,HCV,4k,100.0
PQ442827,HCV,4k,100.0
PQ442828,HCV,4k,100.0
PQ442829,HCV,4k,100.0
PQ442830,HCV,4v,87.0
PQ442845,HCV,4v,91.0
PQ442839,HCV,4k,100.0
PQ442843,HCV,4v,88.0
PQ442847,HCV,4v,100.0
PQ442817,HCV,4b,88.0
PQ442837,HCV,4k,100.0
PQ442881,HCV,4k,100.0
PQ442882,HCV,4k,100.0
PQ442858,HCV,4k,100.0
PQ442883,HCV,4k,100.0
PQ442899,HCV,4r,100.0
PQ442900,HCV,4r,100.0
PQ442909,HCV,4k,100.0
PQ442913,HCV,4k,100.0
PQ442929,HCV,4r,100.0
PQ442933,HCV,4v,100.0
PQ442930,HCV,4r,100.0
MT863883,HCV,4d,100.0
MT863885,HCV,4d,100.0
MT863900,HCV,4d,100.0
MT863901,HCV,4d,100.0
MT863905,HCV,1a,100.0
MT863878,HCV,1a,100.0
MT863906,HCV,4d,100.0
MT863914,HCV,3a,100.0
MT863918,HCV,4d,100.0
PQ442822,HCV,4k,100.0
MT863919,HCV,4d,100.0
MT863920,HCV,1a,100.0
MT863921,HCV,1a,100.0
MT863923,HCV,1a,100.0
MT863951,HCV,4d,100.0
MT863887,HCV,1a,100.0
