Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype7aDistance,Subtype7bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MT633132,1510,7,28.675,20.066,7b,20.066,7a,28.675
MT633133,1338,7,32.585,24.813,7b,24.813,7a,32.585
MT633134,715,7,26.367,13.706,7b,13.706,7a,26.367
MK438076,304,7,31.250,29.775,7a,31.250,7b,29.775
MK438240,294,7,30.952,,7a,30.952,,
MK438400,268,7,27.985,31.156,7a,27.985,7b,31.156
MK438626,296,7,29.392,31.687,7a,29.392,7b,31.687
MK438853,294,7,30.272,32.673,7a,30.272,7b,32.673
MK439147,294,7,32.993,,7a,32.993,,
MK439177,269,7,29.740,,7a,29.740,,
MK439365,286,7,28.671,31.188,7a,28.671,7b,31.188
MG453347,335,7,27.974,18.507,7b,18.507,7a,27.974
MG454456,310,7,28.387,,7a,28.387,,
MH192281,324,7,27.778,,7a,27.778,,
MH298133,324,7,28.523,29.321,7b,29.321,7a,28.523
MH298134,304,7,28.618,26.667,7a,28.618,7b,26.667
MH298138,323,7,28.115,28.793,7b,28.793,7a,28.115
MH298141,305,7,27.213,25.385,7a,27.213,7b,25.385
MH298142,314,7,28.344,29.880,7a,28.344,7b,29.880
MH298145,313,7,30.671,,7a,30.671,,
MH298152,327,7,27.124,26.911,7b,26.911,7a,27.124
MH298153,326,7,29.043,29.755,7b,29.755,7a,29.043
MH298156,306,7,27.778,31.498,7a,27.778,7b,31.498
MH298164,279,7,27.508,26.882,7b,26.882,7a,27.508
MH298184,321,7,26.948,27.726,7b,27.726,7a,26.948
MH298186,317,7,27.129,26.360,7a,27.129,7b,26.360
MH940291,9370,7,19.456,29.058,7a,19.456,7b,29.058
MH940292,336,7,29.217,12.202,7b,12.202,7a,29.217
D17494,298,7,27.852,30.804,7a,27.852,7b,30.804
DQ155526,298,7,27.517,30.198,7a,27.517,7b,30.198
DQ155551,297,7,27.946,32.308,7a,27.946,7b,32.308
EF108306,9443,7,0.000,29.140,7a,0.000,7b,29.140
EF116201,324,7,27.707,12.963,7b,12.963,7a,27.707
EF175837,146,7,23.973,30.556,7a,23.973,7b,30.556
EU127994,313,7,27.476,28.736,7a,27.476,7b,28.736
AB027608,296,7,30.068,,7a,30.068,,
AY434115,340,7,0.294,30.915,7a,0.294,7b,30.915
HE580377,305,7,28.197,,7a,28.197,,
HE580380,293,7,30.375,,7a,30.375,,
HM172593,383,7,29.243,34.204,7a,29.243,7b,34.204
HM172597,386,7,29.534,30.137,7a,29.534,7b,30.137
HM348899,207,7,31.884,,7a,31.884,,
HM348900,207,7,31.401,,7a,31.401,,
HM348901,207,7,31.401,,7a,31.401,,
HM348902,207,7,31.884,,7a,31.884,,
HM348903,207,7,31.401,,7a,31.401,,
HM348904,207,7,31.401,,7a,31.401,,
HM348905,207,7,31.401,,7a,31.401,,
HM348906,207,7,31.401,,7a,31.401,,
HM348907,207,7,31.401,,7a,31.401,,
HM348908,206,7,31.553,,7a,31.553,,
HM348909,207,7,31.401,,7a,31.401,,
HM348910,207,7,31.401,,7a,31.401,,
HM348911,207,7,31.401,,7a,31.401,,
HM348912,207,7,31.884,,7a,31.884,,
HM348913,207,7,31.401,,7a,31.401,,
HM348914,207,7,31.401,,7a,31.401,,
HM348915,207,7,31.401,,7a,31.401,,
HM348916,207,7,31.401,,7a,31.401,,
HM348917,207,7,31.401,,7a,31.401,,
HM348918,207,7,31.401,,7a,31.401,,
HM348919,207,7,31.884,,7a,31.884,,
HM348920,207,7,31.401,,7a,31.401,,
HM348921,207,7,32.367,,7a,32.367,,
HM348922,207,7,31.401,,7a,31.401,,
HM348923,207,7,31.401,,7a,31.401,,
HM348924,207,7,31.401,,7a,31.401,,
HM348925,207,7,31.884,,7a,31.884,,
HM348926,194,7,31.443,,7a,31.443,,
HM348927,207,7,31.401,,7a,31.401,,
HM348928,207,7,31.401,,7a,31.401,,
HM348929,207,7,31.401,,7a,31.401,,
HM348930,207,7,31.884,,7a,31.884,,
HM348931,207,7,31.401,,7a,31.401,,
HM348932,207,7,31.401,,7a,31.401,,
HM348933,207,7,31.401,,7a,31.401,,
HM348934,207,7,31.401,,7a,31.401,,
HM348935,207,7,31.401,,7a,31.401,,
HM348936,207,7,31.401,,7a,31.401,,
HM348937,206,7,31.553,,7a,31.553,,
HM348938,207,7,31.401,,7a,31.401,,
HM348939,207,7,31.401,,7a,31.401,,
