Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MW205243,4,84.000,275,4n,92.058,277,2746-2837,
MW205244,1,82.891,339,1c,96.460,339,2759-2855,
MW205245,4,84.366,339,4r,93.805,339,2736-2848,
MW205246,4,83.432,338,4n,91.445,339,2736-2848,
MW205247,1,83.481,339,1c,95.575,339,2759-2855,
MW205248,1,82.301,339,1c,95.280,339,2759-2855,
MW205249,4,82.891,339,4r,94.100,339,2736-2848,
MW205250,4,82.891,339,4r,94.100,339,2736-2848,
MW205251,4,81.657,338,4n,89.676,339,2736-2848,
MW205252,6,81.308,321,6a,94.690,339,2768-2855,
MW205253,4,84.366,339,4r,92.920,339,2736-2848,
MW205254,1,83.481,339,1c,94.395,339,2759-2855,
MW205255,6,80.625,320,6a,93.805,339,2768-2855,
MW205256,4,79.941,339,4k,87.316,339,2736-2848,
MW205257,4,88.496,339,4c,95.280,339,2736-2848,
MW205258,4,88.496,339,4c,94.690,339,2736-2848,
MW205259,4,84.661,339,4r,93.510,339,2736-2848,
MW205260,4,82.544,338,4n,91.150,339,2736-2848,
MW205261,4,79.290,338,4o,92.308,338,2736-2848,
MW205262,2,83.383,337,2c,94.100,339,2781-2855,
MW205263,2,83.680,337,2c,92.625,339,2781-2855,
MW205264,6,81.875,320,6a,94.395,339,2768-2855,
MW205265,4,82.006,339,4o,92.035,339,2736-2848,
MW205266,4,81.657,338,4n,90.855,339,2736-2848,
MW205267,4,83.186,339,4k,92.920,339,2736-2848,
MW205268,4,82.891,339,4k,93.510,339,2736-2848,
MW205269,6,79.688,320,6a,93.805,339,2768-2855,
MW205270,5,93.510,339,5a,92.920,339,2742-2854,
MW205271,2,81.899,337,2c,92.625,339,2781-2855,
MW205272,4,82.596,339,4o,92.625,339,2736-2848,
MW205273,4,88.201,339,4c,95.280,339,2736-2848,
MW205274,4,89.676,339,4c,93.215,339,2736-2848,
MW205275,4,82.596,339,4l,91.740,339,2736-2848,
MW205276,4,80.712,337,4k,93.472,337,2736-2848,
MW205277,1,82.006,339,1c,93.805,339,2759-2855,
MW205278,1,81.416,339,1c,94.100,339,2759-2855,
MW205279,3,76.991,339,3b,92.625,339,2769-2855,
MW205280,4,82.596,339,4k,92.625,339,2736-2848,
MW205281,6,81.494,308,6a,93.831,308,2770-2855,
MW205282,2,82.789,337,2c,92.920,339,2781-2855,
MW205283,4,82.596,339,4k,87.611,339,2736-2848,
MW205284,3,79.056,339,3b,89.381,339,2769-2855,
MW205285,3,79.056,339,3b,89.381,339,2769-2855,
MW205286,3,78.761,339,3b,89.676,339,2769-2855,
