Accession,AssignedGenotype,Subtype2aDistance,Subtype2aDistance,Subtype2bDistance,Subtype2bDistance,Subtype2cDistance,Subtype2dDistance,Subtype2eDistance,Subtype2fDistance,Subtype2fDistance,Subtype2iDistance,Subtype2jDistance,Subtype2jDistance,Subtype2kDistance,Subtype2lDistance,Subtype2lDistance,Subtype2mDistance,Subtype2mDistance,Subtype2qDistance,Subtype2qDistance,Subtype2rDistance,Subtype2tDistance,Subtype2uDistance,Subtype2vDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205262,2,15.727,15.727,18.991,18.991,5.900,18.398,18.018,14.749,14.749,14.837,15.044,15.044,15.044,23.304,23.304,17.507,17.507,18.879,18.879,19.174,19.881,17.507,14.454,2c,5.900,2v,14.454
MW205263,2,15.727,15.727,18.991,18.991,7.375,19.288,18.919,15.634,15.634,16.617,15.044,15.044,15.929,24.189,24.189,17.804,17.804,19.469,19.469,17.994,19.881,18.694,14.454,2c,7.375,2v,14.454
MW205271,2,16.320,16.320,17.804,17.804,7.375,17.211,17.718,15.430,15.430,16.024,14.749,14.749,15.929,20.882,20.882,18.101,18.101,19.764,19.764,20.059,19.881,18.694,14.159,2c,7.375,2v,14.159
MW205282,2,17.211,17.211,17.211,17.211,7.080,16.024,18.919,15.634,15.634,14.837,16.224,16.224,16.519,22.124,22.124,16.617,16.617,17.699,17.699,19.764,18.101,19.288,14.159,2c,7.080,2v,14.159
MW205300,2,16.519,16.519,20.414,20.414,17.857,18.289,21.622,18.584,18.584,20.059,15.774,15.774,8.929,25.076,25.076,19.469,19.469,16.369,16.369,17.857,21.302,17.404,18.452,2k,8.929,2j,15.774
MW205308,2,14.243,14.243,21.068,21.068,17.994,15.430,20.120,17.699,17.699,18.991,14.159,14.159,11.504,24.779,24.779,14.837,14.837,12.094,12.094,15.339,18.694,15.430,16.814,2k,11.504,2q,12.094
MW205309,2,14.159,14.159,20.414,20.414,16.617,14.159,19.764,17.699,17.699,16.519,13.056,13.056,14.837,22.523,22.523,14.749,14.749,15.727,15.727,16.914,20.710,16.814,16.914,2j,13.056,2d,14.159
MW205311,2,14.243,14.243,19.585,19.585,15.634,18.398,19.820,17.059,17.059,18.101,14.454,14.454,16.224,23.599,23.599,18.694,18.694,16.519,16.519,15.339,21.365,15.727,15.634,2j,14.454,2a,14.243
MW205312,2,13.650,13.650,18.991,18.991,17.699,13.056,17.718,15.294,15.294,17.211,12.684,12.684,14.749,21.534,21.534,16.024,16.024,15.044,15.044,15.929,18.694,12.760,11.799,2v,11.799,2j,12.684
MW205313,2,13.353,13.353,19.288,19.288,15.929,14.837,17.117,14.706,14.706,18.101,12.389,12.389,14.159,21.829,21.829,16.320,16.320,15.634,15.634,13.569,17.804,14.243,12.094,2v,12.094,2j,12.389
MW205314,2,12.760,12.760,19.881,19.881,18.289,15.727,19.162,16.471,16.471,16.320,13.569,13.569,16.224,25.074,25.074,15.430,15.430,14.454,14.454,15.339,18.879,13.353,14.454,2a,12.760,2u,13.353
MW205316,2,14.610,14.610,17.219,17.219,18.831,14.935,18.874,17.799,17.799,18.212,15.260,15.260,16.558,25.497,25.497,19.156,19.156,17.857,17.857,18.212,20.130,16.234,17.208,2a,14.610,2d,14.935
MW205325,2,16.224,16.224,22.485,22.485,16.320,16.519,18.584,17.751,17.751,6.490,14.837,14.837,17.507,25.602,25.602,17.404,17.404,18.398,18.398,17.804,20.710,15.929,16.024,2i,6.490,2j,14.837
MW205326,2,17.109,17.109,22.485,22.485,16.617,16.224,18.879,16.320,16.320,6.490,17.211,17.211,17.804,23.724,23.724,17.109,17.109,19.585,19.585,18.694,20.710,18.584,16.024,2i,6.490,2v,16.024
MW205327,2,16.224,16.224,23.669,23.669,15.727,19.174,20.059,18.398,18.398,6.490,16.914,16.914,19.288,24.595,24.595,17.994,17.994,20.178,20.178,18.694,21.302,17.699,18.398,2i,6.490,2c,15.727
MW205328,2,15.634,15.634,21.006,21.006,15.727,15.044,19.469,18.343,18.343,7.670,15.134,15.134,16.617,23.625,23.625,19.174,19.174,18.398,18.398,16.320,19.527,16.224,16.617,2i,7.670,2d,15.044
MW205329,2,15.882,15.882,20.649,20.649,16.617,16.471,20.354,9.440,9.440,19.412,18.398,18.398,17.507,24.062,24.062,17.994,17.994,20.118,20.118,17.751,21.893,15.588,15.089,2f,9.440,2v,15.089
MW205330,2,15.929,15.929,22.189,22.189,16.914,13.864,18.584,10.914,10.914,18.879,18.101,18.101,18.991,25.602,25.602,20.059,20.059,18.101,18.101,19.288,21.239,17.994,16.320,2f,10.914,2d,13.864
MW205331,2,14.412,14.412,18.584,18.584,15.430,13.235,17.699,7.122,7.122,16.765,17.804,17.804,18.101,25.846,25.846,19.174,19.174,17.160,17.160,17.751,19.527,15.000,13.609,2f,7.122,2d,13.235
MW205332,2,16.765,16.765,23.009,23.009,16.024,14.118,19.764,5.015,5.015,18.529,18.101,18.101,17.211,25.312,25.312,19.174,19.174,18.991,18.991,17.456,21.302,17.647,15.680,2f,5.015,2d,14.118
MW205333,2,14.749,14.749,20.710,20.710,14.837,15.044,17.404,9.145,9.145,17.404,17.211,17.211,16.617,24.688,24.688,17.994,17.994,19.288,19.288,16.914,21.302,16.224,15.134,2f,9.145,2a,14.749
MW205334,2,18.584,18.584,21.053,21.053,16.568,18.584,20.649,10.029,10.029,21.829,19.881,19.881,19.288,26.250,26.250,20.882,20.882,18.991,18.991,20.178,22.419,20.059,16.320,2f,10.029,2v,16.320
MW205335,2,15.430,15.430,17.804,17.804,16.519,14.243,18.919,15.882,15.882,20.178,17.404,17.404,18.289,21.829,21.829,17.211,17.211,18.289,18.289,17.109,18.101,18.101,15.339,2d,14.243,2v,15.339
MW205336,2,16.814,16.814,20.414,20.414,18.101,14.159,19.469,15.727,15.727,19.174,17.507,17.507,17.211,23.494,23.494,18.584,18.584,18.694,18.694,17.507,21.893,17.994,16.320,2d,14.159,2f,15.727
MW205337,2,16.617,16.617,18.694,18.694,17.699,17.211,20.721,16.224,16.224,20.178,16.224,16.224,17.404,26.549,26.549,15.134,15.134,16.814,16.814,18.289,21.068,16.914,17.404,2m,15.134,2j,16.224
MW205338,2,14.837,14.837,19.881,19.881,19.174,16.320,19.520,15.929,15.929,18.101,15.044,15.044,16.519,24.484,24.484,15.134,15.134,14.749,14.749,16.814,18.991,13.947,14.749,2u,13.947,2q,14.749
MW205339,2,14.454,14.454,19.231,19.231,16.617,16.224,19.764,15.089,15.089,15.929,13.353,13.353,14.540,24.398,24.398,15.339,15.339,15.134,15.134,17.507,17.456,14.454,14.837,2j,13.353,2u,14.454
MW205340,2,16.224,16.224,20.710,20.710,18.398,19.469,21.829,16.024,16.024,20.059,17.507,17.507,15.727,24.699,24.699,15.929,15.929,17.507,17.507,19.585,20.710,16.814,17.507,2k,15.727,2m,15.929
MW205341,2,15.727,15.727,21.068,21.068,17.699,18.694,21.622,15.929,15.929,20.772,15.929,15.929,16.519,26.844,26.844,17.804,17.804,19.174,19.174,17.994,20.772,17.211,16.814,2f,15.929,2a,15.727
MW205342,2,14.243,14.243,21.365,21.365,17.404,16.024,20.120,15.929,15.929,16.617,14.412,14.412,15.044,23.377,23.377,13.650,13.650,16.224,16.224,15.929,20.772,14.837,16.814,2m,13.650,2a,14.243
MW205343,2,16.519,16.519,20.414,20.414,19.585,17.109,21.534,17.456,17.456,20.649,16.914,16.914,16.914,,,15.339,15.339,17.804,17.804,17.507,20.710,15.634,17.507,2m,15.339,2u,15.634
MW205344,2,12.798,12.798,18.507,18.507,16.766,16.964,18.750,15.821,15.821,17.560,14.072,14.072,15.269,24.316,24.316,14.881,14.881,16.467,16.467,15.569,18.806,14.881,15.269,2a,12.798,2j,14.072
MW205345,2,15.430,15.430,21.068,21.068,16.814,18.101,19.520,15.929,15.929,17.211,14.749,14.749,15.634,24.706,24.706,14.540,14.540,17.699,17.699,17.994,18.398,16.024,15.339,2m,14.540,2j,14.749
MW205346,2,16.234,16.234,21.854,21.854,18.543,18.182,,18.182,18.182,18.506,15.512,15.512,16.172,26.159,26.159,17.208,17.208,17.532,17.532,18.874,21.104,16.234,17.532,2j,15.512,2u,16.234
MW205347,2,17.404,17.404,21.893,21.893,19.881,18.879,22.714,18.101,18.101,20.944,16.320,16.320,17.211,25.312,25.312,15.929,15.929,16.320,16.320,17.507,20.118,17.404,17.804,2m,15.929,2q,16.320
MW205348,2,14.159,14.159,18.935,18.935,17.211,13.569,7.965,15.929,15.929,18.289,14.243,14.243,16.914,22.561,22.561,18.584,18.584,19.585,19.585,18.398,20.414,17.699,11.869,2e,7.965,2v,11.869
MW205349,2,13.864,13.864,19.822,19.822,19.881,15.634,7.375,15.634,15.634,17.994,14.837,14.837,16.024,23.881,23.881,20.649,20.649,18.991,18.991,18.101,20.944,16.667,11.573,2e,7.375,2v,11.573
MW205350,2,16.320,16.320,22.255,22.255,15.929,15.430,17.365,13.947,13.947,20.772,16.224,16.224,15.634,24.779,24.779,18.398,18.398,16.519,16.519,17.404,21.068,16.024,15.044,2f,13.947,2v,15.044
MW205351,2,14.159,14.159,22.189,22.189,16.914,13.864,18.584,12.166,12.166,16.959,17.211,17.211,16.320,24.062,24.062,18.289,18.289,17.211,17.211,17.804,21.006,17.994,13.353,2f,12.166,2v,13.353
MW205352,2,17.456,17.456,20.059,20.059,19.288,16.272,17.718,15.929,15.929,19.527,17.211,17.211,16.617,25.000,25.000,18.935,18.935,18.101,18.101,15.727,20.649,15.385,15.727,2u,15.385,2r,15.727
MW205353,2,18.289,18.289,19.822,19.822,19.881,17.109,19.174,16.864,16.864,19.469,17.507,17.507,18.991,22.523,22.523,20.354,20.354,20.178,20.178,18.398,22.485,17.109,16.914,2d,17.109,2v,16.914
MW205354,2,16.320,16.320,20.178,20.178,15.929,15.727,18.619,13.864,13.864,18.398,16.519,16.519,16.519,22.941,22.941,17.211,17.211,17.109,17.109,16.519,21.365,15.134,15.339,2f,13.864,2u,15.134
MW205355,2,17.804,17.804,22.781,22.781,18.584,16.617,20.120,14.454,14.454,18.101,14.749,14.749,14.159,24.779,24.779,18.694,18.694,17.404,17.404,17.994,21.958,16.320,17.404,2k,14.159,2f,14.454
MW205356,2,15.430,15.430,21.006,21.006,18.991,13.353,18.318,15.089,15.089,16.914,13.056,13.056,15.727,22.393,22.393,17.804,17.804,16.617,16.617,16.617,20.475,15.727,14.243,2j,13.056,2d,13.353
MW205357,2,18.991,18.991,21.068,21.068,19.469,16.914,20.120,17.059,17.059,19.288,14.159,14.159,17.994,23.894,23.894,19.585,19.585,19.174,19.174,18.289,20.772,17.507,18.879,2j,14.159,2d,16.914
MW205358,2,16.617,16.617,21.365,21.365,20.354,16.024,19.219,17.353,17.353,19.585,15.044,15.044,15.339,24.484,24.484,19.585,19.585,17.994,17.994,17.404,19.288,18.101,15.634,2j,15.044,2k,15.339
MW205359,2,16.617,16.617,21.662,21.662,19.469,15.134,18.318,16.519,16.519,19.585,15.929,15.929,17.404,23.599,23.599,20.178,20.178,19.469,19.469,19.174,22.552,18.398,15.339,2d,15.134,2v,15.339
MW205361,2,15.727,15.727,19.585,19.585,16.224,18.398,18.318,15.339,15.339,20.475,17.404,17.404,19.469,22.124,22.124,18.694,18.694,20.059,20.059,20.354,21.958,16.617,14.454,2v,14.454,2f,15.339
MW205362,2,16.024,16.024,18.694,18.694,16.814,18.101,17.718,14.159,14.159,19.585,16.519,16.519,18.289,23.009,23.009,18.101,18.101,19.764,19.764,18.289,19.881,13.905,13.569,2v,13.569,2f,14.159
MW205363,2,17.507,17.507,19.585,19.585,18.879,18.694,19.520,16.224,16.224,22.255,17.109,17.109,18.289,23.599,23.599,20.178,20.178,21.534,21.534,20.944,21.662,16.914,14.454,2v,14.454,2f,16.224
MW205364,2,16.320,16.320,18.398,18.398,16.814,18.694,17.718,15.929,15.929,20.178,15.634,15.634,17.699,23.009,23.009,20.475,20.475,20.944,20.944,18.584,21.365,16.320,15.044,2v,15.044,2j,15.634
MW205365,2,16.320,16.320,18.694,18.694,16.814,19.585,19.520,14.749,14.749,18.991,17.109,17.109,17.109,23.009,23.009,18.694,18.694,19.469,19.469,19.469,19.585,15.727,15.634,2f,14.749,2v,15.634
MW205366,2,17.507,17.507,21.958,21.958,19.764,20.475,22.289,19.706,19.706,20.475,16.519,16.519,17.404,26.254,26.254,17.507,17.507,18.584,18.584,15.044,21.068,13.650,18.289,2u,13.650,2r,15.044
MW205367,2,15.339,15.339,17.404,17.404,17.211,16.471,18.072,17.404,17.404,17.404,13.018,13.018,17.211,22.255,22.255,17.994,17.994,20.414,20.414,18.343,20.649,18.235,16.914,2j,13.018,2a,15.339
MW205368,2,16.814,16.814,19.822,19.822,16.914,16.519,20.059,15.929,15.929,16.828,17.804,17.804,13.190,22.552,22.552,20.354,20.354,17.431,17.431,17.804,19.822,17.404,16.320,2k,13.190,2f,15.929
MW205369,2,14.540,14.540,18.154,18.154,16.568,16.320,19.077,18.047,18.047,19.585,14.793,14.793,13.905,22.781,22.781,15.727,15.727,15.089,15.089,15.976,18.991,17.211,17.456,2k,13.905,2a,14.540
MW205370,2,21.846,21.846,24.629,24.629,24.260,22.462,25.672,23.669,23.669,24.036,21.302,21.302,21.598,28.107,28.107,21.958,21.958,20.923,20.923,21.302,25.223,22.849,23.373,2r,21.302,2j,21.302
MW205436,2,17.523,17.523,22.188,22.188,22.961,18.541,18.845,18.731,18.731,15.408,17.021,17.021,20.938,27.726,27.726,22.492,22.492,18.012,18.012,19.149,24.620,15.805,17.629,2i,15.408,2u,15.805
MW205437,2,18.284,18.284,22.348,22.348,22.573,17.817,18.510,18.510,18.510,16.253,18.510,18.510,23.251,27.934,27.934,22.897,22.897,21.205,21.205,20.993,25.612,18.080,16.927,2i,16.253,2v,16.927
MW205438,2,16.918,16.918,20.669,20.669,19.940,17.325,17.933,16.012,16.012,15.408,17.629,17.629,20.938,26.875,26.875,21.250,21.250,16.149,16.149,17.629,22.492,16.413,17.325,2i,15.408,2f,16.012
MW205439,2,20.133,20.133,21.018,21.018,22.124,19.248,18.363,17.920,17.920,17.699,20.133,20.133,23.009,28.194,28.194,23.230,23.230,21.076,21.076,20.354,24.336,18.409,17.478,2v,17.478,2i,17.699
MW205440,2,16.616,16.616,20.061,20.061,22.356,17.933,19.757,19.033,19.033,17.221,20.061,20.061,21.562,25.625,25.625,21.581,21.581,17.391,17.391,17.933,24.924,16.413,17.933,2u,16.413,2a,16.616
MW205441,2,20.217,20.217,23.362,23.362,20.435,18.777,18.996,19.130,19.130,16.486,20.044,20.044,23.644,28.228,28.228,21.909,21.909,19.957,19.957,18.655,25.328,17.570,18.559,2i,16.486,2u,17.570
MW205442,2,20.773,20.773,25.182,25.182,26.150,20.244,20.732,21.707,21.707,22.738,22.384,22.384,24.757,27.792,27.792,21.622,21.622,21.951,21.951,23.544,25.301,20.976,21.411,2d,20.244,2e,20.732
MW205443,2,20.920,20.920,25.287,25.287,23.094,19.955,19.283,20.179,20.179,22.022,20.721,20.721,27.416,27.540,27.540,20.471,20.471,20.794,20.794,20.674,25.446,21.219,17.937,2v,17.937,2e,19.283
MW205444,2,17.151,17.151,23.055,23.055,23.256,20.235,9.827,16.129,16.129,18.182,18.156,18.156,22.543,26.744,26.744,21.676,21.676,19.477,19.477,19.477,21.902,17.151,20.231,2e,9.827,2f,16.129
MW205445,2,19.390,19.390,23.362,23.362,23.529,19.651,21.522,21.258,21.258,19.214,19.826,19.826,25.272,28.478,28.478,21.786,21.786,18.954,18.954,20.915,24.236,16.776,24.891,2u,16.776,2q,18.954
MW205446,2,18.588,18.588,22.664,22.664,21.412,19.204,16.547,18.735,18.735,8.625,18.588,18.588,24.390,28.103,28.103,21.176,21.176,18.824,18.824,17.290,25.412,17.606,22.014,2i,8.625,2e,16.547
MW205447,2,14.657,14.657,20.525,20.525,21.040,17.021,17.391,17.647,17.647,8.057,17.422,17.422,22.277,28.504,28.504,21.190,21.190,19.385,19.385,18.009,25.238,18.009,20.331,2i,8.057,2a,14.657
MW205448,2,15.625,15.625,24.290,24.290,22.188,19.688,15.312,18.750,18.750,8.750,17.241,17.241,21.944,29.022,29.022,20.376,20.376,17.812,17.812,16.875,23.511,16.875,19.688,2i,8.750,2e,15.312
MW205449,2,19.214,19.214,22.052,22.052,20.961,20.961,16.157,17.249,17.249,11.135,18.559,18.559,23.581,28.281,28.281,21.397,21.397,19.214,19.214,17.904,23.799,18.559,21.397,2i,11.135,2e,16.157
MW205450,2,20.000,20.000,22.038,22.038,23.294,17.412,19.059,18.118,18.118,16.000,18.868,18.868,22.877,27.765,27.765,22.170,22.170,19.294,19.294,20.471,26.651,18.588,17.412,2i,16.000,2v,17.412
MW205451,2,19.406,19.406,22.069,22.069,11.644,20.776,19.590,18.950,18.950,19.406,20.690,20.690,24.598,28.146,28.146,23.218,23.218,21.233,21.233,19.406,25.747,19.635,24.886,2c,11.644,2f,18.950
MW205452,2,21.598,21.598,22.845,22.845,10.345,18.966,21.767,20.690,20.690,20.824,20.130,20.130,24.242,27.957,27.957,23.110,23.110,20.086,20.086,20.174,24.569,19.438,24.138,2c,10.345,2d,18.966
MW205453,2,22.845,22.845,21.397,21.397,12.716,22.271,21.598,20.343,20.343,21.397,21.739,21.739,26.134,29.501,29.501,24.783,24.783,21.429,21.429,18.790,24.017,19.565,24.672,2c,12.716,2r,18.790
MW205454,2,19.089,19.089,23.696,23.696,19.264,18.043,17.826,17.749,17.749,18.790,19.826,19.826,26.464,27.938,27.938,19.222,19.222,20.130,20.130,8.639,24.672,19.222,20.524,2r,8.639,2f,17.749
MW205455,2,19.913,19.913,23.210,23.210,19.222,18.438,18.438,18.359,18.359,19.355,20.346,20.346,26.998,28.540,28.540,20.390,20.390,20.824,20.824,9.287,23.861,17.570,22.126,2r,9.287,2u,17.570
MW205456,2,18.736,18.736,24.379,24.379,21.445,17.342,19.026,16.027,16.027,18.329,19.187,19.187,22.573,26.923,26.923,19.820,19.820,19.369,19.369,19.294,24.550,18.545,23.148,2f,16.027,2d,17.342
MW205457,2,18.297,18.297,19.558,19.558,21.451,17.035,23.028,17.350,17.350,18.297,19.243,19.243,22.785,27.941,27.941,19.874,19.874,16.825,16.825,16.719,24.127,18.612,21.136,2q,16.825,2r,16.719
MW205458,2,18.182,18.182,18.966,18.966,20.259,14.009,16.810,13.147,13.147,16.847,17.749,17.749,22.894,25.893,25.893,19.870,19.870,17.137,17.137,16.199,23.820,18.872,20.259,2f,13.147,2d,14.009
MW205459,2,17.888,17.888,19.612,19.612,21.983,17.026,19.397,10.776,10.776,20.302,19.697,19.697,22.678,28.602,28.602,21.598,21.598,21.258,21.258,19.222,23.605,20.607,22.629,2f,10.776,2d,17.026
MW205460,2,18.462,18.462,20.220,20.220,21.538,14.066,19.121,14.066,14.066,16.044,18.462,18.462,22.857,28.384,28.384,19.121,19.121,16.923,16.923,17.802,23.516,19.341,20.220,2f,14.066,2d,14.066
MW205461,2,18.143,18.143,21.909,21.909,22.894,18.004,19.740,17.495,17.495,17.495,19.048,19.048,23.974,28.416,28.416,21.475,21.475,18.004,18.004,19.222,25.380,18.655,21.692,2i,17.495,2f,17.495
MW205462,2,18.935,18.935,25.148,25.148,21.598,21.006,20.710,19.231,19.231,19.585,21.006,21.006,23.404,26.748,26.748,25.075,25.075,16.564,16.564,19.822,26.923,22.781,24.260,2q,16.564,2a,18.935
MW205463,2,21.528,21.528,26.777,26.777,25.768,23.404,20.813,21.647,21.647,20.853,21.510,21.510,27.231,29.481,29.481,23.272,23.272,22.120,22.120,25.592,27.488,20.968,26.179,2u,20.968,2i,20.853
MW205464,2,18.818,18.818,23.851,23.851,25.652,20.479,19.256,20.350,20.350,20.870,21.444,21.444,25.597,29.561,29.561,20.217,20.217,18.261,18.261,23.043,25.435,20.000,24.619,2q,18.261,2a,18.818
MW205465,2,20.045,20.045,25.000,25.000,26.018,21.739,20.542,21.510,21.510,18.721,21.847,21.847,23.371,30.435,30.435,22.472,22.472,19.551,19.551,23.853,26.147,20.045,24.771,2i,18.721,2q,19.551
MW205466,2,22.993,22.993,25.380,25.380,23.861,21.258,23.644,21.909,21.909,23.491,20.174,20.174,13.578,30.000,30.000,22.845,22.845,21.121,21.121,22.198,28.416,21.121,23.644,2k,13.578,2j,20.174
MW205467,2,16.841,16.841,19.139,19.139,16.095,18.778,18.927,17.288,17.288,18.629,16.964,16.964,17.884,21.397,21.397,16.692,16.692,17.288,17.288,18.927,21.461,16.990,16.071,2c,16.095,2v,16.071
MW205468,2,17.139,17.139,20.268,20.268,17.884,18.182,19.374,17.139,17.139,19.374,16.964,16.964,17.586,22.140,22.140,17.884,17.884,18.033,18.033,18.927,21.908,16.990,16.244,2v,16.244,2u,16.990
MW205469,2,17.164,17.164,19.254,19.254,17.015,18.806,19.403,17.015,17.015,19.104,16.692,16.692,17.910,21.493,21.493,17.761,17.761,17.612,17.612,17.761,20.448,16.418,15.672,2v,15.672,2u,16.418
MW205470,2,16.480,16.480,19.840,19.840,16.640,18.400,19.169,18.080,18.080,20.160,16.613,16.613,16.613,22.720,22.720,19.360,19.360,17.920,17.920,17.280,20.767,16.773,16.480,2v,16.480,2a,16.480
MW205471,2,15.350,15.350,20.119,20.119,16.244,16.393,17.437,15.648,15.648,17.437,15.453,15.453,15.648,21.461,21.461,16.542,16.542,15.946,15.946,16.393,19.523,13.860,14.754,2u,13.860,2v,14.754
MW205472,2,17.365,17.365,19.012,19.012,16.168,18.358,19.611,18.563,18.563,18.413,16.592,16.592,16.766,21.343,21.343,16.467,16.467,17.665,17.665,18.834,20.808,17.040,16.467,2c,16.168,2v,16.467
MW205473,2,16.036,16.036,19.127,19.127,16.767,17.674,18.580,19.033,19.033,17.549,15.106,15.106,14.070,20.513,20.513,16.036,16.036,14.804,14.804,16.314,19.306,16.163,17.069,2k,14.070,2q,14.804
MW205474,2,15.797,15.797,19.523,19.523,15.946,18.033,19.970,18.480,18.480,18.033,15.499,15.499,7.601,22.653,22.653,17.288,17.288,13.264,13.264,17.437,20.417,15.350,16.244,2k,7.601,2q,13.264
MW205475,2,16.244,16.244,19.762,19.762,17.139,18.778,19.970,16.990,16.990,19.076,16.542,16.542,15.052,22.768,22.768,16.220,16.220,16.095,16.095,18.182,19.970,16.393,18.182,2k,15.052,2q,16.095
MW205476,2,14.456,14.456,18.304,18.304,16.071,16.990,17.735,16.220,16.220,16.841,13.264,13.264,14.009,22.024,22.024,15.499,15.499,14.754,14.754,16.095,17.139,15.499,16.244,2j,13.264,2k,14.009
MW205477,2,16.095,16.095,19.196,19.196,17.857,17.288,19.076,17.411,17.411,19.076,16.542,16.542,16.393,24.368,24.368,16.071,16.071,16.393,16.393,16.692,19.225,15.648,17.735,2u,15.648,2a,16.095
MW205478,2,16.220,16.220,19.048,19.048,16.692,18.182,19.225,17.735,17.735,18.629,14.732,14.732,16.393,23.065,23.065,15.923,15.923,15.774,15.774,16.692,21.013,17.437,17.586,2j,14.732,2q,15.774
MW205479,2,14.009,14.009,19.792,19.792,16.815,16.692,19.374,16.990,16.990,16.841,14.903,14.903,14.903,22.321,22.321,14.605,14.605,15.201,15.201,14.903,19.672,15.797,17.288,2a,14.009,2m,14.605
MW205480,2,18.087,18.087,19.672,19.672,16.442,14.820,19.461,10.180,10.180,19.910,18.114,18.114,17.665,24.551,24.551,18.358,18.358,16.916,16.916,17.515,20.927,17.665,16.617,2f,10.180,2d,14.820
MW205481,2,16.519,16.519,21.091,21.091,16.100,14.159,19.793,4.874,4.874,19.083,17.873,17.873,16.987,24.041,24.041,18.316,18.316,18.168,18.168,16.372,19.941,17.552,17.404,2f,4.874,2d,14.159
MW205482,2,15.797,15.797,19.465,19.465,16.692,13.264,19.225,12.966,12.966,17.804,17.437,17.437,16.542,22.206,22.206,18.182,18.182,15.201,15.201,16.095,20.238,16.990,15.797,2f,12.966,2d,13.264
MW205483,2,17.444,17.444,20.752,20.752,16.992,13.083,18.496,13.985,13.985,19.549,17.143,17.143,16.692,23.238,23.238,18.045,18.045,16.090,16.090,17.744,21.203,18.045,15.868,2d,13.083,2f,13.985
MW205484,2,17.477,17.477,19.242,19.242,17.933,14.134,20.821,16.237,16.237,18.997,17.325,17.325,17.021,21.548,21.548,17.879,17.879,17.325,17.325,15.653,19.301,16.565,17.477,2d,14.134,2r,15.653
