Accession,ClosestSubtypeAlignedNT,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MW205243,277,29.412,,32.364,16.000,30.040,,,26.728,4,16.000,1,29.412
MW205245,339,29.003,31.173,25.926,15.634,31.227,,30.218,,4,15.634,1,29.003
MW205246,339,28.660,30.859,30.341,16.568,30.153,,,27.966,4,16.568,1,28.660
MW205249,339,28.916,31.563,26.337,17.109,29.167,,30.284,,4,17.109,1,28.916
MW205250,339,28.916,31.563,26.337,17.109,29.167,,30.284,,4,17.109,1,28.916
MW205251,339,29.607,29.915,32.500,18.343,26.562,,,,4,18.343,1,29.607
MW205253,339,29.193,32.164,27.273,15.634,31.429,,,,4,15.634,1,29.193
MW205256,339,30.723,30.047,32.153,20.059,30.403,,,28.870,4,20.059,1,30.723
MW205257,339,30.530,,28.446,11.504,27.953,33.478,29.245,29.016,4,11.504,3,28.446
MW205258,339,30.124,,29.532,11.504,27.843,32.245,30.841,,4,11.504,3,29.532
MW205259,339,26.647,31.169,25.541,15.339,27.778,,30.960,27.311,4,15.339,1,26.647
MW205260,339,29.448,31.804,30.218,17.456,28.646,,,27.559,4,17.456,1,29.448
MW205261,338,31.790,31.250,30.938,20.710,31.154,31.061,,,4,20.710,3,30.938
MW205265,339,30.847,32.171,30.938,17.994,27.869,,31.034,,4,17.994,3,30.938
MW205266,339,30.841,,32.099,18.343,30.488,,,,4,18.343,1,30.841
MW205267,339,30.530,,28.793,16.814,31.655,,,,4,16.814,3,28.793
MW205268,339,28.086,30.769,28.660,17.109,31.136,30.769,32.704,,4,17.109,1,28.086
MW205272,339,31.385,29.845,30.383,17.404,25.137,27.083,30.100,,4,17.404,3,30.383
MW205273,339,31.677,27.660,27.273,11.799,28.458,32.927,30.769,30.126,4,11.799,3,27.273
MW205274,339,33.125,29.482,30.792,10.324,27.273,31.197,,,4,10.324,3,30.792
MW205275,339,29.470,32.489,29.794,17.404,31.525,,,27.731,4,17.404,3,29.794
MW205276,337,29.321,,25.792,19.288,,30.769,31.095,,4,19.288,1,29.321
MW205280,339,30.205,,29.907,17.404,27.179,29.150,30.818,,4,17.404,3,29.907
