Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover
MW205243,4,84.000,4n,92.058,,
MW205244,1,82.891,1c,96.460,,
MW205245,4,84.366,4r,93.805,,
MW205246,4,83.432,4n,91.445,,
MW205247,1,83.481,1c,95.575,,
MW205248,1,82.301,1c,95.280,,
MW205249,4,82.891,4r,94.100,,
MW205250,4,82.891,4r,94.100,,
MW205251,4,81.657,4n,89.676,,
MW205252,6,81.308,6a,94.690,,
MW205253,4,84.366,4r,92.920,,
MW205254,1,83.481,1c,94.395,,
MW205255,6,80.625,6a,93.805,,
MW205256,4,79.941,4k,87.316,,
MW205257,4,88.496,4c,95.280,,
MW205258,4,88.496,4c,94.690,,
MW205259,4,84.661,4r,93.510,,
MW205260,4,82.544,4n,91.150,,
MW205261,4,79.290,4o,92.308,,
MW205262,2,83.383,2c,94.100,,
MW205263,2,83.680,2c,92.625,,
MW205264,6,81.875,6a,94.395,,
MW205265,4,82.006,4o,92.035,,
MW205266,4,81.657,4n,90.855,,
MW205267,4,83.186,4k,92.920,,
MW205268,4,82.891,4k,93.510,,
MW205269,6,79.688,6a,93.805,,
MW205270,5,93.510,5a,92.920,,
MW205271,2,81.899,2c,92.625,,
MW205272,4,82.596,4o,92.625,,
MW205273,4,88.201,4c,95.280,,
MW205274,4,89.676,4c,93.215,,
MW205275,4,82.596,4l,91.740,,
MW205276,4,80.712,4k,93.472,,
MW205277,1,82.006,1c,93.805,,
MW205278,1,81.416,1c,94.100,,
MW205279,3,76.991,3b,92.625,,
MW205280,4,82.596,4k,92.625,,
MW205281,6,81.494,6a,93.831,,
MW205282,2,82.789,2c,92.920,,
MW205283,4,82.596,4k,87.611,,
MW205284,3,79.056,3b,89.381,,
MW205285,3,79.056,3b,89.381,,
MW205286,3,78.761,3b,89.676,,
MW205287,3,79.056,3b,90.855,,
MW205288,3,75.221,3k,91.740,,
MW205289,4,80.826,4k,89.086,,
MW205290,4,81.416,4q,92.035,,
MW205291,4,81.525,4f,91.691,,
MW205292,3,78.171,3b,90.265,,
MW205293,3,78.466,3b,88.791,,
MW205294,4,83.186,4o,91.740,,
MW205295,4,83.438,4k,92.035,,
MW205296,4,82.891,4k,92.625,,
MW205297,3,73.964,3k,91.740,,
MW205298,1,81.121,1c,92.920,,
MW205299,4,81.361,4f,91.150,,
MW205300,2,81.416,2k,91.071,,
MW205301,4,83.183,4t,92.625,,
MW205302,4,83.776,4o,87.021,,
MW205303,4,83.776,4o,89.381,,
MW205304,4,81.452,4k,89.113,,
MW205305,4,84.024,4l,88.166,,
MW205306,4,84.661,4v,95.280,,
MW205307,4,83.133,4l,88.855,,
MW205308,2,84.273,2k,88.496,,
MW205309,2,84.956,2j,86.944,,
MW205310,4,82.493,4v,89.318,,
MW205311,2,84.570,2j,85.546,,
MW205312,2,85.460,2v,88.201,,
MW205313,2,86.053,2v,87.906,,
MW205314,2,85.460,2a,87.240,,
MW205315,4,84.024,4v,87.316,,
MW205316,2,84.416,2a,85.390,,
MW205317,1,84.366,1g,94.690,,
MW205318,1,84.956,1g,94.395,,
MW205319,1,84.956,1g,97.050,,
MW205320,1,85.251,1g,95.575,,
MW205321,1,83.936,1g,96.787,,
MW205322,1,84.950,1g,94.040,,
MW205323,1,83.186,1g,92.625,,
MW205324,1,83.481,1g,93.805,,
MW205325,2,83.481,2i,93.510,,
MW205326,2,82.301,2i,93.510,,
MW205327,2,81.711,2i,93.510,,
MW205328,2,83.481,2i,92.330,,
MW205329,2,84.118,2f,90.560,,
MW205330,2,82.301,2f,89.086,,
MW205331,2,84.412,2f,92.878,,
MW205332,2,83.824,2f,94.985,,
MW205333,2,85.546,2f,90.855,,
MW205334,2,80.531,2f,89.971,,
MW205335,2,82.789,2d,85.757,,
MW205336,2,82.596,2d,85.841,,
MW205337,2,82.789,2m,84.866,,
MW205338,2,84.866,2u,86.053,,
MW205339,2,85.546,2j,86.647,,
MW205340,2,83.481,2k,84.273,,
MW205341,2,82.196,2f,84.071,,
MW205342,2,83.680,2m,86.350,,
MW205343,2,82.891,2m,84.661,,
MW205344,2,86.310,2a,87.202,,
MW205345,2,84.570,2m,85.460,,
MW205346,2,83.766,2j,84.488,,
MW205347,2,81.416,2m,84.071,,
MW205348,2,82.891,2e,92.035,,
MW205349,2,84.071,2e,92.625,,
MW205350,2,82.493,2f,86.053,,
MW205351,2,84.071,2f,87.834,,
MW205352,2,82.249,2u,84.615,,
MW205353,2,82.301,2d,82.891,,
MW205354,2,82.493,2f,86.136,,
MW205355,2,82.196,2k,85.841,,
MW205356,2,83.383,2j,86.944,,
MW205357,2,79.525,2j,85.841,,
MW205358,2,82.493,2j,84.956,,
MW205359,2,81.306,2d,84.866,,
MW205360,4,80.573,4k,86.513,,
MW205361,2,82.493,2v,85.546,,
MW205362,2,82.789,2v,86.431,,
MW205363,2,81.306,2v,85.546,,
MW205364,2,82.493,2v,84.956,,
MW205365,2,83.086,2f,85.251,,
MW205366,2,82.493,2u,86.350,,
MW205367,2,82.301,2j,86.982,,
MW205368,2,82.301,2k,86.810,,
MW205369,2,85.163,2k,86.095,,
MW205370,2,77.231,2r,78.698,,
MW205371,6,72.189,6e,94.379,,
MW205372,6,71.006,6e,92.604,,
MW205373,6,70.206,6e,88.166,,
MW205374,1,70.710,1a,71.006,,
MW205375,8,73.913,8a,73.913,,
MW205376,4,78.898,4v,87.717,2111-2179,
MW205377,4,79.817,4v,93.750,2111-2179,
MW205378,4,78.914,4q,85.167,2111-2179,
MW205379,4,80.581,4l,85.559,2111-2179,
MW205380,4,78.378,4q,83.158,2111-2179,
MW205381,4,81.561,4o,91.523,2111-2179,
MW205382,4,80.265,4o,91.728,2111-2179,
