Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205244,339,1,17.404,17.404,18.289,18.289,3.540,3.540,17.404,19.469,19.469,20.059,20.059,19.585,19.585,15.964,20.354,19.469,15.044,15.044,18.935,18.935,18.289,18.289,15.339,15.339,1c,3.540,1l,15.044
MW205247,339,1,16.224,16.224,18.289,18.289,4.425,4.425,16.224,18.289,18.289,19.469,19.469,19.881,19.881,15.964,19.764,17.699,15.044,15.044,17.751,17.751,18.289,18.289,14.749,14.749,1c,4.425,1o,14.749
MW205248,339,1,17.404,17.404,19.174,19.174,4.720,4.720,17.404,19.469,19.469,20.059,20.059,20.475,20.475,18.072,20.354,18.584,15.634,15.634,18.343,18.343,18.289,18.289,16.519,16.519,1c,4.720,1l,15.634
MW205254,339,1,16.814,16.814,19.469,19.469,5.605,5.605,18.289,19.174,19.174,18.879,18.879,19.585,19.585,19.277,18.584,17.994,14.454,14.454,18.343,18.343,16.814,16.814,16.224,16.224,1c,5.605,1l,14.454
MW205277,339,1,17.699,17.699,19.469,19.469,6.195,6.195,17.109,19.174,19.174,20.354,20.354,19.585,19.585,18.072,19.469,17.994,15.929,15.929,18.047,18.047,17.109,17.109,16.519,16.519,1c,6.195,1l,15.929
MW205278,339,1,18.289,18.289,18.289,18.289,5.900,5.900,17.994,19.764,19.764,19.764,19.764,19.288,19.288,17.169,20.059,18.584,14.749,14.749,18.935,18.935,17.109,17.109,16.814,16.814,1c,5.900,1l,14.749
MW205298,339,1,18.584,18.584,20.354,20.354,7.080,7.080,17.699,20.059,20.059,21.239,21.239,19.585,19.585,18.072,19.764,19.174,15.044,15.044,18.343,18.343,19.469,19.469,16.519,16.519,1c,7.080,1l,15.044
MW205317,339,1,16.224,16.224,20.944,20.944,20.059,20.059,20.354,12.903,12.903,5.310,5.310,21.068,21.068,17.804,19.764,17.404,17.404,17.404,16.272,16.272,16.272,16.272,18.235,18.235,1g,5.310,1e,12.903
MW205318,339,1,14.749,14.749,19.288,19.288,19.469,19.469,19.764,13.274,13.274,5.605,5.605,21.365,21.365,18.694,18.289,17.699,15.929,15.929,15.680,15.680,15.976,15.976,19.174,19.174,1g,5.605,1e,13.274
MW205319,339,1,14.749,14.749,19.880,19.880,20.059,20.059,21.239,13.569,13.569,2.950,2.950,22.255,22.255,17.771,18.879,17.699,15.929,15.929,15.315,15.315,15.616,15.616,17.994,17.994,1g,2.950,1e,13.569
MW205320,339,1,14.454,14.454,21.239,21.239,19.469,19.469,21.534,12.610,12.610,4.425,4.425,22.552,22.552,19.585,18.289,18.584,15.929,15.929,16.568,16.568,16.864,16.864,18.289,18.289,1g,4.425,1e,12.610
MW205321,249,1,15.261,15.261,22.088,22.088,21.285,21.285,20.884,14.458,14.458,3.213,3.213,24.096,24.096,20.884,17.671,17.671,16.064,16.064,14.859,14.859,15.663,15.663,18.072,18.072,1g,3.213,1e,14.458
MW205322,302,1,15.385,15.385,22.074,22.074,21.523,21.523,22.408,12.583,12.583,5.960,5.960,23.000,23.000,19.667,18.333,20.333,17.550,17.550,16.207,16.207,17.219,17.219,17.881,17.881,1g,5.960,1e,12.583
MW205323,339,1,16.519,16.519,21.068,21.068,20.649,20.649,20.944,14.454,14.454,7.375,7.375,22.552,22.552,20.475,20.649,20.059,18.289,18.289,17.751,17.751,18.047,18.047,18.584,18.584,1g,7.375,1e,14.454
MW205324,339,1,16.224,16.224,21.365,21.365,21.829,21.829,22.419,14.454,14.454,6.195,6.195,22.849,22.849,19.585,20.059,18.584,16.224,16.224,17.404,17.404,15.976,15.976,19.174,19.174,1g,6.195,1e,14.454
MW205374,338,1,28.994,28.994,,,,,28.968,28.571,28.571,26.210,26.210,,,,30.588,30.473,,,28.363,28.363,29.907,29.907,30.745,30.745,1a,28.994,1m,28.363
MW205426,430,1,21.163,21.163,20.698,20.698,23.832,23.832,19.159,18.692,18.692,7.674,7.674,21.729,21.729,20.746,21.212,18.794,22.664,22.664,20.930,20.930,21.628,21.628,24.419,24.419,1g,7.674,1e,18.692
MW205427,436,1,20.183,20.183,17.931,17.931,20.882,20.882,19.585,17.281,17.281,7.798,7.798,20.046,20.046,19.355,20.920,18.307,22.248,22.248,20.785,20.785,20.872,20.872,22.402,22.402,1g,7.798,1e,17.281
MW205428,436,1,20.183,20.183,18.807,18.807,22.274,22.274,19.816,17.512,17.512,7.798,7.798,20.276,20.276,18.161,20.276,17.890,23.733,23.733,21.839,21.839,20.642,20.642,22.529,22.529,1g,7.798,1e,17.512
MW205429,430,1,23.721,23.721,21.445,21.445,25.467,25.467,23.077,21.262,21.262,10.465,10.465,24.533,24.533,23.131,25.234,23.023,26.744,26.744,24.651,24.651,24.186,24.186,25.814,25.814,1g,10.465,1e,21.262
MW221791,307,1,5.537,5.537,16.887,16.887,17.915,17.915,17.550,15.410,15.410,14.332,14.332,19.870,19.870,15.232,13.029,13.953,14.658,14.658,13.029,13.029,11.667,11.667,15.309,15.309,1a,5.537,1n,11.667
MW221807,307,1,4.235,4.235,17.550,17.550,17.264,17.264,17.219,16.066,16.066,15.309,15.309,18.241,18.241,16.887,13.029,13.953,13.355,13.355,11.401,11.401,14.000,14.000,15.738,15.738,1a,4.235,1m,11.401
MW221814,307,1,5.863,5.863,18.874,18.874,17.264,17.264,18.874,14.754,14.754,16.612,16.612,19.544,19.544,17.219,11.726,12.957,13.681,13.681,11.075,11.075,13.000,13.000,14.754,14.754,1a,5.863,1m,11.075
MW221815,307,1,5.863,5.863,17.881,17.881,16.938,16.938,18.543,14.754,14.754,16.612,16.612,18.567,18.567,16.887,12.378,13.621,13.029,13.029,11.726,11.726,14.098,14.098,14.754,14.754,1a,5.863,1m,11.726
MW221820,307,1,17.881,17.881,5.212,5.212,14.483,14.483,13.029,16.887,16.887,17.881,17.881,19.536,19.536,13.355,20.861,21.284,15.232,15.232,16.556,16.556,19.799,19.799,16.556,16.556,1b,5.212,1d,13.029
MW281563,239,1,4.603,4.603,20.084,20.084,19.247,19.247,19.665,19.665,19.665,19.665,19.665,21.339,21.339,21.339,19.665,17.155,19.087,19.087,15.900,15.900,17.573,17.573,17.155,17.155,1a,4.603,1m,15.900
MW357752,612,1,19.901,19.901,7.026,7.026,21.311,21.311,15.196,19.408,19.408,20.425,20.425,21.044,21.044,16.667,19.079,22.204,20.530,20.530,19.243,19.243,19.243,19.243,21.382,21.382,1b,7.026,1d,15.196
MW357753,612,1,19.901,19.901,7.026,7.026,21.311,21.311,15.196,19.408,19.408,20.425,20.425,21.044,21.044,16.667,19.079,22.204,20.530,20.530,19.243,19.243,19.243,19.243,21.382,21.382,1b,7.026,1d,15.196
MW357754,567,1,21.454,21.454,9.171,9.171,22.968,22.968,16.373,22.558,22.558,21.340,21.340,22.518,22.518,18.134,19.859,23.446,22.852,22.852,20.285,20.285,21.847,21.847,22.380,22.380,1b,9.171,1d,16.373
MW357755,612,1,20.559,20.559,7.843,7.843,21.148,21.148,15.033,21.217,21.217,19.444,19.444,20.881,20.881,16.503,19.408,22.697,21.689,21.689,18.750,18.750,20.724,20.724,21.053,21.053,1b,7.843,1d,15.033
MW357756,690,1,20.475,20.475,7.536,7.536,20.444,20.444,14.540,20.000,20.000,21.014,21.014,20.058,20.058,15.652,20.030,21.449,19.594,19.594,17.826,17.826,19.585,19.585,20.000,20.000,1b,7.536,1d,14.540
