Accession,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205243,4,16.000,20.956,15.273,14.545,14.545,15.636,15.636,20.000,16.727,16.727,9.124,13.357,7.942,14.964,12.000,14.234,15.273,16.364,13.971,11.636,11.636,17.818,17.818,4n,7.942,4l,9.124
MW205245,4,15.634,22.485,16.519,16.176,16.176,15.134,15.134,18.584,14.749,14.749,15.929,17.109,19.822,20.354,17.109,19.469,6.195,18.398,18.692,17.699,17.699,21.598,21.598,4r,6.195,4k,14.749
MW205246,4,16.568,22.124,16.864,17.160,17.160,15.929,15.929,20.833,18.343,18.343,11.538,14.497,8.555,15.132,13.905,15.680,16.864,19.288,15.625,13.905,13.905,20.944,20.944,4n,8.555,4l,11.538
MW205249,4,17.109,21.598,15.634,17.404,17.404,16.617,16.617,19.764,13.569,13.569,16.814,16.814,19.822,19.764,15.634,18.584,5.900,19.585,18.692,17.994,17.994,21.006,21.006,4r,5.900,4k,13.569
MW205250,4,17.109,21.598,15.634,17.404,17.404,16.617,16.617,19.764,13.569,13.569,16.814,16.814,19.822,19.764,15.634,18.584,5.900,19.585,18.692,17.994,17.994,21.006,21.006,4r,5.900,4k,13.569
MW205251,4,18.343,22.124,18.125,15.888,15.888,15.198,15.198,21.429,17.456,17.456,12.426,15.198,10.324,15.976,13.374,15.976,16.864,17.804,16.822,14.894,14.894,18.125,18.125,4n,10.324,4l,12.426
MW205253,4,15.634,21.598,16.519,16.176,16.176,16.024,16.024,20.649,15.339,15.339,16.519,15.929,21.302,20.649,16.224,18.879,7.080,20.178,19.315,18.584,18.584,21.006,21.006,4r,7.080,4k,15.339
MW205256,4,20.059,20.710,19.469,17.404,17.404,18.047,18.047,17.109,12.684,12.684,16.519,19.764,20.354,18.584,19.469,19.174,15.044,18.101,18.125,19.174,19.174,19.174,19.174,4k,12.684,4r,15.044
MW205257,4,11.504,22.781,4.720,14.454,14.454,16.864,16.864,17.771,16.814,16.814,15.044,14.749,18.047,20.354,17.404,20.059,15.339,18.398,17.365,14.454,14.454,21.006,21.006,4c,4.720,4a,11.504
MW205258,4,11.504,22.189,5.310,13.274,13.274,16.864,16.864,19.062,18.584,18.584,13.864,14.749,19.527,21.829,17.699,19.469,15.044,17.507,16.168,15.044,15.044,22.485,22.485,4c,5.310,4a,11.504
