Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205270,339,5,7.080,20.944,5a,7.080,5b,20.944
PQ110192,299,5,11.037,22.814,5a,11.037,5b,22.814
MT151056,314,5,4.777,18.471,5a,4.777,5b,18.471
MT151103,316,5,6.646,17.778,5a,6.646,5b,17.778
MT151150,316,5,6.013,19.365,5a,6.013,5b,19.365
MT151229,354,5,8.757,26.269,5a,8.757,5b,26.269
MT151246,354,5,8.192,23.410,5a,8.192,5b,23.410
MT151277,354,5,10.452,26.957,5a,10.452,5b,26.957
MT482281,365,5,4.110,18.904,5a,4.110,5b,18.904
MT503192,365,5,5.753,19.178,5a,5.753,5b,19.178
ON228285,2311,5,8.005,23.435,5a,8.005,5b,23.435
ON228286,2334,5,8.783,22.994,5a,8.783,5b,22.994
ON228287,2288,5,9.047,24.159,5a,9.047,5b,24.159
ON228288,1905,5,7.717,22.193,5a,7.717,5b,22.193
ON228289,1463,5,8.817,26.489,5a,8.817,5b,26.489
ON228290,1463,5,8.544,26.475,5a,8.544,5b,26.475
ON228291,1499,5,10.740,26.451,5a,10.740,5b,26.451
ON228292,1459,5,9.390,25.549,5a,9.390,5b,25.549
ON228293,1460,5,9.795,26.471,5a,9.795,5b,26.471
ON228294,1711,5,5.728,20.093,5a,5.728,5b,20.093
ON228295,1711,5,6.546,20.117,5a,6.546,5b,20.117
ON228296,1723,5,6.790,20.129,5a,6.790,5b,20.129
ON228297,1711,5,6.721,20.502,5a,6.721,5b,20.502
ON228298,1711,5,5.961,20.070,5a,5.961,5b,20.070
ON228299,1711,5,6.721,20.351,5a,6.721,5b,20.351
ON228300,1698,5,6.949,20.612,5a,6.949,5b,20.612
ON228301,1507,5,9.356,25.514,5a,9.356,5b,25.514
ON228302,1507,5,9.754,25.977,5a,9.754,5b,25.977
PQ666864,340,5,20.000,1.765,5b,1.765,5a,20.000
PQ666867,339,5,19.174,7.670,5b,7.670,5a,19.174
MK252769,748,5,29.011,30.992,5a,29.011,5b,30.992
MK252775,727,5,29.161,30.781,5a,29.161,5b,30.781
MK252776,742,5,29.111,28.785,5a,29.111,5b,28.785
MK252782,651,5,28.571,30.665,5a,28.571,5b,30.665
MK252784,649,5,28.505,30.475,5a,28.505,5b,30.475
MK252790,706,5,29.603,28.947,5a,29.603,5b,28.947
MK252798,580,5,29.828,32.308,5a,29.828,5b,32.308
MK252803,613,5,29.201,28.315,5a,29.201,5b,28.315
MK252807,702,5,28.917,30.407,5a,28.917,5b,30.407
MK252808,741,5,29.015,31.039,5a,29.015,5b,31.039
MK252809,726,5,29.201,30.284,5a,29.201,5b,30.284
