Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MT633132,1,1,7,7,7,5,,2,1;7,AllFiveDisagree
MN628580,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
MN628581,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
MK327985,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327987,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327989,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
MK327990,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327991,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327993,1,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327998,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328001,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328002,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328003,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328005,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328006,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328007,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328009,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328012,1,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328015,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328016,,1,6,6,6,4,CometFullSeq,2,1;6,AvailableCallsDisagree
MK328018,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
MK328019,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328020,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328022,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
MK328023,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
MK328026,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK548362,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548363,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548364,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548365,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548366,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548367,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548368,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548369,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK962414,1,2,2,2,2,5,,2,1;2,AllFiveDisagree
MN240359,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
PQ899568,,2,5,5,5,4,CometFullSeq,2,2;5,AvailableCallsDisagree
PP092205,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
PP092206,6,2,8,8,,4,GenBank,3,2;6;8,AvailableCallsDisagree
PP092207,6,1,5,8,,4,GenBank,4,1;5;6;8,AvailableCallsDisagree
PP092208,6,1,8,8,,4,GenBank,3,1;6;8,AvailableCallsDisagree
MG878999,1,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
MH590698,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH590699,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH590700,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH590701,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH714596,4,4,6,6,6,5,,2,4;6,AllFiveDisagree
MH940291,7,2,7,7,7,5,,2,2;7,AllFiveDisagree
D84263,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ155560,,6,2,6,2,4,CometFullSeq,2,2;6,AvailableCallsDisagree
DQ364460,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
DQ835767,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
EF026073,2,1,5,5,,4,GenBank,3,1;2;5,AvailableCallsDisagree
EF420134,6,1,8,5,,4,GenBank,4,1;5;6;8,AvailableCallsDisagree
OR497876,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
AB622123,,1,2,1,,3,CometFullSeq;GenBank,2,1;2,AvailableCallsDisagree
AM408911,2,1,5,5,,4,GenBank,3,1;2;5,AvailableCallsDisagree
AY070170,,1,2,1,,3,CometFullSeq;GenBank,2,1;2,AvailableCallsDisagree
