Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MW205374,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MW205375,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MW205506,3,3,3,3,2,5,,2,2;3,AllFiveDisagree
PP484803,2,2,2,2,7,5,,2,2;7,AllFiveDisagree
PQ110140,4,4,2,2,,4,GenBank,2,2;4,AvailableCallsDisagree
PQ110197,1,1,4,4,,4,GenBank,2,1;4,AvailableCallsDisagree
PQ110203,4,4,2,2,,4,GenBank,2,2;4,AvailableCallsDisagree
MN628580,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
MN628581,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
MN895099,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MN895111,2,2,2,2,4,5,,2,2;4,AllFiveDisagree
MT032266,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032267,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MT032269,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032270,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032272,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032273,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MT032275,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032276,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032278,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032279,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032280,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
PQ666864,1,1,5,5,5,5,,2,1;5,AllFiveDisagree
PQ666867,1,1,5,5,5,5,,2,1;5,AllFiveDisagree
MK252834,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252839,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MK252847,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252854,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252858,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252866,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252867,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MK252869,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252870,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252872,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252881,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252888,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK327993,1,4,6,6,6,5,,3,1;4;6,AllFiveDisagree
MK327994,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
MK328008,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
MK328012,1,6,6,6,6,5,,2,1;6,AllFiveDisagree
MK436298,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MK436356,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MK437951,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK437955,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK437957,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK437962,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK437979,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK437984,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK437985,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK437986,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK437988,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK437994,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK437995,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK437997,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438002,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438013,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438024,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438037,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438049,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438052,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438073,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438074,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438076,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK438106,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438108,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438115,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438118,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438135,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438145,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438152,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438160,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438163,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438176,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438192,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438204,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438223,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438225,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438228,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438240,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK438247,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438253,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438255,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438265,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438288,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438305,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438307,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438310,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438316,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438323,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438324,6,4,8,8,6,5,,3,4;6;8,AllFiveDisagree
MK438348,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438349,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438363,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438364,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438366,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438369,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438373,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438379,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438389,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438396,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438400,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK438407,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438419,3,3,6,6,6,5,,2,3;6,AllFiveDisagree
MK438423,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438424,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438427,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438448,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438468,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438490,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438499,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438505,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438509,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438519,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438522,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438530,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438541,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438544,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438547,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438549,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438552,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438559,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438573,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438584,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438585,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438586,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438595,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438620,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438626,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK438628,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438631,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438636,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438653,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438657,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438700,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438706,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438713,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438723,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438724,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438731,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438740,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438750,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438751,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438760,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438770,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438772,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438773,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438784,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438787,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438790,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438791,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438803,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438804,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438810,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438832,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438840,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438844,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438848,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438852,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438853,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK438857,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438867,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438868,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438874,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438882,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438883,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438886,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438894,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438900,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438907,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438912,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK438932,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438933,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438941,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438942,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438945,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438946,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438959,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438960,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438966,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438969,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438970,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438972,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK438974,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438989,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK438999,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439003,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439007,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439009,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439010,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK439016,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439024,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439049,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439056,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439063,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439071,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439074,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439084,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439088,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439092,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439102,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439111,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439116,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439118,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439127,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439128,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439130,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439131,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439139,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439143,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439144,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439147,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK439155,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439159,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439169,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439177,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK439179,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439180,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439183,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439191,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439207,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439215,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439220,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439225,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439228,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439250,3,3,6,6,6,5,,2,3;6,AllFiveDisagree
MK439251,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439257,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439278,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439281,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439282,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439283,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439284,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK439285,6,6,2,2,6,5,,2,2;6,AllFiveDisagree
MK439287,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439302,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439304,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439308,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439320,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439321,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439329,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439331,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK439337,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439340,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439343,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MK439361,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MK439362,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK439365,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MK439371,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK527322,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527334,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527338,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527341,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527346,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527348,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527351,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527354,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527364,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527367,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527370,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527375,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527378,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527381,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527384,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527387,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527390,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527393,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527396,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527399,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527402,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527405,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527408,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527411,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527414,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527417,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527420,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527428,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527431,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527434,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527436,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527445,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527450,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527456,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527459,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527508,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK527509,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548362,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548363,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548364,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548365,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548366,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548367,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548368,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548369,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MF986829,2,3,3,3,,4,GenBank,2,2;3,AvailableCallsDisagree
