Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MW205415,4,4,6,6,6,5,,2,4;6,AllFiveDisagree
MW205416,1,1,4,4,6,5,,3,1;4;6,AllFiveDisagree
ON506802,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MT633133,3,3,7,7,7,5,,2,3;7,AllFiveDisagree
MN628580,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
MN628581,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
MN641932,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
MN641972,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
MT151222,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MT151282,2,2,3,3,3,5,,2,2;3,AllFiveDisagree
MK252769,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252770,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252771,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252773,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252775,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252776,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252780,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252782,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252784,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252789,6,6,6,4,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252790,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252797,6,6,6,4,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252798,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252799,6,6,4,6,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252803,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252804,1,1,6,5,,4,GenBank,3,1;5;6,AvailableCallsDisagree
MK252807,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252808,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252809,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252810,6,6,4,4,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252812,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
