name,virus,subtype,bootstrap support
PQ335093|geneNS5B|query1-1317|h77_aa123-561|extracted_nt1317|aligned_aa439|pident77.904,HCV,4a,100.0
PQ335100|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.864,HCV,4a,100.0
PQ335119|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.409,HCV,4a,100.0
PQ335094|geneNS5B|query3-1640|h77_aa2-547|extracted_nt1638|aligned_aa546|pident78.938,HCV,4a,100.0
PQ335040|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident98.409,HCV,1a,100.0
PQ335035|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.584,HCV,1a,100.0
PQ335037|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.876,HCV,1a,100.0
PQ335041|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.699,HCV,1a,100.0
PQ335050|geneNS5B|query355-1113|h77_aa119-371|extracted_nt759|aligned_aa253|pident86.561,HCV,1a,100.0
PQ335045|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident96.814,HCV,1a,100.0
PQ335039|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident98.057,HCV,1a,100.0
PQ335038|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
PQ335042|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident96.820,HCV,1a,100.0
PQ335036|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident98.636,HCV,1a,100.0
PQ335053|geneNS5B|query418-1404|h77_aa140-468|extracted_nt987|aligned_aa329|pident96.960,HCV,1a,100.0
PQ335051|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.761,HCV,1a,100.0
PQ335092|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335104|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335107|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335121|geneNS5B|query3-1319|h77_aa124-562|extracted_nt1317|aligned_aa439|pident78.588,HCV,4a,100.0
PQ335126|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.864,HCV,4a,100.0
PQ335120|geneNS5B|query3-1688|h77_aa2-563|extracted_nt1686|aligned_aa562|pident79.004,HCV,4a,100.0
PQ335056|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
PQ335058|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident96.814,HCV,1a,100.0
PQ335052|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.345,HCV,1a,100.0
PQ335049|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident97.173,HCV,1a,100.0
PQ335061|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
PQ335062|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.230,HCV,1a,100.0
PQ335055|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident98.057,HCV,1a,100.0
PQ335066|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.584,HCV,1a,100.0
PQ335067|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident98.057,HCV,1a,100.0
PQ335065|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.345,HCV,1a,100.0
PQ335064|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.168,HCV,1a,100.0
PQ335068|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident99.091,HCV,1a,100.0
PQ335072|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident96.591,HCV,1a,100.0
PQ335046|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.053,HCV,1a,100.0
PQ335054|geneNS5B|query1-1662|h77_aa1-554|extracted_nt1662|aligned_aa554|pident92.599,HCV,1a,100.0
PQ335071|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
PQ335077|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.168,HCV,1a,100.0
PQ335078|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.699,HCV,1a,100.0
PQ335073|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.407,HCV,1a,100.0
PQ335079|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.699,HCV,1a,100.0
PQ335075|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident96.814,HCV,1a,100.0
PQ335084|geneNS5B|query1-1404|h77_aa1-468|extracted_nt1404|aligned_aa468|pident95.513,HCV,1a,100.0
PQ335059|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident97.880,HCV,1a,100.0
