name,virus,subtype,bootstrap support
ON630787|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.623,HCV,1a,100.0
PQ365517|geneNS3|query3428-5320|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365519|geneNS3|query3424-5316|h77_aa1-631|extracted_nt1893|aligned_aa631|pident80.983,HCV,3a,100.0
PQ365520|geneNS3|query3381-5273|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.458,HCV,3a,100.0
PQ365522|geneNS3|query3426-5318|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.300,HCV,3a,100.0
PQ365523|geneNS3|query3395-5287|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365525|geneNS3|query3388-5280|h77_aa1-631|extracted_nt1893|aligned_aa631|pident80.824,HCV,3a,100.0
PQ365527|geneNS3|query3363-5255|h77_aa1-631|extracted_nt1893|aligned_aa631|pident96.513,HCV,1a,100.0
PQ365530|geneNS3|query3405-5297|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.458,HCV,3a,100.0
PQ365531|geneNS3|query3422-5314|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365535|geneNS3|query3381-5273|h77_aa1-631|extracted_nt1893|aligned_aa631|pident81.141,HCV,3a,100.0
PQ365537|geneNS3|query3399-5291|h77_aa1-631|extracted_nt1893|aligned_aa631|pident80.666,HCV,3a,100.0
MT893905|geneNS3|query1-504|h77_aa14-181|extracted_nt504|aligned_aa168|pident81.548,HCV,4r,100.0
MT893906|geneNS3|query1-507|h77_aa13-181|extracted_nt507|aligned_aa169|pident81.657,HCV,4r,100.0
ON630764|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.781,HCV,1a,100.0
ON630768|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.306,HCV,1a,100.0
ON630770|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630774|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.415,HCV,1a,100.0
ON630777|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.098,HCV,1a,100.0
ON630779|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.940,HCV,1a,100.0
ON630782|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.781,HCV,1a,100.0
ON630785|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630788|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.940,HCV,1a,100.0
ON630791|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.940,HCV,1a,100.0
ON630795|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.098,HCV,1a,100.0
ON630796|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.098,HCV,1a,100.0
ON630800|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.464,HCV,1a,100.0
ON630804|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.781,HCV,1a,100.0
ON630805|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630809|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.147,HCV,1a,100.0
ON630811|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.623,HCV,1a,100.0
ON630814|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.098,HCV,1a,100.0
ON630819|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630820|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630823|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.732,HCV,1a,100.0
ON630827|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.623,HCV,1a,100.0
ON630831|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630832|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident98.257,HCV,1a,100.0
ON630836|geneNS3|query3302-5194|h77_aa1-631|extracted_nt1893|aligned_aa631|pident97.147,HCV,1a,100.0
