name,virus,subtype,bootstrap support
MW205383|geneNS5A|query10-648|h77_aa9-221|extracted_nt639|aligned_aa213|pident79.812,HCV,4o,100.0
MW205382|geneNS5A|query4-648|h77_aa7-221|extracted_nt645|aligned_aa215|pident80.465,HCV,4o,100.0
MW205407|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident76.471,HCV,4n,100.0
MW205411|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident75.163,HCV,4n,100.0
MW205413|geneNS5A|query7-465|h77_aa3-155|extracted_nt459|aligned_aa153|pident75.817,HCV,4n,100.0
MW205438|geneNS5A|query1-330|h77_aa8-117|extracted_nt330|aligned_aa110|pident64.545,HCV,2j,80.0
MW205440|geneNS5A|query1-330|h77_aa8-117|extracted_nt330|aligned_aa110|pident65.455,HCV,2a,100.0
MW205462|geneNS5A|query1-336|h77_aa6-117|extracted_nt336|aligned_aa112|pident66.964,HCV,2j,100.0
MW205460|geneNS5A|query1-456|h77_aa4-155|extracted_nt456|aligned_aa152|pident65.132,HCV,2a,94.0
MW357794|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident82.482,HCV,1b,100.0
MW357795|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident81.022,HCV,1b,100.0
MW357796|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident83.942,HCV,1b,100.0
MW357813|geneNS5A|query1-405|h77_aa1-135|extracted_nt405|aligned_aa135|pident79.259,HCV,1b,100.0
MW357812|geneNS5A|query1-408|h77_aa1-136|extracted_nt408|aligned_aa136|pident81.618,HCV,1b,100.0
MW205385|geneNS5A|query1-630|h77_aa12-221|extracted_nt630|aligned_aa210|pident76.667,HCV,4v,83.0
MZ327738|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.549,HCV,3a,100.0
MZ327730|geneNS5A|query6201-7556|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.395,HCV,3a,100.0
MZ327742|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.089,HCV,1a,100.0
MZ327746|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.089,HCV,1a,100.0
MZ327744|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.420,HCV,1a,100.0
MZ327745|geneNS5A|query6197-7552|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.670,HCV,3a,100.0
MZ327755|geneNS5A|query6198-7595|h77_aa1-448|extracted_nt1398|aligned_aa472|pident59.746,HCV,2b,100.0
MZ327754|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.079,HCV,3a,100.0
MZ327752|geneNS5A|query6185-7510|h77_aa3-448|extracted_nt1326|aligned_aa449|pident73.719,HCV,4d,100.0
MZ327756|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
MZ327763|geneNS5A|query6327-7670|h77_aa1-448|extracted_nt1344|aligned_aa448|pident89.509,HCV,1a,100.0
MZ327765|geneNS5A|query6183-7526|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327766|geneNS5A|query6166-7506|h77_aa2-448|extracted_nt1341|aligned_aa447|pident94.183,HCV,1a,100.0
MZ327764|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.956,HCV,3a,100.0
MZ327739|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.420,HCV,1a,100.0
MZ327741|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.196,HCV,1a,100.0
MZ327740|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.080,HCV,1a,100.0
MZ327767|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident96.205,HCV,1a,100.0
MZ327770|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327768|geneNS5A|query6154-7497|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327771|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.527,HCV,1a,100.0
MZ327777|geneNS5A|query6184-7527|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.089,HCV,1a,100.0
MZ327779|geneNS5A|query6198-7553|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.518,HCV,3a,100.0
MZ327780|geneNS5A|query6198-7553|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.330,HCV,3a,100.0
MZ327781|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.518,HCV,3a,100.0
ON506766|geneNS5A|query187-642|h77_aa1-152|extracted_nt456|aligned_aa152|pident94.737,HCV,1a,100.0
MW205400|geneNS5A|query1-633|h77_aa7-217|extracted_nt633|aligned_aa211|pident78.673,HCV,4k,100.0
MW205403|geneNS5A|query1-633|h77_aa11-221|extracted_nt633|aligned_aa211|pident79.147,HCV,4k,100.0
MW205401|geneNS5A|query1-645|h77_aa7-221|extracted_nt645|aligned_aa215|pident78.140,HCV,4k,100.0
ON630836|geneNS5A|query6140-7483|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.527,HCV,1a,100.0
MW205404|geneNS5A|query1-633|h77_aa11-221|extracted_nt633|aligned_aa211|pident79.147,HCV,4k,100.0
MW205399|geneNS5A|query1-645|h77_aa7-221|extracted_nt645|aligned_aa215|pident79.535,HCV,4k,100.0
