OldFileName,SheetName,GeneName,RefID,NumPtsValue,CurrentIncludedRefsCheck,FilterInformation,FilterResultFile,FilterResultCreation
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,30,Check,Present,source_isolate contains Day1,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_30_metadata.csv,"Step 5 reads rows with RefID 30 from included_accessions_metadata.csv, keeps rows where source_isolate contains Day1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,2116,Check,Present,source_collection_date before 2011,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_2116_metadata.csv,"Step 5 reads rows with RefID 2116 from included_accessions_metadata.csv, keeps rows where source_collection_date before 2011, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,943,Check,Present,source_isolate contains Day 1,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_943_metadata.csv,"Step 5 reads rows with RefID 943 from included_accessions_metadata.csv, keeps rows where source_isolate contains Day 1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,2150,Check,Present,source_isolate contains b,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_2150_metadata.csv,"Step 5 reads rows with RefID 2150 from included_accessions_metadata.csv, keeps rows where source_isolate contains b, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,600,Check,Present,source_isolate does not contain failure,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_600_metadata.csv,"Step 5 reads rows with RefID 600 from included_accessions_metadata.csv, keeps rows where source_isolate does not contain failure, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,884,Check,Present,source_isolate contains Pre-TH,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_884_metadata.csv,"Step 5 reads rows with RefID 884 from included_accessions_metadata.csv, keeps rows where source_isolate contains Pre-TH, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,499,Check,Present,source_isolate contains HCC,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_499_metadata.csv,"Step 5 reads rows with RefID 499 from included_accessions_metadata.csv, keeps rows where source_isolate contains HCC, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,2227,Check,Present,Accession membership list: temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/2227_Nguyen_(2015)_w_metadata_filtered.csv,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_2227_metadata.csv,"Step 5 reads rows with RefID 2227 from included_accessions_metadata.csv, keeps rows where Accession membership list: temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/2227_Nguyen_(2015)_w_metadata_filtered.csv, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,11,Check,Present,No RefID-specific filter configured in the current workflow,,No FilterResultFile is created because this RefID has no configured RefID-specific filter.
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,661,Check,Present,source_isolation_source equals plasma,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_661_metadata.csv,"Step 5 reads rows with RefID 661 from included_accessions_metadata.csv, keeps rows where source_isolation_source equals plasma, and writes the retained full metadata rows to FilterResultFile."
