Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MZ327730,3,93.619,9262,3a,92.183,9262,1175-1315,
MZ327731,1,91.981,9228,1a,91.959,9228,1175-1315,
MZ327732,1,94.367,9213,1a,94.302,9213,1175-1315,
MZ327733,1,91.605,9232,1a,91.389,9232,1175-1315,
MZ327734,1,92.979,9215,1a,92.675,9215,1175-1315,
MZ327735,3,93.577,7644,3a,92.089,7648,1175-1315,
MZ327736,1,91.549,9230,1a,91.769,9233,1175-1315,
MZ327737,1,93.317,9217,1a,93.067,9217,1175-1315,
MZ327738,3,94.188,9257,3a,92.376,9260,1175-1315,
MZ327739,1,93.281,9213,1a,92.923,9213,1175-1315,
MZ327740,1,92.838,9215,1a,92.447,9215,1175-1315,
MZ327741,1,91.627,9232,1a,91.518,9231,1175-1315,
MZ327742,1,92.024,9228,1a,91.797,9228,1175-1315,
MZ327743,1,87.474,9229,1a,87.654,9234,1175-1315,
MZ327744,1,91.959,9228,1a,91.634,9228,1175-1315,
MZ327745,3,92.903,9258,3a,92.539,9261,1175-1315,
MZ327746,1,91.515,9228,1a,91.114,9228,1175-1315,
MZ327747,1,95.246,9213,1a,95.162,9218,1175-1315,
MZ327748,3,93.594,9257,3a,92.883,9260,1175-1315,
MZ327749,1,93.402,9215,1a,93.196,9215,1175-1315,
MZ327750,3,93.811,9259,3a,92.432,9263,1175-1315,
MZ327751,1,93.086,9213,1a,92.749,9213,1175-1315,
MZ327752,4,80.377,9239,4d,94.922,9216,1175-1315,
MZ327753,1,79.160,9242,1b,90.942,9229,1175-1315,
MZ327754,3,93.994,9257,3a,92.333,9261,1175-1315,
MZ327755,2,76.899,9320,2b,91.527,9300,1175-1315,
MZ327756,3,93.034,9259,3a,92.429,9259,1175-1315,
MZ327757,3,92.925,9258,3a,92.213,9259,1175-1315,
MZ327758,1,91.981,9228,1a,91.688,9228,1175-1315,
MZ327759,3,93.077,9259,3a,92.584,9264,1175-1315,
MZ327760,1,93.816,9218,1a,93.480,9218,1175-1315,
MZ327761,1,93.934,9216,1a,93.771,9215,1175-1315,
MZ327762,1,91.349,9236,1a,91.175,9235,1175-1315,
MZ327763,1,92.716,5876,1a,92.495,5876,1175-1315,
MZ327764,3,93.118,9256,3a,92.353,9259,1175-1315,
MZ327765,1,91.791,9234,1a,91.700,9229,1175-1315,
MZ327766,1,92.683,9211,1a,92.400,9210,1175-1315,
MZ327767,1,94.128,9213,1a,93.922,9213,1175-1315,
MZ327768,1,91.785,9203,1a,91.882,9202,1175-1315,
MZ327769,1,79.226,9247,1b,90.603,9237,1175-1315,
MZ327770,1,93.403,9217,1a,93.045,9217,1175-1315,
MZ327771,1,91.495,9230,1a,91.334,9232,1175-1315,
MZ327772,3,92.752,9258,3a,92.203,9260,1175-1315,
MZ327773,3,93.468,9262,3a,92.191,9259,1175-1315,
MZ327774,1,78.467,9251,1b,91.032,9233,1175-1315,
MZ327775,1,78.959,9239,1b,90.853,9227,1175-1315,
MZ327776,1,93.413,9215,1a,93.250,9215,1175-1315,
MZ327777,1,91.334,9232,1a,91.205,9232,1175-1315,
MZ327778,1,94.530,9214,1a,94.346,9214,1175-1315,
MZ327779,3,92.460,9257,3a,91.773,9262,1175-1315,
MZ327780,3,92.762,9257,3a,92.041,9260,1175-1315,
MZ327781,3,93.745,9256,3a,92.084,9260,1175-1315,
MZ327782,1,94.267,9227,1a,94.188,9223,1175-1315,
MZ327783,3,92.418,9259,3a,91.946,9262,1175-1315,
MZ327784,2,77.054,9322,2b,92.107,9299,1175-1315,
MZ327785,1,94.323,9213,1a,94.367,9213,1175-1315,
MZ327786,3,93.258,9256,3a,92.613,9259,1175-1315,
MZ327787,1,95.789,9215,1a,95.323,9215,1175-1315,
MZ327788,1,92.273,9202,1a,92.091,9205,1175-1315,
MZ327789,3,92.382,9267,3a,91.766,9266,1175-1315,
MZ327790,1,91.927,9228,1a,91.645,9228,1175-1315,
MZ327791,1,79.254,9245,1b,90.184,9230,1175-1315,
