Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
ON506802,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MT633133,3,3,7,7,7,5,,2,3;7,AllFiveDisagree
MN628580,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
MN628581,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
MN641932,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
MN641972,4,4,1,1,,4,GenBank,2,1;4,AvailableCallsDisagree
MK252769,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252770,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252771,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252773,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252775,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252776,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252780,6,6,6,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252782,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252784,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252789,6,6,6,4,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252790,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252797,6,6,6,4,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252798,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252799,6,6,4,6,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252803,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252804,1,1,6,5,,4,GenBank,3,1;5;6,AvailableCallsDisagree
MK252807,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252809,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252810,6,6,4,4,,4,GenBank,2,4;6,AvailableCallsDisagree
MK252812,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252815,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252819,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252823,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK327981,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327987,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327988,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
MK327990,6,3,6,6,6,5,,2,3;6,AllFiveDisagree
MK327993,1,4,6,6,6,5,,3,1;4;6,AllFiveDisagree
MK327995,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
MK327998,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
MK327999,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328001,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328008,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
MK328012,1,2,6,6,6,5,,3,1;2;6,AllFiveDisagree
MK328020,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328021,6,3,6,6,6,5,,2,3;6,AllFiveDisagree
MK328025,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328026,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
MN240359,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
MG000203,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000204,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000217,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000220,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000223,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000226,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000227,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000234,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
PP092205,6,2,8,8,,4,GenBank,3,2;6;8,AvailableCallsDisagree
PP092206,6,3,8,8,,4,GenBank,3,3;6;8,AvailableCallsDisagree
PP092208,6,4,8,5,,4,GenBank,4,4;5;6;8,AvailableCallsDisagree
MG878999,1,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
MH590698,,2,8,8,8,4,CometFullSeq,2,2;8,AvailableCallsDisagree
MH590699,,3,8,8,8,4,CometFullSeq,2,3;8,AvailableCallsDisagree
MH590700,,4,8,8,8,4,CometFullSeq,2,4;8,AvailableCallsDisagree
MH590701,,2,8,8,8,4,CometFullSeq,2,2;8,AvailableCallsDisagree
MH703668,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH703669,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH742361,4,4,4,1,4,5,,2,1;4,AllFiveDisagree
MH940291,7,2,7,7,7,5,,2,2;7,AllFiveDisagree
D84263,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ835767,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
PX376056,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
EU408331,6,6,6,1,6,5,,2,1;6,AllFiveDisagree
EU408332,6,6,6,1,6,5,,2,1;6,AllFiveDisagree
JX183549,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX183554,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
KC844039,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KJ470622,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
KJ470623,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
KJ567646,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
KJ567647,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KJ567648,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KM252793,6,4,1,6,,4,GenBank,3,1;4;6,AvailableCallsDisagree
KM252794,6,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252796,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252798,6,4,8,6,,4,GenBank,3,4;6;8,AvailableCallsDisagree
KM504112,1,6,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504124,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KY083760,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
LC368421,6,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
LC435024,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KX092342,2,3,7,7,,4,GenBank,3,2;3;7,AvailableCallsDisagree
MZ171127,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
