Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MT633132,1,1,7,7,7,5,,2,1;7,AllFiveDisagree
MN628580,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
MN628581,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
MK327985,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327987,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327989,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
MK327990,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327991,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327993,1,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327998,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328001,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328002,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328003,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328005,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328006,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328007,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328009,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328012,1,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328015,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328018,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
MK328019,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328020,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328022,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
MK328023,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
MK328026,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK962414,1,2,2,2,2,5,,2,1;2,AllFiveDisagree
MN240359,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
PQ899568,,2,5,5,5,4,CometFullSeq,2,2;5,AvailableCallsDisagree
PP092205,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
PP092206,6,2,8,8,,4,GenBank,3,2;6;8,AvailableCallsDisagree
MG878999,1,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
MH590698,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH590699,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH590700,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH590701,,1,8,8,8,4,CometFullSeq,2,1;8,AvailableCallsDisagree
MH714596,4,4,6,6,6,5,,2,4;6,AllFiveDisagree
MH940291,7,2,7,7,7,5,,2,2;7,AllFiveDisagree
D84263,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ835767,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
EF026073,2,1,5,5,,4,GenBank,3,1;2;5,AvailableCallsDisagree
AM408911,2,1,5,5,,4,GenBank,3,1;2;5,AvailableCallsDisagree
JF735121,3,3,3,8,3,5,,2,3;8,AllFiveDisagree
PX376056,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
JX183549,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX183554,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
KC844040,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
KJ470624,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KJ470625,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KM252793,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252796,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252798,6,1,8,6,,4,GenBank,3,1;6;8,AvailableCallsDisagree
KM504112,1,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504118,6,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504120,6,2,6,6,,4,GenBank,2,2;6,AvailableCallsDisagree
KM504124,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
LC435024,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KT233290,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT233294,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
KT233295,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT233300,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT595242,5,2,5,5,5,5,,2,2;5,AllFiveDisagree
KU861171,2,1,7,5,7,5,,4,1;2;5;7,AllFiveDisagree
ON841576,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
ON841584,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
