Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MW205506,3,3,3,3,2,5,,2,2;3,AllFiveDisagree
MN628580,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
MN628581,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
MT032266,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032267,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MT032269,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032270,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032272,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032273,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MT032275,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032276,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032278,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032279,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MT032280,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MK252834,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252839,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MK252847,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252854,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252858,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252866,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252867,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MK252869,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252870,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252872,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252881,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK252888,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
MK327993,1,4,6,6,6,5,,3,1;4;6,AllFiveDisagree
MK327994,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
MK328008,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
MK328012,1,6,6,6,6,5,,2,1;6,AllFiveDisagree
MK527322,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527334,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527341,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527346,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527351,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527354,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527364,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527367,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527370,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527375,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527378,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527381,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527384,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527387,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527390,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527393,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527396,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527399,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527402,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527405,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527408,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527411,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527414,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527417,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527420,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527428,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527431,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527434,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527436,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
MK527459,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
PP092205,6,3,8,8,,4,GenBank,3,3;6;8,AvailableCallsDisagree
MH590698,,6,8,8,8,4,CometFullSeq,2,6;8,AvailableCallsDisagree
MH590699,,6,8,8,8,4,CometFullSeq,2,6;8,AvailableCallsDisagree
MH590700,,2,8,8,8,4,CometFullSeq,2,2;8,AvailableCallsDisagree
MH590701,,6,8,8,8,4,CometFullSeq,2,6;8,AvailableCallsDisagree
D84263,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ835767,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
EF026073,2,5,5,5,,4,GenBank,2,2;5,AvailableCallsDisagree
AM408911,2,5,5,5,,4,GenBank,2,2;5,AvailableCallsDisagree
PX376056,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
JX183549,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX183554,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
KM252793,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252798,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
KM504112,1,6,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504123,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KM504124,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KY083758,2,2,2,2,4,5,,2,2;4,AllFiveDisagree
KY608701,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
LC435024,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KU861171,2,6,7,7,7,5,,3,2;6;7,AllFiveDisagree
KX092342,2,2,7,7,,4,GenBank,2,2;7,AvailableCallsDisagree
KX172138,2,4,7,7,7,5,,3,2;4;7,AllFiveDisagree
